AlertID,AlertType,SourceProcessID,Timestamp,ViolatingAddress,TargetProcessID,SourcePath,TargetPath
1,"Stack Violation",3220,"2025-05-22 18:14:06",0xa103da,0,"\Device\HarddiskVolume5\new\ransomware_high_confidence\conti\002dd9b7cbf8ca2a09434f8c4abd85631efe922ab8daa1219d86d83a0228aeda.exe","\??\C:\Windows\SysWOW64\cmd.exe"
2,"Remote Thread Creation",5076,"2025-05-22 18:14:06",0x0,3220,"\Device\HarddiskVolume5\new\ransomware_high_confidence\conti\002dd9b7cbf8ca2a09434f8c4abd85631efe922ab8daa1219d86d83a0228aeda.exe","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
3,"Stack Violation",4700,"2025-05-22 18:14:06",0xa103da,0,"\Device\HarddiskVolume5\new\ransomware_high_confidence\conti\002dd9b7cbf8ca2a09434f8c4abd85631efe922ab8daa1219d86d83a0228aeda.exe","\??\C:\Windows\SysWOW64\cmd.exe"
4,"Remote Thread Creation",5076,"2025-05-22 18:14:06",0x0,4700,"\Device\HarddiskVolume5\new\ransomware_high_confidence\conti\002dd9b7cbf8ca2a09434f8c4abd85631efe922ab8daa1219d86d83a0228aeda.exe","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
5,"Stack Violation",6664,"2025-05-22 18:14:06",0xa103da,0,"\Device\HarddiskVolume5\new\ransomware_high_confidence\conti\002dd9b7cbf8ca2a09434f8c4abd85631efe922ab8daa1219d86d83a0228aeda.exe","\??\C:\Windows\SysWOW64\cmd.exe"
6,"Remote Thread Creation",5076,"2025-05-22 18:14:06",0x0,6664,"\Device\HarddiskVolume5\new\ransomware_high_confidence\conti\002dd9b7cbf8ca2a09434f8c4abd85631efe922ab8daa1219d86d83a0228aeda.exe","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
7,"Stack Violation",8260,"2025-05-22 18:14:06",0xa103da,0,"\Device\HarddiskVolume5\new\ransomware_high_confidence\conti\002dd9b7cbf8ca2a09434f8c4abd85631efe922ab8daa1219d86d83a0228aeda.exe","\??\C:\Windows\SysWOW64\cmd.exe"
8,"Remote Thread Creation",5076,"2025-05-22 18:14:06",0x0,8260,"\Device\HarddiskVolume5\new\ransomware_high_confidence\conti\002dd9b7cbf8ca2a09434f8c4abd85631efe922ab8daa1219d86d83a0228aeda.exe","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
9,"Stack Violation",8420,"2025-05-22 18:14:06",0xa103da,0,"\Device\HarddiskVolume5\new\ransomware_high_confidence\conti\002dd9b7cbf8ca2a09434f8c4abd85631efe922ab8daa1219d86d83a0228aeda.exe","\??\C:\Windows\SysWOW64\cmd.exe"
10,"Remote Thread Creation",5076,"2025-05-22 18:14:06",0x0,8420,"\Device\HarddiskVolume5\new\ransomware_high_confidence\conti\002dd9b7cbf8ca2a09434f8c4abd85631efe922ab8daa1219d86d83a0228aeda.exe","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
