AlertID,AlertType,SourceProcessID,Timestamp,ViolatingAddress,TargetProcessID,SourcePath,TargetPath
1,"Remote Thread Creation",5076,"2025-05-22 18:14:44",0x0,5568,"\Device\HarddiskVolume5\new\ransomware_high_confidence\exorcist\b1bcc54ef15f91d9291357eca02862174bd6158e95813eff1ab0c16ba48ff10e.","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
2,"Remote Thread Creation",5076,"2025-05-22 18:14:44",0x0,2236,"\Device\HarddiskVolume5\new\ransomware_high_confidence\exorcist\b1bcc54ef15f91d9291357eca02862174bd6158e95813eff1ab0c16ba48ff10e.","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
3,"Remote Thread Creation",5076,"2025-05-22 18:14:44",0x0,8308,"\Device\HarddiskVolume5\new\ransomware_high_confidence\exorcist\b1bcc54ef15f91d9291357eca02862174bd6158e95813eff1ab0c16ba48ff10e.","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
4,"Remote Thread Creation",5076,"2025-05-22 18:14:44",0x0,8468,"\Device\HarddiskVolume5\new\ransomware_high_confidence\exorcist\b1bcc54ef15f91d9291357eca02862174bd6158e95813eff1ab0c16ba48ff10e.","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
5,"Remote Thread Creation",5076,"2025-05-22 18:14:44",0x0,8628,"\Device\HarddiskVolume5\new\ransomware_high_confidence\exorcist\b1bcc54ef15f91d9291357eca02862174bd6158e95813eff1ab0c16ba48ff10e.","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
6,"Remote Thread Creation",5076,"2025-05-22 18:14:44",0x0,8788,"\Device\HarddiskVolume5\new\ransomware_high_confidence\exorcist\b1bcc54ef15f91d9291357eca02862174bd6158e95813eff1ab0c16ba48ff10e.","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
7,"Remote Thread Creation",5076,"2025-05-22 18:14:44",0x0,8948,"\Device\HarddiskVolume5\new\ransomware_high_confidence\exorcist\b1bcc54ef15f91d9291357eca02862174bd6158e95813eff1ab0c16ba48ff10e.","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
8,"Remote Thread Creation",5076,"2025-05-22 18:14:44",0x0,9108,"\Device\HarddiskVolume5\new\ransomware_high_confidence\exorcist\b1bcc54ef15f91d9291357eca02862174bd6158e95813eff1ab0c16ba48ff10e.","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
9,"Remote Thread Creation",5076,"2025-05-22 18:14:44",0x0,9544,"\Device\HarddiskVolume5\new\ransomware_high_confidence\exorcist\b1bcc54ef15f91d9291357eca02862174bd6158e95813eff1ab0c16ba48ff10e.","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
10,"Remote Thread Creation",5076,"2025-05-22 18:14:44",0x0,9920,"\Device\HarddiskVolume5\new\ransomware_high_confidence\exorcist\b1bcc54ef15f91d9291357eca02862174bd6158e95813eff1ab0c16ba48ff10e.","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
11,"Remote Thread Creation",5076,"2025-05-22 18:14:44",0x0,9756,"\Device\HarddiskVolume5\new\ransomware_high_confidence\exorcist\b1bcc54ef15f91d9291357eca02862174bd6158e95813eff1ab0c16ba48ff10e.","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
12,"Remote Thread Creation",5076,"2025-05-22 18:14:44",0x0,10560,"\Device\HarddiskVolume5\new\ransomware_high_confidence\exorcist\b1bcc54ef15f91d9291357eca02862174bd6158e95813eff1ab0c16ba48ff10e.","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
13,"Remote Thread Creation",5076,"2025-05-22 18:14:44",0x0,10936,"\Device\HarddiskVolume5\new\ransomware_high_confidence\exorcist\b1bcc54ef15f91d9291357eca02862174bd6158e95813eff1ab0c16ba48ff10e.","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
14,"Remote Thread Creation",5076,"2025-05-22 18:14:44",0x0,10612,"\Device\HarddiskVolume5\new\ransomware_high_confidence\exorcist\b1bcc54ef15f91d9291357eca02862174bd6158e95813eff1ab0c16ba48ff10e.","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
15,"Remote Thread Creation",5076,"2025-05-22 18:14:44",0x0,11564,"\Device\HarddiskVolume5\new\ransomware_high_confidence\exorcist\b1bcc54ef15f91d9291357eca02862174bd6158e95813eff1ab0c16ba48ff10e.","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
16,"Remote Thread Creation",5076,"2025-05-22 18:14:44",0x0,11944,"\Device\HarddiskVolume5\new\ransomware_high_confidence\exorcist\b1bcc54ef15f91d9291357eca02862174bd6158e95813eff1ab0c16ba48ff10e.","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
17,"Remote Thread Creation",5076,"2025-05-22 18:14:44",0x0,11416,"\Device\HarddiskVolume5\new\ransomware_high_confidence\exorcist\b1bcc54ef15f91d9291357eca02862174bd6158e95813eff1ab0c16ba48ff10e.","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
18,"Remote Thread Creation",5076,"2025-05-22 18:14:44",0x0,12552,"\Device\HarddiskVolume5\new\ransomware_high_confidence\exorcist\b1bcc54ef15f91d9291357eca02862174bd6158e95813eff1ab0c16ba48ff10e.","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
19,"Remote Thread Creation",5076,"2025-05-22 18:14:44",0x0,12928,"\Device\HarddiskVolume5\new\ransomware_high_confidence\exorcist\b1bcc54ef15f91d9291357eca02862174bd6158e95813eff1ab0c16ba48ff10e.","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
20,"Remote Thread Creation",5076,"2025-05-22 18:14:44",0x0,13304,"\Device\HarddiskVolume5\new\ransomware_high_confidence\exorcist\b1bcc54ef15f91d9291357eca02862174bd6158e95813eff1ab0c16ba48ff10e.","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
21,"Remote Thread Creation",5076,"2025-05-22 18:14:44",0x0,13548,"\Device\HarddiskVolume5\new\ransomware_high_confidence\exorcist\b1bcc54ef15f91d9291357eca02862174bd6158e95813eff1ab0c16ba48ff10e.","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
22,"Remote Thread Creation",5076,"2025-05-22 18:14:44",0x0,13924,"\Device\HarddiskVolume5\new\ransomware_high_confidence\exorcist\b1bcc54ef15f91d9291357eca02862174bd6158e95813eff1ab0c16ba48ff10e.","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
23,"Remote Thread Creation",5076,"2025-05-22 18:14:44",0x0,14304,"\Device\HarddiskVolume5\new\ransomware_high_confidence\exorcist\b1bcc54ef15f91d9291357eca02862174bd6158e95813eff1ab0c16ba48ff10e.","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
24,"Remote Thread Creation",5076,"2025-05-22 18:14:44",0x0,14556,"\Device\HarddiskVolume5\new\ransomware_high_confidence\exorcist\b1bcc54ef15f91d9291357eca02862174bd6158e95813eff1ab0c16ba48ff10e.","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
25,"Remote Thread Creation",5076,"2025-05-22 18:14:44",0x0,14932,"\Device\HarddiskVolume5\new\ransomware_high_confidence\exorcist\b1bcc54ef15f91d9291357eca02862174bd6158e95813eff1ab0c16ba48ff10e.","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
26,"Remote Thread Creation",5076,"2025-05-22 18:14:44",0x0,15308,"\Device\HarddiskVolume5\new\ransomware_high_confidence\exorcist\b1bcc54ef15f91d9291357eca02862174bd6158e95813eff1ab0c16ba48ff10e.","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
27,"Remote Thread Creation",5076,"2025-05-22 18:14:44",0x0,15564,"\Device\HarddiskVolume5\new\ransomware_high_confidence\exorcist\b1bcc54ef15f91d9291357eca02862174bd6158e95813eff1ab0c16ba48ff10e.","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
28,"Remote Thread Creation",5076,"2025-05-22 18:14:44",0x0,15940,"\Device\HarddiskVolume5\new\ransomware_high_confidence\exorcist\b1bcc54ef15f91d9291357eca02862174bd6158e95813eff1ab0c16ba48ff10e.","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
29,"Remote Thread Creation",5076,"2025-05-22 18:14:44",0x0,16316,"\Device\HarddiskVolume5\new\ransomware_high_confidence\exorcist\b1bcc54ef15f91d9291357eca02862174bd6158e95813eff1ab0c16ba48ff10e.","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
30,"Remote Thread Creation",5076,"2025-05-22 18:14:44",0x0,16560,"\Device\HarddiskVolume5\new\ransomware_high_confidence\exorcist\b1bcc54ef15f91d9291357eca02862174bd6158e95813eff1ab0c16ba48ff10e.","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
31,"Remote Thread Creation",5076,"2025-05-22 18:14:44",0x0,16940,"\Device\HarddiskVolume5\new\ransomware_high_confidence\exorcist\b1bcc54ef15f91d9291357eca02862174bd6158e95813eff1ab0c16ba48ff10e.","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
32,"Remote Thread Creation",5076,"2025-05-22 18:14:44",0x0,17316,"\Device\HarddiskVolume5\new\ransomware_high_confidence\exorcist\b1bcc54ef15f91d9291357eca02862174bd6158e95813eff1ab0c16ba48ff10e.","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
33,"Remote Thread Creation",5076,"2025-05-22 18:14:44",0x0,17560,"\Device\HarddiskVolume5\new\ransomware_high_confidence\exorcist\b1bcc54ef15f91d9291357eca02862174bd6158e95813eff1ab0c16ba48ff10e.","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
34,"Remote Thread Creation",5076,"2025-05-22 18:14:44",0x0,17960,"\Device\HarddiskVolume5\new\ransomware_high_confidence\exorcist\b1bcc54ef15f91d9291357eca02862174bd6158e95813eff1ab0c16ba48ff10e.","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
35,"Remote Thread Creation",5076,"2025-05-22 18:14:44",0x0,18516,"\Device\HarddiskVolume5\new\ransomware_high_confidence\exorcist\b1bcc54ef15f91d9291357eca02862174bd6158e95813eff1ab0c16ba48ff10e.","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
36,"Remote Thread Creation",5076,"2025-05-22 18:14:44",0x0,18908,"\Device\HarddiskVolume5\new\ransomware_high_confidence\exorcist\b1bcc54ef15f91d9291357eca02862174bd6158e95813eff1ab0c16ba48ff10e.","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
37,"Remote Thread Creation",5076,"2025-05-22 18:14:44",0x0,19412,"\Device\HarddiskVolume5\new\ransomware_high_confidence\exorcist\b1bcc54ef15f91d9291357eca02862174bd6158e95813eff1ab0c16ba48ff10e.","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
38,"Remote Thread Creation",5076,"2025-05-22 18:14:44",0x0,1840,"\Device\HarddiskVolume5\new\ransomware_high_confidence\exorcist\b1bcc54ef15f91d9291357eca02862174bd6158e95813eff1ab0c16ba48ff10e.","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
