AlertID,AlertType,SourceProcessID,Timestamp,ViolatingAddress,TargetProcessID,SourcePath,TargetPath
1,"Remote Thread Creation",3668,"2025-05-22 18:14:44",0x0,744,"\Device\HarddiskVolume5\new\ransomware_high_confidence\hive\bd9807c6e5c69f21153103703faa8067a9a883124bcfeb6b0f0645158a97d57d.exe","\Device\HarddiskVolume3\Windows\System32\net.exe"
2,"Remote Thread Creation",3668,"2025-05-22 18:14:44",0x0,6888,"\Device\HarddiskVolume5\new\ransomware_high_confidence\hive\bd9807c6e5c69f21153103703faa8067a9a883124bcfeb6b0f0645158a97d57d.exe","\Device\HarddiskVolume3\Windows\System32\net.exe"
3,"Remote Thread Creation",3668,"2025-05-22 18:14:44",0x0,8240,"\Device\HarddiskVolume5\new\ransomware_high_confidence\hive\bd9807c6e5c69f21153103703faa8067a9a883124bcfeb6b0f0645158a97d57d.exe","\Device\HarddiskVolume3\Windows\System32\net.exe"
4,"Remote Thread Creation",3668,"2025-05-22 18:14:44",0x0,8508,"\Device\HarddiskVolume5\new\ransomware_high_confidence\hive\bd9807c6e5c69f21153103703faa8067a9a883124bcfeb6b0f0645158a97d57d.exe","\Device\HarddiskVolume3\Windows\System32\net.exe"
5,"Remote Thread Creation",3668,"2025-05-22 18:14:44",0x0,8776,"\Device\HarddiskVolume5\new\ransomware_high_confidence\hive\bd9807c6e5c69f21153103703faa8067a9a883124bcfeb6b0f0645158a97d57d.exe","\Device\HarddiskVolume3\Windows\System32\net.exe"
6,"Remote Thread Creation",3668,"2025-05-22 18:14:44",0x0,9044,"\Device\HarddiskVolume5\new\ransomware_high_confidence\hive\bd9807c6e5c69f21153103703faa8067a9a883124bcfeb6b0f0645158a97d57d.exe","\Device\HarddiskVolume3\Windows\System32\net.exe"
7,"Remote Thread Creation",3668,"2025-05-22 18:14:44",0x0,8640,"\Device\HarddiskVolume5\new\ransomware_high_confidence\hive\bd9807c6e5c69f21153103703faa8067a9a883124bcfeb6b0f0645158a97d57d.exe","\Device\HarddiskVolume3\Windows\System32\net.exe"
8,"Remote Thread Creation",3668,"2025-05-22 18:14:44",0x0,9372,"\Device\HarddiskVolume5\new\ransomware_high_confidence\hive\bd9807c6e5c69f21153103703faa8067a9a883124bcfeb6b0f0645158a97d57d.exe","\Device\HarddiskVolume3\Windows\System32\net.exe"
9,"Remote Thread Creation",3668,"2025-05-22 18:14:44",0x0,9636,"\Device\HarddiskVolume5\new\ransomware_high_confidence\hive\bd9807c6e5c69f21153103703faa8067a9a883124bcfeb6b0f0645158a97d57d.exe","\Device\HarddiskVolume3\Windows\System32\net.exe"
10,"Remote Thread Creation",3668,"2025-05-22 18:14:44",0x0,9904,"\Device\HarddiskVolume5\new\ransomware_high_confidence\hive\bd9807c6e5c69f21153103703faa8067a9a883124bcfeb6b0f0645158a97d57d.exe","\Device\HarddiskVolume3\Windows\System32\net.exe"
11,"Remote Thread Creation",3668,"2025-05-22 18:14:44",0x0,10172,"\Device\HarddiskVolume5\new\ransomware_high_confidence\hive\bd9807c6e5c69f21153103703faa8067a9a883124bcfeb6b0f0645158a97d57d.exe","\Device\HarddiskVolume3\Windows\System32\net.exe"
12,"Remote Thread Creation",3668,"2025-05-22 18:14:44",0x0,10288,"\Device\HarddiskVolume5\new\ransomware_high_confidence\hive\bd9807c6e5c69f21153103703faa8067a9a883124bcfeb6b0f0645158a97d57d.exe","\Device\HarddiskVolume3\Windows\System32\sc.exe"
13,"Remote Thread Creation",3668,"2025-05-22 18:14:44",0x0,10432,"\Device\HarddiskVolume5\new\ransomware_high_confidence\hive\bd9807c6e5c69f21153103703faa8067a9a883124bcfeb6b0f0645158a97d57d.exe","\Device\HarddiskVolume3\Windows\System32\sc.exe"
14,"Remote Thread Creation",3668,"2025-05-22 18:14:44",0x0,10576,"\Device\HarddiskVolume5\new\ransomware_high_confidence\hive\bd9807c6e5c69f21153103703faa8067a9a883124bcfeb6b0f0645158a97d57d.exe","\Device\HarddiskVolume3\Windows\System32\sc.exe"
15,"Remote Thread Creation",3668,"2025-05-22 18:14:44",0x0,10724,"\Device\HarddiskVolume5\new\ransomware_high_confidence\hive\bd9807c6e5c69f21153103703faa8067a9a883124bcfeb6b0f0645158a97d57d.exe","\Device\HarddiskVolume3\Windows\System32\sc.exe"
