AlertID,AlertType,SourceProcessID,Timestamp,ViolatingAddress,TargetProcessID,SourcePath,TargetPath
1,"Remote Thread Creation",2336,"2025-05-22 18:14:32",0x0,1076,"\Device\HarddiskVolume5\new\ransomware_high_confidence\lockbit\21aab3925870f8e11cf4c94b9b84d252118278a50206e622b8148001e205213f.e","\Device\HarddiskVolume3\Windows\System32\cmd.exe"
2,"Remote Thread Creation",2336,"2025-05-22 18:14:32",0x0,10180,"\Device\HarddiskVolume5\new\ransomware_high_confidence\lockbit\21aab3925870f8e11cf4c94b9b84d252118278a50206e622b8148001e205213f.e","\Device\HarddiskVolume3\Windows\System32\cmd.exe"
3,"Remote Thread Creation",2336,"2025-05-22 18:14:32",0x0,10396,"\Device\HarddiskVolume5\new\ransomware_high_confidence\lockbit\21aab3925870f8e11cf4c94b9b84d252118278a50206e622b8148001e205213f.e","\Device\HarddiskVolume3\Windows\System32\cmd.exe"
4,"Remote Thread Creation",2336,"2025-05-22 18:14:32",0x0,10576,"\Device\HarddiskVolume5\new\ransomware_high_confidence\lockbit\21aab3925870f8e11cf4c94b9b84d252118278a50206e622b8148001e205213f.e","\Device\HarddiskVolume3\Windows\System32\cmd.exe"
5,"Remote Thread Creation",2336,"2025-05-22 18:14:32",0x0,10708,"\Device\HarddiskVolume5\new\ransomware_high_confidence\lockbit\21aab3925870f8e11cf4c94b9b84d252118278a50206e622b8148001e205213f.e","\Device\HarddiskVolume3\Windows\System32\cmd.exe"
6,"Remote Thread Creation",2336,"2025-05-22 18:14:32",0x0,10948,"\Device\HarddiskVolume5\new\ransomware_high_confidence\lockbit\21aab3925870f8e11cf4c94b9b84d252118278a50206e622b8148001e205213f.e","\Device\HarddiskVolume3\Windows\System32\cmd.exe"
7,"Remote Thread Creation",2336,"2025-05-22 18:14:32",0x0,10964,"\Device\HarddiskVolume5\new\ransomware_high_confidence\lockbit\21aab3925870f8e11cf4c94b9b84d252118278a50206e622b8148001e205213f.e","\Device\HarddiskVolume3\Windows\System32\cmd.exe"
8,"Remote Thread Creation",2336,"2025-05-22 18:14:32",0x0,11384,"\Device\HarddiskVolume5\new\ransomware_high_confidence\lockbit\21aab3925870f8e11cf4c94b9b84d252118278a50206e622b8148001e205213f.e","\Device\HarddiskVolume3\Windows\System32\cmd.exe"
9,"Remote Thread Creation",2336,"2025-05-22 18:14:32",0x0,11588,"\Device\HarddiskVolume5\new\ransomware_high_confidence\lockbit\21aab3925870f8e11cf4c94b9b84d252118278a50206e622b8148001e205213f.e","\Device\HarddiskVolume3\Windows\System32\cmd.exe"
10,"Remote Thread Creation",2336,"2025-05-22 18:14:32",0x0,11744,"\Device\HarddiskVolume5\new\ransomware_high_confidence\lockbit\21aab3925870f8e11cf4c94b9b84d252118278a50206e622b8148001e205213f.e","\Device\HarddiskVolume3\Windows\System32\cmd.exe"
11,"Remote Thread Creation",2336,"2025-05-22 18:14:32",0x0,11876,"\Device\HarddiskVolume5\new\ransomware_high_confidence\lockbit\21aab3925870f8e11cf4c94b9b84d252118278a50206e622b8148001e205213f.e","\Device\HarddiskVolume3\Windows\System32\cmd.exe"
12,"Remote Thread Creation",2336,"2025-05-22 18:14:32",0x0,12148,"\Device\HarddiskVolume5\new\ransomware_high_confidence\lockbit\21aab3925870f8e11cf4c94b9b84d252118278a50206e622b8148001e205213f.e","\Device\HarddiskVolume3\Windows\System32\cmd.exe"
13,"Remote Thread Creation",2336,"2025-05-22 18:14:32",0x0,11628,"\Device\HarddiskVolume5\new\ransomware_high_confidence\lockbit\21aab3925870f8e11cf4c94b9b84d252118278a50206e622b8148001e205213f.e","\Device\HarddiskVolume3\Windows\System32\cmd.exe"
14,"Remote Thread Creation",2336,"2025-05-22 18:14:32",0x0,12384,"\Device\HarddiskVolume5\new\ransomware_high_confidence\lockbit\21aab3925870f8e11cf4c94b9b84d252118278a50206e622b8148001e205213f.e","\Device\HarddiskVolume3\Windows\System32\cmd.exe"
15,"Remote Thread Creation",2336,"2025-05-22 18:14:32",0x0,12616,"\Device\HarddiskVolume5\new\ransomware_high_confidence\lockbit\21aab3925870f8e11cf4c94b9b84d252118278a50206e622b8148001e205213f.e","\Device\HarddiskVolume3\Windows\System32\cmd.exe"
16,"Remote Thread Creation",2336,"2025-05-22 18:14:32",0x0,12852,"\Device\HarddiskVolume5\new\ransomware_high_confidence\lockbit\21aab3925870f8e11cf4c94b9b84d252118278a50206e622b8148001e205213f.e","\Device\HarddiskVolume3\Windows\System32\cmd.exe"
17,"Remote Thread Creation",2336,"2025-05-22 18:14:32",0x0,12988,"\Device\HarddiskVolume5\new\ransomware_high_confidence\lockbit\21aab3925870f8e11cf4c94b9b84d252118278a50206e622b8148001e205213f.e","\Device\HarddiskVolume3\Windows\System32\cmd.exe"
18,"Remote Thread Creation",2336,"2025-05-22 18:14:32",0x0,13120,"\Device\HarddiskVolume5\new\ransomware_high_confidence\lockbit\21aab3925870f8e11cf4c94b9b84d252118278a50206e622b8148001e205213f.e","\Device\HarddiskVolume3\Windows\System32\cmd.exe"
19,"Remote Thread Creation",2336,"2025-05-22 18:14:32",0x0,13432,"\Device\HarddiskVolume5\new\ransomware_high_confidence\lockbit\21aab3925870f8e11cf4c94b9b84d252118278a50206e622b8148001e205213f.e","\Device\HarddiskVolume3\Windows\System32\cmd.exe"
