AlertID,AlertType,SourceProcessID,Timestamp,ViolatingAddress,TargetProcessID,SourcePath,TargetPath
1,"Remote Thread Creation",5076,"2025-05-22 18:14:30",0x0,8380,"\Device\HarddiskVolume5\new\ransomware_high_confidence\lockbit\43ae62f2d7be7a9bf34c9a46ce26b94e8f73c8b7ea434830f51553a0fc820d1b.e","\Device\HarddiskVolume3\Windows\System32\cmd.exe"
2,"Remote Thread Creation",5076,"2025-05-22 18:14:30",0x0,9920,"\Device\HarddiskVolume5\new\ransomware_high_confidence\lockbit\43ae62f2d7be7a9bf34c9a46ce26b94e8f73c8b7ea434830f51553a0fc820d1b.e","\Device\HarddiskVolume3\Windows\System32\cmd.exe"
3,"Remote Thread Creation",5076,"2025-05-22 18:14:30",0x0,10196,"\Device\HarddiskVolume5\new\ransomware_high_confidence\lockbit\43ae62f2d7be7a9bf34c9a46ce26b94e8f73c8b7ea434830f51553a0fc820d1b.e","\Device\HarddiskVolume3\Windows\System32\cmd.exe"
4,"Remote Thread Creation",5076,"2025-05-22 18:14:30",0x0,10252,"\Device\HarddiskVolume5\new\ransomware_high_confidence\lockbit\43ae62f2d7be7a9bf34c9a46ce26b94e8f73c8b7ea434830f51553a0fc820d1b.e","\Device\HarddiskVolume3\Windows\System32\cmd.exe"
5,"Remote Thread Creation",5076,"2025-05-22 18:14:30",0x0,10452,"\Device\HarddiskVolume5\new\ransomware_high_confidence\lockbit\43ae62f2d7be7a9bf34c9a46ce26b94e8f73c8b7ea434830f51553a0fc820d1b.e","\Device\HarddiskVolume3\Windows\System32\cmd.exe"
6,"Remote Thread Creation",5076,"2025-05-22 18:14:30",0x0,10592,"\Device\HarddiskVolume5\new\ransomware_high_confidence\lockbit\43ae62f2d7be7a9bf34c9a46ce26b94e8f73c8b7ea434830f51553a0fc820d1b.e","\Device\HarddiskVolume3\Windows\System32\cmd.exe"
7,"Remote Thread Creation",5076,"2025-05-22 18:14:30",0x0,10740,"\Device\HarddiskVolume5\new\ransomware_high_confidence\lockbit\43ae62f2d7be7a9bf34c9a46ce26b94e8f73c8b7ea434830f51553a0fc820d1b.e","\Device\HarddiskVolume3\Windows\System32\cmd.exe"
8,"Remote Thread Creation",5076,"2025-05-22 18:14:30",0x0,10944,"\Device\HarddiskVolume5\new\ransomware_high_confidence\lockbit\43ae62f2d7be7a9bf34c9a46ce26b94e8f73c8b7ea434830f51553a0fc820d1b.e","\Device\HarddiskVolume3\Windows\System32\cmd.exe"
9,"Remote Thread Creation",5076,"2025-05-22 18:14:30",0x0,11224,"\Device\HarddiskVolume5\new\ransomware_high_confidence\lockbit\43ae62f2d7be7a9bf34c9a46ce26b94e8f73c8b7ea434830f51553a0fc820d1b.e","\Device\HarddiskVolume3\Windows\System32\cmd.exe"
10,"Remote Thread Creation",5076,"2025-05-22 18:14:30",0x0,11412,"\Device\HarddiskVolume5\new\ransomware_high_confidence\lockbit\43ae62f2d7be7a9bf34c9a46ce26b94e8f73c8b7ea434830f51553a0fc820d1b.e","\Device\HarddiskVolume3\Windows\System32\cmd.exe"
11,"Remote Thread Creation",5076,"2025-05-22 18:14:30",0x0,11620,"\Device\HarddiskVolume5\new\ransomware_high_confidence\lockbit\43ae62f2d7be7a9bf34c9a46ce26b94e8f73c8b7ea434830f51553a0fc820d1b.e","\Device\HarddiskVolume3\Windows\System32\cmd.exe"
12,"Remote Thread Creation",5076,"2025-05-22 18:14:30",0x0,11816,"\Device\HarddiskVolume5\new\ransomware_high_confidence\lockbit\43ae62f2d7be7a9bf34c9a46ce26b94e8f73c8b7ea434830f51553a0fc820d1b.e","\Device\HarddiskVolume3\Windows\System32\cmd.exe"
13,"Remote Thread Creation",5076,"2025-05-22 18:14:30",0x0,11952,"\Device\HarddiskVolume5\new\ransomware_high_confidence\lockbit\43ae62f2d7be7a9bf34c9a46ce26b94e8f73c8b7ea434830f51553a0fc820d1b.e","\Device\HarddiskVolume3\Windows\System32\cmd.exe"
14,"Remote Thread Creation",5076,"2025-05-22 18:14:30",0x0,12160,"\Device\HarddiskVolume5\new\ransomware_high_confidence\lockbit\43ae62f2d7be7a9bf34c9a46ce26b94e8f73c8b7ea434830f51553a0fc820d1b.e","\Device\HarddiskVolume3\Windows\System32\cmd.exe"
15,"Remote Thread Creation",5076,"2025-05-22 18:14:30",0x0,10912,"\Device\HarddiskVolume5\new\ransomware_high_confidence\lockbit\43ae62f2d7be7a9bf34c9a46ce26b94e8f73c8b7ea434830f51553a0fc820d1b.e","\Device\HarddiskVolume3\Windows\System32\cmd.exe"
