ProcessId,ProcessName,ProcessAgeSeconds,ProcessImageEntropy,SessionId,IsElevated,FirstSeenTime,LastSeenTime,OperationDurationSec,ProcessCreateTime,TotalOperationCount,CreateOperationCount,ModifyOperationCount,DeleteOperationCount,QueryOperationCount,UniqueKeysAccessed,AutorunKeysAccessed,SecurityKeysAccessed,FileAssocKeysAccessed,NetworkingKeysAccessed,ServicesKeysAccessed,SensitiveKeysAccessed,ProcessHijackKeysAccessed,DllHijackKeysAccessed,ComObjectKeysAccessed,OperationBurstCount,MaxOperationsPerBurst,BurstIntervalMs,OperationDensityPerMin,TimingVariance,RemoteOperationCount,FileExtensionModificationCount,SecuritySettingModificationCount,WritesToReadsRatio,RegistryKeyDepthMax,RegistryValueEntropyAvg,ComRegistryModifications,CriticalSystemKeyModifications
864,\Device\HarddiskVolume3\Windows\System32\services.exe,72,258,0,1,1747937577,1747937696,118,1747937577,769,0,2,0,767,769,0,0,0,0,0,0,24,0,0,3,7623,805278478,583,0,0,0,0,0,9,0,0,0
4824,\Device\HarddiskVolume3\Windows\System32\taskhostw.exe,69,276,0,1,1747937577,1747937651,73,1747937577,242,0,0,0,242,242,0,0,0,0,0,0,0,0,0,3,112401,1073728622,173,0,0,0,0,0,12,0,0,0
4852,\Device\HarddiskVolume3\Windows\System32\Taskmgr.exe,119,290,0,1,1747937577,1747937697,119,1747937577,16773,4,1,0,16768,16771,0,0,1815,0,0,0,0,0,0,0,0,0,8420,0,0,0,0,0,12,293,0,0
3316,\Device\HarddiskVolume3\Windows\System32\svchost.exe,120,281,0,1,1747937577,1747937697,120,1747937577,3501,192,26,0,3283,3501,0,0,0,0,0,555,0,0,0,2,1636,1073689696,1750,0,0,0,0,6,10,188,0,0
3156,\Device\HarddiskVolume3\Windows\System32\spoolsv.exe,0,272,0,1,1747937578,1747937649,71,1747937578,12,0,3,0,9,12,0,0,0,0,0,0,0,0,0,2,11256,1073709914,0,0,0,0,0,0,8,0,0,0
884,\Device\HarddiskVolume3\Windows\System32\lsass.exe,110,255,0,1,1747937580,1747937695,115,1747937580,1351,29,10,0,1312,1331,0,0,0,0,0,768,0,0,0,1,940,4294959607,709,0,0,0,0,2,10,399,0,0
3332,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937580,1747937649,69,1747937580,37,2,5,0,30,37,0,0,0,0,0,0,0,0,0,1,60818,4294910567,0,0,0,0,0,0,8,300,0,0
4364,\Device\HarddiskVolume3\Windows\explorer.exe,73,250,0,1,1747937580,1747937654,73,1747937580,63117,1051,41,4,62021,62402,0,0,19444,0,0,0,0,0,0,0,0,0,51863,0,0,0,0,1,13,210,0,0
1520,\Device\HarddiskVolume3\Windows\System32\svchost.exe,69,281,0,1,1747937580,1747937651,70,1747937580,595,52,13,0,530,595,0,0,0,0,0,0,0,0,0,1,55050,4294906873,434,0,0,0,0,13,9,125,0,0
1904,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,70,266,0,1,1747937580,1747937695,115,1747937580,330,0,0,0,330,330,0,0,0,0,0,0,0,0,0,0,0,0,257,0,0,0,0,0,9,0,0,0
