ProcessId,ProcessName,ProcessAgeSeconds,ProcessImageEntropy,SessionId,IsElevated,FirstSeenTime,LastSeenTime,OperationDurationSec,ProcessCreateTime,TotalOperationCount,CreateOperationCount,ModifyOperationCount,DeleteOperationCount,QueryOperationCount,UniqueKeysAccessed,AutorunKeysAccessed,SecurityKeysAccessed,FileAssocKeysAccessed,NetworkingKeysAccessed,ServicesKeysAccessed,SensitiveKeysAccessed,ProcessHijackKeysAccessed,DllHijackKeysAccessed,ComObjectKeysAccessed,OperationBurstCount,MaxOperationsPerBurst,BurstIntervalMs,OperationDensityPerMin,TimingVariance,RemoteOperationCount,FileExtensionModificationCount,SecuritySettingModificationCount,WritesToReadsRatio,RegistryKeyDepthMax,RegistryValueEntropyAvg,ComRegistryModifications,CriticalSystemKeyModifications
864,\Device\HarddiskVolume3\Windows\System32\services.exe,116,258,0,1,1747937577,1747937700,122,1747937577,1060,0,2,0,1058,1060,0,0,0,0,0,0,36,0,0,1,40,4294947236,517,0,0,0,0,0,9,0,0,0
4824,\Device\HarddiskVolume3\Windows\System32\taskhostw.exe,111,276,0,1,1747937577,1747937693,115,1747937577,224,0,0,0,224,224,0,0,0,0,0,0,0,0,0,2,2363,1073694599,108,0,0,0,0,0,12,0,0,0
3316,\Device\HarddiskVolume3\Windows\System32\svchost.exe,109,281,0,1,1747937577,1747937693,116,1747937577,5084,228,39,0,4817,5084,0,0,13,0,0,567,0,0,0,2,214,1073699391,2752,0,0,0,0,5,10,191,0,0
4852,\Device\HarddiskVolume3\Windows\System32\Taskmgr.exe,128,290,0,1,1747937577,1747937705,128,1747937577,18953,7,1,0,18945,18951,0,0,2115,0,0,0,0,0,0,0,0,0,8859,0,0,0,0,0,13,293,0,0
3156,\Device\HarddiskVolume3\Windows\System32\spoolsv.exe,0,272,0,1,1747937578,1747937649,71,1747937578,11,0,3,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
884,\Device\HarddiskVolume3\Windows\System32\lsass.exe,113,255,0,1,1747937580,1747937706,126,1747937580,1348,29,10,0,1309,1328,0,0,0,0,0,849,0,0,0,1,325,4294935424,690,0,0,0,0,3,10,400,0,0
3332,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937580,1747937700,120,1747937580,51,3,6,0,42,51,0,0,0,0,0,0,0,0,0,2,4335,1073687995,0,0,0,0,0,0,8,294,0,0
4364,\Device\HarddiskVolume3\Windows\explorer.exe,126,250,0,1,1747937580,1747937706,126,1747937580,33730,755,62,2,32911,33277,0,0,13170,0,0,0,0,0,0,2,134,1073702969,16047,0,0,0,0,2,13,430,0,0
1520,\Device\HarddiskVolume3\Windows\System32\svchost.exe,112,281,0,1,1747937580,1747937705,125,1747937580,760,52,14,0,694,760,0,0,150,0,0,0,0,0,0,3,3566,805262692,375,0,0,0,0,9,9,125,0,0
1904,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,112,266,0,1,1747937580,1747937706,125,1747937580,318,0,0,0,318,318,0,0,0,0,0,0,0,0,0,1,51,4294931685,160,0,0,0,0,0,9,0,0,0
648,\Device\HarddiskVolume3\Windows\System32\csrss.exe,95,255,0,1,1747937581,1747937693,112,1747937581,265,0,0,0,265,265,0,0,0,0,0,0,0,0,0,2,750,1073697289,126,0,0,0,0,0,8,0,0,0
6828,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,0,266,0,1,1747937581,1747937686,105,1747937581,45,0,0,0,45,45,0,0,0,0,0,0,0,0,0,1,1389,4294861556,0,0,0,0,0,0,9,0,0,0
