ProcessId,ProcessName,ProcessAgeSeconds,ProcessImageEntropy,SessionId,IsElevated,FirstSeenTime,LastSeenTime,OperationDurationSec,ProcessCreateTime,TotalOperationCount,CreateOperationCount,ModifyOperationCount,DeleteOperationCount,QueryOperationCount,UniqueKeysAccessed,AutorunKeysAccessed,SecurityKeysAccessed,FileAssocKeysAccessed,NetworkingKeysAccessed,ServicesKeysAccessed,SensitiveKeysAccessed,ProcessHijackKeysAccessed,DllHijackKeysAccessed,ComObjectKeysAccessed,OperationBurstCount,MaxOperationsPerBurst,BurstIntervalMs,OperationDensityPerMin,TimingVariance,RemoteOperationCount,FileExtensionModificationCount,SecuritySettingModificationCount,WritesToReadsRatio,RegistryKeyDepthMax,RegistryValueEntropyAvg,ComRegistryModifications,CriticalSystemKeyModifications
864,\Device\HarddiskVolume3\Windows\System32\services.exe,85,258,0,1,1747937576,1747937680,104,1747937576,1390,0,2,0,1388,1390,0,0,0,0,0,0,60,0,0,1,10657,0,917,0,0,0,0,0,9,0,0,0
4824,\Device\HarddiskVolume3\Windows\System32\taskhostw.exe,78,276,0,1,1747937576,1747937661,84,1747937576,242,0,0,0,242,242,0,0,0,0,0,0,0,0,0,1,444,4294923615,153,0,0,0,0,0,12,0,0,0
3316,\Device\HarddiskVolume3\Windows\System32\svchost.exe,79,281,0,1,1747937577,1747937661,84,1747937577,4051,253,56,0,3742,4051,0,0,0,0,0,636,0,0,0,1,1992,4294950644,3037,0,0,0,0,8,10,177,0,0
4852,\Device\HarddiskVolume3\Windows\System32\Taskmgr.exe,102,290,0,1,1747937577,1747937680,102,1747937577,15054,7,1,0,15046,15052,0,0,1786,0,0,0,0,0,0,0,0,0,8823,0,0,0,0,0,12,293,0,0
3156,\Device\HarddiskVolume3\Windows\System32\spoolsv.exe,0,272,0,1,1747937578,1747937649,71,1747937578,27,0,3,0,24,27,0,0,0,0,0,0,0,0,0,1,4553,4294944017,0,0,0,0,0,0,8,0,0,0
884,\Device\HarddiskVolume3\Windows\System32\lsass.exe,81,255,0,1,1747937580,1747937678,98,1747937580,1369,29,10,0,1330,1349,0,0,0,0,0,862,0,0,0,0,0,0,962,0,0,0,0,3,10,401,0,0
3332,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937580,1747937650,69,1747937580,37,2,5,0,30,37,0,0,0,0,0,0,0,0,0,1,578,4294912385,0,0,0,0,0,0,8,300,0,0
4364,\Device\HarddiskVolume3\Windows\explorer.exe,82,250,0,1,1747937580,1747937663,83,1747937580,61863,837,38,4,60984,61325,0,0,18473,0,0,0,0,0,0,1,66,4294936921,45219,0,0,0,0,1,13,242,0,0
1904,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,79,266,0,1,1747937581,1747937676,95,1747937581,324,0,0,0,324,324,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,9,0,0,0
5172,\Device\HarddiskVolume3\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe,0,311,0,1,1747937584,1747937603,19,1747937584,60,0,3,0,57,60,0,0,0,0,0,0,0,0,0,1,2360,4294949505,0,0,0,0,0,0,13,0,0,0
