ProcessId,ProcessName,ProcessAgeSeconds,ProcessImageEntropy,SessionId,IsElevated,FirstSeenTime,LastSeenTime,OperationDurationSec,ProcessCreateTime,TotalOperationCount,CreateOperationCount,ModifyOperationCount,DeleteOperationCount,QueryOperationCount,UniqueKeysAccessed,AutorunKeysAccessed,SecurityKeysAccessed,FileAssocKeysAccessed,NetworkingKeysAccessed,ServicesKeysAccessed,SensitiveKeysAccessed,ProcessHijackKeysAccessed,DllHijackKeysAccessed,ComObjectKeysAccessed,OperationBurstCount,MaxOperationsPerBurst,BurstIntervalMs,OperationDensityPerMin,TimingVariance,RemoteOperationCount,FileExtensionModificationCount,SecuritySettingModificationCount,WritesToReadsRatio,RegistryKeyDepthMax,RegistryValueEntropyAvg,ComRegistryModifications,CriticalSystemKeyModifications
864,\Device\HarddiskVolume3\Windows\System32\services.exe,105,258,0,1,1747937577,1747937682,105,1747937577,550,0,2,0,548,550,0,0,0,0,0,0,24,0,0,1,1013,4294931220,285,0,0,0,0,0,9,0,0,0
4824,\Device\HarddiskVolume3\Windows\System32\taskhostw.exe,109,276,0,1,1747937577,1747937686,109,1747937577,206,0,0,0,206,206,0,0,0,0,0,0,0,0,0,3,458,805291284,110,0,0,0,0,0,12,0,0,0
4852,\Device\HarddiskVolume3\Windows\System32\Taskmgr.exe,109,290,0,1,1747937577,1747937687,109,1747937577,14375,2,0,0,14373,14374,0,0,1021,0,0,0,0,0,0,0,0,0,7871,0,0,0,0,0,12,0,0,0
3316,\Device\HarddiskVolume3\Windows\System32\svchost.exe,104,281,0,1,1747937577,1747937687,109,1747937577,3294,184,17,0,3093,3294,0,0,0,0,0,433,0,0,0,2,964,1073695982,1846,0,0,0,0,6,10,184,0,0
3156,\Device\HarddiskVolume3\Windows\System32\spoolsv.exe,0,272,0,1,1747937578,1747937649,71,1747937578,11,0,3,0,8,11,0,0,0,0,0,0,0,0,0,1,58,4294896038,0,0,0,0,0,0,8,0,0,0
884,\Device\HarddiskVolume3\Windows\System32\lsass.exe,106,255,0,1,1747937580,1747937686,106,1747937580,1220,29,10,0,1181,1200,0,0,0,0,0,731,0,0,0,0,0,0,679,0,0,0,0,3,10,401,0,0
3332,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937580,1747937649,69,1747937580,37,2,5,0,30,37,0,0,0,0,0,0,0,0,0,1,692,4294911071,0,0,0,0,0,0,8,300,0,0
4364,\Device\HarddiskVolume3\Windows\explorer.exe,104,250,0,1,1747937580,1747937685,105,1747937580,62380,892,15,0,61473,61748,0,0,17493,0,0,0,0,0,0,4,43193,805292384,35942,0,0,0,0,1,13,245,0,0
1520,\Device\HarddiskVolume3\Windows\System32\svchost.exe,106,281,0,1,1747937580,1747937686,106,1747937580,757,52,13,0,692,757,0,0,150,0,0,0,0,0,0,2,911,1073689140,396,0,0,0,0,9,9,125,0,0
1904,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,106,266,0,1,1747937580,1747937686,106,1747937580,324,0,0,0,324,324,0,0,0,0,0,0,0,0,0,1,69,4294956574,169,0,0,0,0,0,9,0,0,0
