ProcessId,ProcessName,ProcessAgeSeconds,ProcessImageEntropy,SessionId,IsElevated,FirstSeenTime,LastSeenTime,OperationDurationSec,ProcessCreateTime,TotalOperationCount,CreateOperationCount,ModifyOperationCount,DeleteOperationCount,QueryOperationCount,UniqueKeysAccessed,AutorunKeysAccessed,SecurityKeysAccessed,FileAssocKeysAccessed,NetworkingKeysAccessed,ServicesKeysAccessed,SensitiveKeysAccessed,ProcessHijackKeysAccessed,DllHijackKeysAccessed,ComObjectKeysAccessed,OperationBurstCount,MaxOperationsPerBurst,BurstIntervalMs,OperationDensityPerMin,TimingVariance,RemoteOperationCount,FileExtensionModificationCount,SecuritySettingModificationCount,WritesToReadsRatio,RegistryKeyDepthMax,RegistryValueEntropyAvg,ComRegistryModifications,CriticalSystemKeyModifications
864,\Device\HarddiskVolume3\Windows\System32\services.exe,113,258,0,1,1747937576,1747937700,123,1747937576,583,0,2,0,581,583,0,0,0,0,0,0,24,0,0,1,923,4294927551,265,0,0,0,0,0,9,0,0,0
4824,\Device\HarddiskVolume3\Windows\System32\taskhostw.exe,118,276,0,1,1747937576,1747937698,121,1747937576,210,0,0,0,210,210,0,0,0,0,0,0,0,0,0,4,2535,603961838,101,0,0,0,0,0,12,0,0,0
4852,\Device\HarddiskVolume3\Windows\System32\Taskmgr.exe,124,290,0,1,1747937577,1747937701,124,1747937577,15274,0,0,0,15274,15274,0,0,834,0,0,0,0,0,0,0,0,0,7354,0,0,0,0,0,12,0,0,0
3316,\Device\HarddiskVolume3\Windows\System32\svchost.exe,104,281,0,1,1747937577,1747937699,121,1747937577,3294,184,17,0,3093,3294,0,0,0,0,0,433,0,0,0,2,621,1073690913,1846,0,0,0,0,6,10,171,0,0
3156,\Device\HarddiskVolume3\Windows\System32\spoolsv.exe,0,272,0,1,1747937578,1747937649,71,1747937578,11,0,3,0,8,11,0,0,0,0,0,0,0,0,0,1,20,4294896247,0,0,0,0,0,0,8,0,0,0
884,\Device\HarddiskVolume3\Windows\System32\lsass.exe,118,255,0,1,1747937580,1747937701,121,1747937580,1223,29,10,0,1184,1203,0,0,0,0,0,734,0,0,0,0,0,0,610,0,0,0,0,3,10,398,0,0
3332,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937580,1747937700,119,1747937580,51,3,6,0,42,51,0,0,0,0,0,0,0,0,0,2,1189,1073689586,0,0,0,0,0,0,8,285,0,0
4364,\Device\HarddiskVolume3\Windows\explorer.exe,120,250,0,1,1747937580,1747937700,120,1747937580,62007,814,14,0,61179,61455,0,0,17408,0,0,0,0,0,0,2,583,1073717976,31000,0,0,0,0,1,13,233,0,0
1520,\Device\HarddiskVolume3\Windows\System32\svchost.exe,118,281,0,1,1747937580,1747937698,118,1747937580,757,52,13,0,692,757,0,0,150,0,0,0,0,0,0,3,2917,805263597,355,0,0,0,0,9,9,125,0,0
1904,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,118,266,0,1,1747937580,1747937701,120,1747937580,336,0,0,0,336,336,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,9,0,0,0
648,\Device\HarddiskVolume3\Windows\System32\csrss.exe,117,255,0,1,1747937580,1747937698,117,1747937580,306,0,0,0,306,306,0,0,0,0,0,0,0,0,0,3,420,805286215,153,0,0,0,0,0,11,0,0,0
