ProcessId,ProcessName,ProcessAgeSeconds,ProcessImageEntropy,SessionId,IsElevated,FirstSeenTime,LastSeenTime,OperationDurationSec,ProcessCreateTime,TotalOperationCount,CreateOperationCount,ModifyOperationCount,DeleteOperationCount,QueryOperationCount,UniqueKeysAccessed,AutorunKeysAccessed,SecurityKeysAccessed,FileAssocKeysAccessed,NetworkingKeysAccessed,ServicesKeysAccessed,SensitiveKeysAccessed,ProcessHijackKeysAccessed,DllHijackKeysAccessed,ComObjectKeysAccessed,OperationBurstCount,MaxOperationsPerBurst,BurstIntervalMs,OperationDensityPerMin,TimingVariance,RemoteOperationCount,FileExtensionModificationCount,SecuritySettingModificationCount,WritesToReadsRatio,RegistryKeyDepthMax,RegistryValueEntropyAvg,ComRegistryModifications,CriticalSystemKeyModifications
864,\Device\HarddiskVolume3\Windows\System32\services.exe,72,258,0,1,1747937577,1747937651,73,1747937577,379,0,2,0,377,379,0,0,0,0,0,0,24,0,0,2,8217,4294913623,250,0,0,0,0,0,9,0,0,0
4824,\Device\HarddiskVolume3\Windows\System32\taskhostw.exe,44,276,0,1,1747937577,1747937649,72,1747937577,188,0,0,0,188,188,0,0,0,0,0,0,0,0,0,2,270,1073720362,136,0,0,0,0,0,12,0,0,0
4852,\Device\HarddiskVolume3\Windows\System32\Taskmgr.exe,74,290,0,1,1747937577,1747937652,74,1747937577,10086,3,0,0,10083,10086,0,0,789,0,0,0,0,0,0,0,0,0,8108,0,0,0,0,0,12,0,0,0
3316,\Device\HarddiskVolume3\Windows\System32\svchost.exe,72,281,0,1,1747937577,1747937651,74,1747937577,3334,187,25,0,3122,3334,0,0,0,0,0,433,0,0,0,1,34,4294911090,2750,0,0,0,0,6,10,234,0,0
3156,\Device\HarddiskVolume3\Windows\System32\spoolsv.exe,0,272,0,1,1747937578,1747937649,71,1747937578,11,0,3,0,8,11,0,0,0,0,0,0,0,0,0,1,8540,4294896034,0,0,0,0,0,0,8,0,0,0
884,\Device\HarddiskVolume3\Windows\System32\lsass.exe,69,255,0,1,1747937580,1747937649,69,1747937580,8090,18,11,0,8061,8074,0,0,0,0,0,701,0,0,0,0,0,0,6956,0,0,0,0,0,10,401,0,0
3332,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937580,1747937650,70,1747937580,37,2,5,0,30,37,0,0,0,0,0,0,0,0,0,2,11584,1073697871,0,0,0,0,0,0,8,300,0,0
4364,\Device\HarddiskVolume3\Windows\explorer.exe,71,250,0,1,1747937580,1747937652,72,1747937580,12746,274,7,0,12465,12570,0,0,4507,0,0,0,0,0,0,2,559,1073728568,10732,0,0,0,0,2,12,315,0,0
1520,\Device\HarddiskVolume3\Windows\System32\svchost.exe,69,281,0,1,1747937580,1747937649,69,1747937580,595,52,13,0,530,595,0,0,0,0,0,0,0,0,0,1,4777,4294906695,434,0,0,0,0,13,9,125,0,0
1904,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,69,266,0,1,1747937580,1747937649,69,1747937580,306,0,0,0,306,306,0,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,9,0,0,0
648,\Device\HarddiskVolume3\Windows\System32\csrss.exe,68,255,0,1,1747937581,1747937652,71,1747937581,162,0,0,0,162,162,0,0,0,0,0,0,0,0,0,2,3461,1073715780,88,0,0,0,0,0,8,0,0,0
2820,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,0,266,0,1,1747937581,1747937643,62,1747937581,45,0,0,0,45,45,0,0,0,0,0,0,0,0,0,1,1125,4294904840,0,0,0,0,0,0,9,0,0,0
3484,\Device\HarddiskVolume3\Windows\System32\conhost.exe,0,281,0,1,1747937581,1747937643,62,1747937581,152,0,0,0,152,152,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0
728,\Device\HarddiskVolume3\Windows\System32\csrss.exe,71,255,0,1,1747937581,1747937652,71,1747937581,568,0,0,0,568,568,0,0,0,0,0,0,0,0,0,2,10217,1073713706,422,0,0,0,0,0,11,0,0,0
2364,\Device\HarddiskVolume3\Windows\System32\cmd.exe,0,235,0,1,1747937581,1747937581,0,1747937581,77,0,0,0,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
3668,\Device\HarddiskVolume5\new\ransomware_high_confidence\clop\0778c67835cce4819fecc56c1059c791c0cf023a3a2c4db0ac696d1c3966f9e2.exe,62,323,0,1,1747937581,1747937643,62,1747937581,61578,1,8,0,61569,61578,0,0,871,0,0,9425,7,0,8,1,19605,4294966641,59516,0,0,0,0,0,12,115,0,0
5172,\Device\HarddiskVolume3\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe,0,311,0,1,1747937584,1747937585,1,1747937584,9,0,3,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
1696,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937586,1747937649,63,1747937586,33,0,1,0,32,33,0,0,0,0,0,0,0,0,0,1,3232,4294908038,0,0,0,0,0,0,8,0,0,0
5440,\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe,0,235,0,1,1747937586,1747937586,0,1747937586,106,0,1,0,105,106,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0
7852,\Device\HarddiskVolume3\Windows\System32\conhost.exe,0,281,0,1,1747937586,1747937586,0,1747937586,152,0,0,0,152,152,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0
1740,\Device\HarddiskVolume3\Windows\System32\upfc.exe,60,237,0,1,1747937589,1747937649,60,1747937589,110,3,4,0,103,110,0,0,41,0,0,0,0,0,5,2,7246,1073713782,100,0,0,0,0,6,9,232,0,0
3452,\Device\HarddiskVolume3\Windows\System32\svchost.exe,59,281,0,1,1747937589,1747937649,59,1747937589,15638,5048,0,0,10590,15608,0,0,229,0,0,0,0,0,0,1,304,4294913868,15864,0,0,0,0,47,9,0,0,0
5332,\Device\HarddiskVolume3\Windows\System32\wbem\WMIADAP.exe,61,281,0,1,1747937589,1747937652,62,1747937589,4165,2,0,0,4163,4165,0,0,210,0,0,0,0,0,6,0,0,0,4032,0,0,0,0,0,8,0,0,0
944,\Device\HarddiskVolume3\Windows\System32\svchost.exe,59,281,0,1,1747937589,1747937649,59,1747937589,573,6,1,0,566,573,0,0,413,0,0,0,0,0,22,1,575,4294913755,508,0,0,0,0,0,12,0,0,0
1008,\Device\HarddiskVolume3\Windows\System32\svchost.exe,59,281,0,1,1747937589,1747937650,60,1747937589,898,26,13,1,858,894,0,0,123,0,0,0,0,0,8,2,640,1073714961,813,0,0,0,0,2,16,251,0,0
4168,\Device\HarddiskVolume3\Windows\System32\wbem\WmiPrvSE.exe,0,291,0,1,1747937589,1747937590,0,1747937589,675,18,15,4,638,674,0,0,395,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8,347,0,0
2936,\Device\HarddiskVolume3\Windows\System32\svchost.exe,30,281,0,1,1747937590,1747937650,60,1747937590,171,12,0,0,159,159,0,0,0,0,0,0,0,0,0,2,4345,1073713297,200,0,0,0,0,4,9,0,0,0
