ProcessId,ProcessName,ProcessAgeSeconds,ProcessImageEntropy,SessionId,IsElevated,FirstSeenTime,LastSeenTime,OperationDurationSec,ProcessCreateTime,TotalOperationCount,CreateOperationCount,ModifyOperationCount,DeleteOperationCount,QueryOperationCount,UniqueKeysAccessed,AutorunKeysAccessed,SecurityKeysAccessed,FileAssocKeysAccessed,NetworkingKeysAccessed,ServicesKeysAccessed,SensitiveKeysAccessed,ProcessHijackKeysAccessed,DllHijackKeysAccessed,ComObjectKeysAccessed,OperationBurstCount,MaxOperationsPerBurst,BurstIntervalMs,OperationDensityPerMin,TimingVariance,RemoteOperationCount,FileExtensionModificationCount,SecuritySettingModificationCount,WritesToReadsRatio,RegistryKeyDepthMax,RegistryValueEntropyAvg,ComRegistryModifications,CriticalSystemKeyModifications
864,\Device\HarddiskVolume3\Windows\System32\services.exe,141,258,0,1,1747937576,1747937717,141,1747937576,649,0,2,0,647,649,0,0,0,0,0,0,24,0,0,3,2493,805281552,255,0,0,0,0,0,9,0,0,0
4824,\Device\HarddiskVolume3\Windows\System32\taskhostw.exe,140,276,0,1,1747937576,1747937717,141,1747937576,422,0,0,0,422,422,0,0,0,0,0,0,0,0,0,5,821,452967080,171,0,0,0,0,0,12,0,0,0
3316,\Device\HarddiskVolume3\Windows\System32\svchost.exe,137,281,0,1,1747937577,1747937718,141,1747937577,3338,187,24,0,3127,3338,0,0,0,0,0,433,0,0,0,3,595,805268510,1445,0,0,0,0,6,10,209,0,0
4852,\Device\HarddiskVolume3\Windows\System32\Taskmgr.exe,140,290,0,1,1747937577,1747937717,140,1747937577,17128,5,0,0,17123,17127,0,0,632,0,0,0,0,0,0,0,0,0,7328,0,0,0,0,0,12,0,0,0
3156,\Device\HarddiskVolume3\Windows\System32\spoolsv.exe,0,272,0,1,1747937578,1747937649,71,1747937578,11,0,3,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
884,\Device\HarddiskVolume3\Windows\System32\lsass.exe,137,255,0,1,1747937579,1747937717,137,1747937579,1317,29,11,0,1277,1297,0,0,0,0,0,829,0,0,0,1,472,4294953889,569,0,0,0,0,3,10,452,0,0
1520,\Device\HarddiskVolume3\Windows\System32\svchost.exe,137,281,0,1,1747937579,1747937717,137,1747937579,652,52,14,0,586,652,0,0,50,0,0,0,0,0,0,3,1130,805259267,262,0,0,0,0,11,9,125,0,0
1904,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,137,266,0,1,1747937579,1747937717,137,1747937579,339,0,0,0,339,339,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,9,0,0,0
3332,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937580,1747937700,119,1747937580,51,3,6,0,42,51,0,0,0,0,0,0,0,0,0,2,493,1073686118,0,0,0,0,0,0,8,293,0,0
648,\Device\HarddiskVolume3\Windows\System32\csrss.exe,137,255,0,1,1747937580,1747937717,137,1747937580,208,0,0,0,208,208,0,0,0,0,0,0,0,0,0,5,497,452969639,87,0,0,0,0,0,8,0,0,0
