ProcessId,ProcessName,ProcessAgeSeconds,ProcessImageEntropy,SessionId,IsElevated,FirstSeenTime,LastSeenTime,OperationDurationSec,ProcessCreateTime,TotalOperationCount,CreateOperationCount,ModifyOperationCount,DeleteOperationCount,QueryOperationCount,UniqueKeysAccessed,AutorunKeysAccessed,SecurityKeysAccessed,FileAssocKeysAccessed,NetworkingKeysAccessed,ServicesKeysAccessed,SensitiveKeysAccessed,ProcessHijackKeysAccessed,DllHijackKeysAccessed,ComObjectKeysAccessed,OperationBurstCount,MaxOperationsPerBurst,BurstIntervalMs,OperationDensityPerMin,TimingVariance,RemoteOperationCount,FileExtensionModificationCount,SecuritySettingModificationCount,WritesToReadsRatio,RegistryKeyDepthMax,RegistryValueEntropyAvg,ComRegistryModifications,CriticalSystemKeyModifications
864,\Device\HarddiskVolume3\Windows\System32\services.exe,75,258,0,1,1747937576,1747937652,75,1747937576,952,1,11,0,940,952,0,0,0,0,0,0,24,0,0,1,40,4294914734,720,0,0,0,0,1,9,173,0,0
4824,\Device\HarddiskVolume3\Windows\System32\taskhostw.exe,80,276,0,1,1747937576,1747937657,80,1747937576,206,0,0,0,206,206,0,0,0,0,0,0,0,0,0,1,335,4294920415,150,0,0,0,0,0,12,0,0,0
3316,\Device\HarddiskVolume3\Windows\System32\svchost.exe,73,281,0,1,1747937577,1747937656,79,1747937577,3332,187,18,0,3127,3332,0,0,0,0,0,433,0,0,0,2,2270,1073718582,2712,0,0,0,0,6,10,232,0,0
4852,\Device\HarddiskVolume3\Windows\System32\Taskmgr.exe,82,290,0,1,1747937577,1747937660,82,1747937577,11706,0,0,0,11706,11706,0,0,1192,0,0,0,0,0,0,0,0,0,8560,0,0,0,0,0,12,0,0,0
3156,\Device\HarddiskVolume3\Windows\System32\spoolsv.exe,0,272,0,1,1747937578,1747937649,71,1747937578,11,0,3,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
884,\Device\HarddiskVolume3\Windows\System32\lsass.exe,75,255,0,1,1747937580,1747937657,77,1747937580,1176,29,11,0,1136,1156,0,0,0,0,0,694,0,0,0,0,0,0,880,0,0,0,0,3,10,401,0,0
3332,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937580,1747937649,69,1747937580,37,2,5,0,30,37,0,0,0,0,0,0,0,0,0,1,465,4294911057,0,0,0,0,0,0,8,293,0,0
4364,\Device\HarddiskVolume3\Windows\explorer.exe,78,250,0,1,1747937580,1747937660,80,1747937580,32489,525,7,0,31957,32170,0,0,4952,0,0,0,0,0,0,0,0,0,24923,0,0,0,0,1,13,202,0,0
1520,\Device\HarddiskVolume3\Windows\System32\svchost.exe,77,281,0,1,1747937580,1747937657,77,1747937580,703,52,13,0,638,703,0,0,100,0,0,0,0,0,0,1,622,4294906725,545,0,0,0,0,10,9,125,0,0
1904,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,77,266,0,1,1747937580,1747937657,77,1747937580,312,0,0,0,312,312,0,0,0,0,0,0,0,0,0,0,0,0,233,0,0,0,0,0,9,0,0,0
648,\Device\HarddiskVolume3\Windows\System32\csrss.exe,64,255,0,1,1747937581,1747937657,76,1747937581,196,0,0,0,196,196,0,0,0,0,0,0,0,0,0,1,194,4294917128,93,0,0,0,0,0,8,0,0,0
2620,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,0,266,0,1,1747937581,1747937581,0,1747937581,45,0,0,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
3424,\Device\HarddiskVolume3\Windows\System32\conhost.exe,0,281,0,1,1747937581,1747937581,0,1747937581,152,0,0,0,152,152,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0
728,\Device\HarddiskVolume3\Windows\System32\csrss.exe,79,255,0,1,1747937581,1747937660,79,1747937581,655,0,0,0,655,655,0,0,0,0,0,0,0,0,0,1,88,4294905747,455,0,0,0,0,0,11,0,0,0
6040,\Device\HarddiskVolume3\Windows\System32\cmd.exe,0,235,0,1,1747937581,1747937581,0,1747937581,77,0,0,0,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
5076,\Device\HarddiskVolume5\new\ransomware_high_confidence\darkside\f3f25af554bedfa4ee2824bb858280282bd87828d446048619dc49fe061741b4.exe,0,316,0,1,1747937581,1747937581,0,1747937581,162,1,0,0,161,162,0,0,0,0,0,1,4,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0
