ProcessId,ProcessName,ProcessAgeSeconds,ProcessImageEntropy,SessionId,IsElevated,FirstSeenTime,LastSeenTime,OperationDurationSec,ProcessCreateTime,TotalOperationCount,CreateOperationCount,ModifyOperationCount,DeleteOperationCount,QueryOperationCount,UniqueKeysAccessed,AutorunKeysAccessed,SecurityKeysAccessed,FileAssocKeysAccessed,NetworkingKeysAccessed,ServicesKeysAccessed,SensitiveKeysAccessed,ProcessHijackKeysAccessed,DllHijackKeysAccessed,ComObjectKeysAccessed,OperationBurstCount,MaxOperationsPerBurst,BurstIntervalMs,OperationDensityPerMin,TimingVariance,RemoteOperationCount,FileExtensionModificationCount,SecuritySettingModificationCount,WritesToReadsRatio,RegistryKeyDepthMax,RegistryValueEntropyAvg,ComRegistryModifications,CriticalSystemKeyModifications
864,\Device\HarddiskVolume3\Windows\System32\services.exe,83,258,0,1,1747937577,1747937660,83,1747937577,884,0,2,0,882,884,0,0,0,0,0,0,36,0,0,0,0,0,578,0,0,0,0,0,9,0,0,0
4824,\Device\HarddiskVolume3\Windows\System32\taskhostw.exe,24,276,0,1,1747937577,1747937663,86,1747937577,188,0,0,0,188,188,0,0,0,0,0,0,0,0,0,2,361,1073719532,250,0,0,0,0,0,12,0,0,0
3316,\Device\HarddiskVolume3\Windows\System32\svchost.exe,83,281,0,1,1747937577,1747937663,86,1747937577,3901,241,36,0,3624,3901,0,0,0,0,0,603,0,0,0,1,63,4294917783,2819,0,0,0,0,7,10,219,0,0
4852,\Device\HarddiskVolume3\Windows\System32\Taskmgr.exe,85,290,0,1,1747937577,1747937663,85,1747937577,23904,215,0,0,23689,23814,49,0,599,0,0,0,0,0,0,0,0,0,16870,0,0,0,0,0,16,0,0,0
3156,\Device\HarddiskVolume3\Windows\System32\spoolsv.exe,0,272,0,1,1747937578,1747937649,71,1747937578,11,0,3,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
884,\Device\HarddiskVolume3\Windows\System32\lsass.exe,83,255,0,1,1747937580,1747937663,83,1747937580,1230,29,10,0,1191,1210,0,0,0,0,0,741,0,0,0,0,0,0,867,0,0,0,0,3,10,399,0,0
3332,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937580,1747937649,69,1747937580,37,2,5,0,30,37,0,0,0,0,0,0,0,0,0,1,1411,4294915680,0,0,0,0,0,0,8,300,0,0
4364,\Device\HarddiskVolume3\Windows\explorer.exe,81,250,0,1,1747937580,1747937662,82,1747937580,22238,431,10,0,21797,21950,0,0,7026,0,0,0,0,0,0,3,2641,805288964,16444,0,0,0,0,2,12,220,0,0
1520,\Device\HarddiskVolume3\Windows\System32\svchost.exe,83,281,0,1,1747937580,1747937663,83,1747937580,649,52,13,0,584,649,0,0,50,0,0,0,0,0,0,1,416,4294906537,433,0,0,0,0,11,9,125,0,0
1904,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,83,266,0,1,1747937580,1747937663,83,1747937580,315,0,0,0,315,315,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0,9,0,0,0
