ProcessId,ProcessName,ProcessAgeSeconds,ProcessImageEntropy,SessionId,IsElevated,FirstSeenTime,LastSeenTime,OperationDurationSec,ProcessCreateTime,TotalOperationCount,CreateOperationCount,ModifyOperationCount,DeleteOperationCount,QueryOperationCount,UniqueKeysAccessed,AutorunKeysAccessed,SecurityKeysAccessed,FileAssocKeysAccessed,NetworkingKeysAccessed,ServicesKeysAccessed,SensitiveKeysAccessed,ProcessHijackKeysAccessed,DllHijackKeysAccessed,ComObjectKeysAccessed,OperationBurstCount,MaxOperationsPerBurst,BurstIntervalMs,OperationDensityPerMin,TimingVariance,RemoteOperationCount,FileExtensionModificationCount,SecuritySettingModificationCount,WritesToReadsRatio,RegistryKeyDepthMax,RegistryValueEntropyAvg,ComRegistryModifications,CriticalSystemKeyModifications
864,\Device\HarddiskVolume3\Windows\System32\services.exe,66,258,0,1,1747937575,1747937648,72,1747937575,153,0,3,0,150,153,0,0,0,0,0,0,0,0,0,2,129861,4294915063,90,0,0,0,0,0,8,0,0,0
4824,\Device\HarddiskVolume3\Windows\System32\taskhostw.exe,58,276,0,1,1747937575,1747937648,72,1747937575,170,0,0,0,170,170,0,0,0,0,0,0,0,0,0,1,472,4294933402,103,0,0,0,0,0,12,0,0,0
884,\Device\HarddiskVolume3\Windows\System32\lsass.exe,72,255,0,1,1747937576,1747937648,72,1747937576,980,16,10,0,954,964,0,0,0,0,0,712,0,0,0,0,0,0,750,0,0,0,0,2,9,398,0,0
1904,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,72,266,0,1,1747937576,1747937648,72,1747937576,315,0,0,0,315,315,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,9,0,0,0
4852,\Device\HarddiskVolume3\Windows\System32\Taskmgr.exe,72,290,0,1,1747937576,1747937648,72,1747937576,8439,0,0,0,8439,8439,0,0,141,0,0,0,0,0,0,0,0,0,7000,0,0,0,0,0,12,0,0,0
3316,\Device\HarddiskVolume3\Windows\System32\svchost.exe,66,281,0,1,1747937576,1747937645,68,1747937576,3236,181,12,0,3043,3236,0,0,0,0,0,433,0,0,0,1,2096,4294911132,2909,0,0,0,0,6,10,163,0,0
1520,\Device\HarddiskVolume3\Windows\System32\svchost.exe,69,281,0,1,1747937579,1747937648,69,1747937579,649,52,13,0,584,649,0,0,50,0,0,0,0,0,0,1,3629,4294904889,521,0,0,0,0,11,9,125,0,0
648,\Device\HarddiskVolume3\Windows\System32\csrss.exe,63,255,0,1,1747937579,1747937648,69,1747937579,131,0,0,0,131,131,0,0,0,0,0,0,0,0,0,2,5932,1073709907,95,0,0,0,0,0,8,0,0,0
2620,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,0,266,0,1,1747937579,1747937642,63,1747937579,45,0,0,0,45,45,0,0,0,0,0,0,0,0,0,1,269,4294904037,0,0,0,0,0,0,9,0,0,0
3424,\Device\HarddiskVolume3\Windows\System32\conhost.exe,0,281,0,1,1747937579,1747937642,63,1747937579,152,0,0,0,152,152,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0
728,\Device\HarddiskVolume3\Windows\System32\csrss.exe,69,255,0,1,1747937579,1747937648,69,1747937579,542,0,0,0,542,542,0,0,0,0,0,0,0,0,0,1,699,4294911478,434,0,0,0,0,0,11,0,0,0
6040,\Device\HarddiskVolume3\Windows\System32\cmd.exe,0,235,0,1,1747937579,1747937579,0,1747937579,77,0,0,0,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
5076,\Device\HarddiskVolume5\new\ransomware_high_confidence\gandcrab\007988b1ffdce1e161071f92a130b64650735a5eed6445806c2c967d0902c286.exe,63,337,0,1,1747937579,1747937642,63,1747937579,551010,8,3,0,550999,551008,0,0,0,0,0,122348,4,0,3,0,0,0,524761,0,0,0,0,0,10,362,0,0
3332,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937580,1747937640,59,1747937580,28,2,2,0,24,28,0,0,0,0,0,0,0,0,0,1,14400,4294912234,0,0,0,0,0,0,7,300,0,0
5372,\Device\HarddiskVolume3\Windows\System32\SearchIndexer.exe,48,294,0,1,1747937580,1747937642,62,1747937580,290,1,4,0,285,289,0,0,73,0,0,0,0,0,0,2,37815,1073727292,250,0,0,0,0,1,9,227,0,0
7940,\Device\HarddiskVolume3\Windows\System32\SearchProtocolHost.exe,52,304,0,1,1747937580,1747937632,52,1747937580,5217,2,1,0,5214,5216,0,0,933,0,0,0,0,0,7,1,36036,4294922422,6000,0,0,0,0,0,12,293,0,0
5232,\Device\HarddiskVolume3\Windows\System32\SearchFilterHost.exe,49,319,0,1,1747937580,1747937632,52,1747937580,747,1,0,0,746,746,0,0,418,0,0,0,0,0,7,0,0,0,857,0,0,0,0,0,9,0,0,0
4364,\Device\HarddiskVolume3\Windows\explorer.exe,65,250,0,1,1747937580,1747937646,66,1747937580,22673,352,12,0,22309,22416,0,0,5004,0,0,0,0,0,0,1,4717,4294951637,20861,0,0,0,0,1,13,262,0,0
5172,\Device\HarddiskVolume3\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe,0,311,0,1,1747937584,1747937585,1,1747937584,9,0,3,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
1008,\Device\HarddiskVolume3\Windows\System32\svchost.exe,55,281,0,1,1747937586,1747937648,62,1747937586,151,0,5,0,146,151,0,0,66,0,0,0,0,0,4,2,2404,1073709563,109,0,0,0,0,0,9,0,0,0
1160,\Device\HarddiskVolume3\Windows\System32\dllhost.exe,0,281,0,1,1747937586,1747937591,5,1747937586,419,0,0,0,419,419,0,0,297,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,9,0,0,0
3452,\Device\HarddiskVolume3\Windows\System32\svchost.exe,52,281,0,1,1747937589,1747937642,52,1747937589,15723,5031,0,0,10692,15698,0,0,375,0,0,0,0,0,0,1,171,4294915455,18115,0,0,0,0,47,9,0,0,0
4648,\Device\HarddiskVolume3\Windows\System32\wbem\WMIADAP.exe,57,281,0,1,1747937590,1747937648,58,1747937590,3755,2,0,0,3753,3755,0,0,210,0,0,0,0,0,6,0,0,0,3894,0,0,0,0,0,8,0,0,0
944,\Device\HarddiskVolume3\Windows\System32\svchost.exe,52,281,0,1,1747937590,1747937648,58,1747937590,472,0,1,0,471,472,0,0,386,0,0,0,0,0,20,1,965,4294915187,461,0,0,0,0,0,8,0,0,0
5196,\Device\HarddiskVolume3\Windows\System32\wbem\WmiPrvSE.exe,0,291,0,1,1747937590,1747937590,0,1747937590,675,18,15,4,638,674,0,0,395,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8,347,0,0
2936,\Device\HarddiskVolume3\Windows\System32\svchost.exe,30,281,0,1,1747937590,1747937620,30,1747937590,114,8,0,0,106,106,0,0,0,0,0,0,0,0,0,1,14230,4294938935,200,0,0,0,0,4,9,0,0,0
5024,\Device\HarddiskVolume3\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.22.11141.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe,30,323,0,1,1747937591,1747937621,30,1747937591,1120,0,0,0,1120,1120,0,0,700,0,0,0,0,0,0,1,4993,4294937891,2200,0,0,0,0,0,9,0,0,0
3048,\Device\HarddiskVolume3\Users\wineleven\AppData\Local\Microsoft\OneDrive\OneDrive.exe,0,266,0,1,1747937595,1747937645,50,1747937595,78,0,0,2,76,78,0,0,0,0,0,0,0,0,0,5,142463,603976221,0,0,0,0,0,0,9,0,0,0
2128,\Device\HarddiskVolume3\Windows\System32\svchost.exe,40,281,0,1,1747937595,1747937635,40,1747937595,678,6,0,0,672,675,0,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0,1,9,0,0,0
2808,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937605,1747937645,40,1747937605,92,2,0,0,90,92,0,0,0,0,0,0,0,0,0,2,3271,1073728698,0,0,0,0,0,0,9,0,0,0
7592,\Device\HarddiskVolume3\Windows\System32\dllhost.exe,0,281,0,1,1747937628,1747937634,5,1747937628,1645,0,0,0,1645,1645,0,0,1382,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,9,0,0,0
1492,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937641,1747937642,1,1747937641,78,2,2,0,74,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,434,0,0
