ProcessId,ProcessName,ProcessAgeSeconds,ProcessImageEntropy,SessionId,IsElevated,FirstSeenTime,LastSeenTime,OperationDurationSec,ProcessCreateTime,TotalOperationCount,CreateOperationCount,ModifyOperationCount,DeleteOperationCount,QueryOperationCount,UniqueKeysAccessed,AutorunKeysAccessed,SecurityKeysAccessed,FileAssocKeysAccessed,NetworkingKeysAccessed,ServicesKeysAccessed,SensitiveKeysAccessed,ProcessHijackKeysAccessed,DllHijackKeysAccessed,ComObjectKeysAccessed,OperationBurstCount,MaxOperationsPerBurst,BurstIntervalMs,OperationDensityPerMin,TimingVariance,RemoteOperationCount,FileExtensionModificationCount,SecuritySettingModificationCount,WritesToReadsRatio,RegistryKeyDepthMax,RegistryValueEntropyAvg,ComRegistryModifications,CriticalSystemKeyModifications
864,\Device\HarddiskVolume3\Windows\System32\services.exe,74,258,0,1,1747937576,1747937650,74,1747937576,382,0,3,0,379,382,0,0,0,0,0,0,24,0,0,2,50117,4294915058,243,0,0,0,0,1,9,0,0,0
4824,\Device\HarddiskVolume3\Windows\System32\taskhostw.exe,66,276,0,1,1747937576,1747937650,74,1747937576,188,0,0,0,188,188,0,0,0,0,0,0,0,0,0,2,668,1073721497,90,0,0,0,0,0,12,0,0,0
884,\Device\HarddiskVolume3\Windows\System32\lsass.exe,74,255,0,1,1747937576,1747937653,76,1747937576,1128,18,11,0,1099,1112,0,0,0,0,0,761,0,0,0,0,0,0,891,0,0,0,0,2,10,400,0,0
1904,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,74,266,0,1,1747937576,1747937651,75,1747937576,318,0,0,0,318,318,0,0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,9,0,0,0
4852,\Device\HarddiskVolume3\Windows\System32\Taskmgr.exe,76,290,0,1,1747937576,1747937653,76,1747937576,9679,0,0,0,9679,9679,0,0,505,0,0,0,0,0,0,0,0,0,7578,0,0,0,0,0,12,0,0,0
3316,\Device\HarddiskVolume3\Windows\System32\svchost.exe,66,281,0,1,1747937576,1747937652,75,1747937576,3290,184,17,0,3089,3290,0,0,0,0,0,433,0,0,0,1,376,4294911239,2909,0,0,0,0,6,10,239,0,0
3156,\Device\HarddiskVolume3\Windows\System32\spoolsv.exe,0,272,0,1,1747937578,1747937649,71,1747937578,11,0,3,0,8,11,0,0,0,0,0,0,0,0,0,1,49,4294896022,0,0,0,0,0,0,8,0,0,0
1520,\Device\HarddiskVolume3\Windows\System32\svchost.exe,71,281,0,1,1747937579,1747937650,71,1747937579,649,52,13,0,584,649,0,0,50,0,0,0,0,0,0,1,21348,4294907010,507,0,0,0,0,11,9,125,0,0
648,\Device\HarddiskVolume3\Windows\System32\csrss.exe,62,255,0,1,1747937579,1747937653,73,1747937579,195,0,0,0,195,195,0,0,0,0,0,0,0,0,0,1,89,4294923059,96,0,0,0,0,0,8,0,0,0
2820,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,0,266,0,1,1747937579,1747937642,62,1747937579,45,0,0,0,45,45,0,0,0,0,0,0,0,0,0,1,3095,4294904787,0,0,0,0,0,0,9,0,0,0
