ProcessId,ProcessName,ProcessAgeSeconds,ProcessImageEntropy,SessionId,IsElevated,FirstSeenTime,LastSeenTime,OperationDurationSec,ProcessCreateTime,TotalOperationCount,CreateOperationCount,ModifyOperationCount,DeleteOperationCount,QueryOperationCount,UniqueKeysAccessed,AutorunKeysAccessed,SecurityKeysAccessed,FileAssocKeysAccessed,NetworkingKeysAccessed,ServicesKeysAccessed,SensitiveKeysAccessed,ProcessHijackKeysAccessed,DllHijackKeysAccessed,ComObjectKeysAccessed,OperationBurstCount,MaxOperationsPerBurst,BurstIntervalMs,OperationDensityPerMin,TimingVariance,RemoteOperationCount,FileExtensionModificationCount,SecuritySettingModificationCount,WritesToReadsRatio,RegistryKeyDepthMax,RegistryValueEntropyAvg,ComRegistryModifications,CriticalSystemKeyModifications
864,\Device\HarddiskVolume3\Windows\System32\services.exe,76,258,0,1,1747937576,1747937655,78,1747937576,553,0,3,0,550,553,0,0,0,0,0,0,24,0,0,2,55573,4294911766,394,0,0,0,0,0,9,0,0,0
4852,\Device\HarddiskVolume3\Windows\System32\Taskmgr.exe,82,290,0,1,1747937576,1747937659,82,1747937576,10324,3,0,0,10321,10324,0,0,543,0,0,0,0,0,0,0,0,0,7536,0,0,0,0,0,12,0,0,0
4824,\Device\HarddiskVolume3\Windows\System32\taskhostw.exe,73,276,0,1,1747937576,1747937657,80,1747937576,170,0,0,0,170,170,0,0,0,0,0,0,0,0,0,2,501,1073721295,82,0,0,0,0,0,12,0,0,0
3316,\Device\HarddiskVolume3\Windows\System32\svchost.exe,75,281,0,1,1747937577,1747937658,81,1747937577,3294,184,17,0,3093,3294,0,0,0,0,0,433,0,0,0,1,380,4294910876,2560,0,0,0,0,6,10,170,0,0
3156,\Device\HarddiskVolume3\Windows\System32\spoolsv.exe,0,272,0,1,1747937578,1747937649,71,1747937578,11,0,3,0,8,11,0,0,0,0,0,0,0,0,0,1,34,4294896039,0,0,0,0,0,0,8,0,0,0
884,\Device\HarddiskVolume3\Windows\System32\lsass.exe,77,255,0,1,1747937579,1747937657,77,1747937579,1174,29,10,0,1135,1154,0,0,0,0,0,695,0,0,0,0,0,0,857,0,0,0,0,3,10,398,0,0
1520,\Device\HarddiskVolume3\Windows\System32\svchost.exe,77,281,0,1,1747937579,1747937657,77,1747937579,649,52,13,0,584,649,0,0,50,0,0,0,0,0,0,1,1848,4294905384,467,0,0,0,0,11,9,125,0,0
1904,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,77,266,0,1,1747937579,1747937657,77,1747937579,312,0,0,0,312,312,0,0,0,0,0,0,0,0,0,0,0,0,233,0,0,0,0,0,9,0,0,0
648,\Device\HarddiskVolume3\Windows\System32\csrss.exe,69,255,0,1,1747937579,1747937657,77,1747937579,198,0,0,0,198,198,0,0,0,0,0,0,0,0,0,1,277,4294919497,86,0,0,0,0,0,8,0,0,0
6828,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,0,266,0,1,1747937579,1747937650,70,1747937579,45,0,0,0,45,45,0,0,0,0,0,0,0,0,0,1,4145,4294897378,0,0,0,0,0,0,9,0,0,0
