ProcessId,ProcessName,ProcessAgeSeconds,ProcessImageEntropy,SessionId,IsElevated,FirstSeenTime,LastSeenTime,OperationDurationSec,ProcessCreateTime,TotalOperationCount,CreateOperationCount,ModifyOperationCount,DeleteOperationCount,QueryOperationCount,UniqueKeysAccessed,AutorunKeysAccessed,SecurityKeysAccessed,FileAssocKeysAccessed,NetworkingKeysAccessed,ServicesKeysAccessed,SensitiveKeysAccessed,ProcessHijackKeysAccessed,DllHijackKeysAccessed,ComObjectKeysAccessed,OperationBurstCount,MaxOperationsPerBurst,BurstIntervalMs,OperationDensityPerMin,TimingVariance,RemoteOperationCount,FileExtensionModificationCount,SecuritySettingModificationCount,WritesToReadsRatio,RegistryKeyDepthMax,RegistryValueEntropyAvg,ComRegistryModifications,CriticalSystemKeyModifications
864,\Device\HarddiskVolume3\Windows\System32\services.exe,74,258,0,1,1747937576,1747937650,74,1747937576,839,0,3,0,836,839,0,0,0,0,0,0,48,0,0,0,0,0,648,0,0,0,0,0,9,0,0,0
4824,\Device\HarddiskVolume3\Windows\System32\taskhostw.exe,80,276,0,1,1747937576,1747937657,80,1747937576,206,0,0,0,206,206,0,0,0,0,0,0,0,0,0,2,93213,4294913968,150,0,0,0,0,0,12,0,0,0
3316,\Device\HarddiskVolume3\Windows\System32\svchost.exe,72,281,0,1,1747937576,1747937657,80,1747937576,5013,221,36,0,4756,5013,0,0,0,0,0,600,0,0,0,2,2149,1073719523,4166,0,0,0,0,5,10,239,0,0
4852,\Device\HarddiskVolume3\Windows\System32\Taskmgr.exe,79,290,0,1,1747937577,1747937657,79,1747937577,10249,3,0,0,10246,10249,0,0,386,0,0,0,0,0,0,0,0,0,7746,0,0,0,0,0,13,0,0,0
3156,\Device\HarddiskVolume3\Windows\System32\spoolsv.exe,0,272,0,1,1747937578,1747937649,71,1747937578,11,0,3,0,8,11,0,0,0,0,0,0,0,0,0,1,666,4294895732,0,0,0,0,0,0,8,0,0,0
884,\Device\HarddiskVolume3\Windows\System32\lsass.exe,77,255,0,1,1747937579,1747937657,77,1747937579,1175,29,10,0,1136,1155,0,0,0,0,0,692,0,0,0,0,0,0,857,0,0,0,0,3,10,401,0,0
1520,\Device\HarddiskVolume3\Windows\System32\svchost.exe,77,281,0,1,1747937579,1747937657,77,1747937579,649,52,13,0,584,649,0,0,50,0,0,0,0,0,0,1,520,4294905931,467,0,0,0,0,11,9,125,0,0
1904,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,77,266,0,1,1747937579,1747937657,77,1747937579,312,0,0,0,312,312,0,0,0,0,0,0,0,0,0,0,0,0,233,0,0,0,0,0,9,0,0,0
3332,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937580,1747937649,69,1747937580,37,2,5,0,30,37,0,0,0,0,0,0,0,0,0,1,577,4294912221,0,0,0,0,0,0,8,300,0,0
4364,\Device\HarddiskVolume3\Windows\explorer.exe,74,250,0,1,1747937580,1747937655,75,1747937580,3031,17,10,0,3004,3031,0,0,1365,0,0,0,0,0,0,2,714,1073724273,2432,0,0,0,0,0,13,328,0,0
648,\Device\HarddiskVolume3\Windows\System32\csrss.exe,76,255,0,1,1747937580,1747937657,76,1747937580,403,0,0,0,403,403,0,0,0,0,0,0,0,0,0,1,65,4294916150,315,0,0,0,0,0,11,0,0,0
2664,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,0,266,0,1,1747937580,1747937583,3,1747937580,45,0,0,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
2904,\Device\HarddiskVolume3\Windows\System32\conhost.exe,0,281,0,1,1747937580,1747937583,3,1747937580,152,0,0,0,152,152,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0
728,\Device\HarddiskVolume3\Windows\System32\csrss.exe,77,255,0,1,1747937580,1747937657,77,1747937580,629,0,0,0,629,629,0,0,0,0,0,0,0,0,0,1,88,4294899287,467,0,0,0,0,0,11,0,0,0
