ProcessId,ProcessName,ProcessAgeSeconds,ProcessImageEntropy,SessionId,IsElevated,FirstSeenTime,LastSeenTime,OperationDurationSec,ProcessCreateTime,TotalOperationCount,CreateOperationCount,ModifyOperationCount,DeleteOperationCount,QueryOperationCount,UniqueKeysAccessed,AutorunKeysAccessed,SecurityKeysAccessed,FileAssocKeysAccessed,NetworkingKeysAccessed,ServicesKeysAccessed,SensitiveKeysAccessed,ProcessHijackKeysAccessed,DllHijackKeysAccessed,ComObjectKeysAccessed,OperationBurstCount,MaxOperationsPerBurst,BurstIntervalMs,OperationDensityPerMin,TimingVariance,RemoteOperationCount,FileExtensionModificationCount,SecuritySettingModificationCount,WritesToReadsRatio,RegistryKeyDepthMax,RegistryValueEntropyAvg,ComRegistryModifications,CriticalSystemKeyModifications
864,\Device\HarddiskVolume3\Windows\System32\services.exe,130,258,0,1,1747937577,1747937707,130,1747937577,1413,0,2,0,1411,1413,0,0,0,0,0,0,36,0,0,2,2231,1073727893,646,0,0,0,0,0,9,0,0,0
4824,\Device\HarddiskVolume3\Windows\System32\taskhostw.exe,129,276,0,1,1747937577,1747937706,129,1747937577,602,0,0,0,602,602,0,0,0,0,0,0,0,0,0,4,4453,603951846,279,0,0,0,0,0,12,0,0,0
4852,\Device\HarddiskVolume3\Windows\System32\Taskmgr.exe,130,290,0,1,1747937577,1747937707,130,1747937577,20249,52,1,0,20196,20228,5,0,1864,0,0,0,0,0,0,1,811,4294958496,9323,0,0,0,0,0,16,293,0,0
3316,\Device\HarddiskVolume3\Windows\System32\svchost.exe,93,281,0,1,1747937577,1747937703,125,1747937577,4108,260,59,0,3789,4108,0,0,0,0,0,603,0,0,0,3,542,805277462,2645,0,0,0,0,8,10,188,0,0
3156,\Device\HarddiskVolume3\Windows\System32\spoolsv.exe,0,272,0,1,1747937578,1747937649,71,1747937578,11,0,3,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
884,\Device\HarddiskVolume3\Windows\System32\lsass.exe,109,255,0,1,1747937580,1747937706,126,1747937580,1291,29,11,0,1251,1271,0,0,0,0,0,779,0,0,0,1,1236,4294955453,660,0,0,0,0,3,10,398,0,0
3332,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937580,1747937700,120,1747937580,51,3,6,0,42,51,0,0,0,0,0,0,0,0,0,2,3156,1073690833,0,0,0,0,0,0,8,300,0,0
4364,\Device\HarddiskVolume3\Windows\explorer.exe,126,250,0,1,1747937580,1747937706,126,1747937580,60122,1021,92,4,59005,59426,0,0,18515,0,0,0,0,0,0,3,462,805276627,28619,0,0,0,0,1,13,659,0,0
1520,\Device\HarddiskVolume3\Windows\System32\svchost.exe,108,281,0,1,1747937580,1747937705,125,1747937580,598,52,14,0,532,598,0,0,0,0,0,0,0,0,0,4,1205,603943353,277,0,0,0,0,13,9,125,0,0
1904,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,108,266,0,1,1747937580,1747937704,123,1747937580,333,0,0,0,333,333,0,0,0,0,0,0,0,0,0,1,127,4294949810,166,0,0,0,0,0,9,0,0,0
648,\Device\HarddiskVolume3\Windows\System32\csrss.exe,83,255,0,1,1747937580,1747937706,125,1747937580,286,0,0,0,286,286,0,0,0,0,0,0,0,0,0,3,554,805295453,144,0,0,0,0,0,8,0,0,0
2664,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,0,266,0,1,1747937580,1747937668,87,1747937580,45,0,0,0,45,45,0,0,0,0,0,0,0,0,0,1,51,4294879501,0,0,0,0,0,0,9,0,0,0
2904,\Device\HarddiskVolume3\Windows\System32\conhost.exe,0,281,0,1,1747937580,1747937668,87,1747937580,153,0,1,0,152,153,0,0,0,0,0,0,0,0,3,1,103,4294879489,0,0,0,0,0,0,9,250,0,0
728,\Device\HarddiskVolume3\Windows\System32\csrss.exe,126,255,0,1,1747937580,1747937707,126,1747937580,1108,0,0,0,1108,1108,0,0,0,0,0,0,0,0,0,2,379,1073700707,523,0,0,0,0,0,11,0,0,0
5560,\Device\HarddiskVolume3\Windows\System32\cmd.exe,0,235,0,1,1747937581,1747937581,0,1747937581,77,0,0,0,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
2336,\Device\HarddiskVolume5\new\ransomware_high_confidence\lockbit\21aab3925870f8e11cf4c94b9b84d252118278a50206e622b8148001e205213f.exe,12,326,0,1,1747937581,1747937668,87,1747937581,13682,37,19,0,13626,13680,0,0,3851,0,0,0,23,0,18,1,850,4294895487,68000,0,0,0,0,0,12,221,0,0
4740,\Device\HarddiskVolume3\Windows\System32\conhost.exe,0,281,0,1,1747937581,1747937668,87,1747937581,394,0,3,0,391,394,0,0,178,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,9,250,0,0
4,,0,0,0,1,1747937581,1747937705,124,1747937581,21,3,7,6,5,21,0,0,0,0,0,0,0,0,0,3,3840,805272624,0,0,0,0,0,0,9,305,0,0
5024,\Device\HarddiskVolume3\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.22.11141.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe,40,323,0,1,1747937581,1747937668,87,1747937581,1131,0,0,0,1131,1131,0,0,700,0,0,0,0,0,0,2,108098,4294937890,1650,0,0,0,0,0,9,0,0,0
5964,\Device\HarddiskVolume3\Windows\System32\ctfmon.exe,87,290,0,1,1747937581,1747937668,87,1747937581,2584,3,3,0,2578,2584,0,0,272,0,0,0,0,0,0,0,0,0,1724,0,0,0,0,0,9,474,0,0
1096,\Device\HarddiskVolume3\Windows\System32\dwm.exe,0,235,0,1,1747937581,1747937648,67,1747937581,32,0,10,0,22,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
1008,\Device\HarddiskVolume3\Windows\System32\svchost.exe,87,281,0,1,1747937581,1747937700,119,1747937581,1993,64,21,1,1907,1983,0,0,436,0,0,65,12,0,24,4,604,603961237,1310,0,0,0,0,4,16,254,0,0
3012,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937581,1747937649,68,1747937581,222,24,1,0,197,198,0,0,72,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,10,0,0,0
5404,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937581,1747937581,0,1747937581,766,0,0,0,766,766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
3400,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937581,1747937649,68,1747937581,357,2,1,0,354,357,0,0,245,0,0,0,0,0,2,1,21,4294899485,0,0,0,0,0,0,8,0,0,0
944,\Device\HarddiskVolume3\Windows\System32\svchost.exe,121,281,0,1,1747937581,1747937707,126,1747937581,2989,42,1,0,2946,2989,0,0,1798,0,0,0,0,0,83,3,1358,805293405,1438,0,0,0,0,1,12,0,0,0
3452,\Device\HarddiskVolume3\Windows\System32\svchost.exe,121,281,0,1,1747937581,1747937702,121,1747937581,17286,5500,0,0,11786,17246,0,0,391,0,0,0,0,0,0,3,561,805284233,8528,0,0,0,0,46,9,0,0,0
1236,\Device\HarddiskVolume3\Windows\System32\wbem\WmiPrvSE.exe,0,291,0,1,1747937581,1747937664,82,1747937581,672,12,3,2,655,671,0,0,410,0,0,0,0,0,6,2,1487,1073702216,0,0,0,0,0,2,8,319,0,0
4756,\Device\HarddiskVolume3\Windows\System32\svchost.exe,7,281,0,1,1747937581,1747937706,125,1747937581,2286,8,9,0,2269,2286,0,0,1070,0,0,0,0,0,6,1,17210,4294959848,18857,0,0,0,0,0,13,267,0,0
1696,\Device\HarddiskVolume3\Windows\System32\svchost.exe,82,281,0,1,1747937581,1747937706,125,1747937581,232,0,1,0,231,232,0,0,0,0,0,0,0,0,0,3,4252,805266756,146,0,0,0,0,0,8,0,0,0
4660,\Device\HarddiskVolume3\Windows\System32\sihost.exe,124,280,0,1,1747937581,1747937706,125,1747937581,2393,21,7,0,2365,2393,3,0,929,0,0,0,0,0,0,3,10993,805286609,1112,0,0,0,0,0,14,449,0,0
4196,\Device\HarddiskVolume3\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe,11,302,0,1,1747937581,1747937609,28,1747937581,8664,12,1,0,8651,8662,0,0,1877,0,0,0,0,0,9,0,0,0,46909,0,0,0,0,0,14,0,0,0
1076,\Device\HarddiskVolume3\Windows\System32\cmd.exe,0,235,0,1,1747937581,1747937596,14,1747937581,104,0,1,0,103,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,250,0,0
3648,\Device\HarddiskVolume3\Windows\System32\conhost.exe,0,281,0,1,1747937581,1747937596,14,1747937581,152,0,1,0,151,152,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,250,0,0
3860,\Device\HarddiskVolume3\Windows\System32\vssadmin.exe,0,283,0,1,1747937581,1747937581,0,1747937581,298,0,0,0,298,298,0,0,197,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,9,0,0,0
8368,\Device\HarddiskVolume3\Windows\System32\VSSVC.exe,0,266,0,1,1747937581,1747937593,11,1747937581,520,10,0,0,510,515,0,0,269,0,0,0,0,0,13,1,874,4294956877,0,0,0,0,0,1,9,0,0,0
8628,\Device\HarddiskVolume3\Windows\System32\dllhost.exe,0,281,0,1,1747937581,1747937592,11,1747937581,456,0,0,0,456,456,0,0,331,0,0,0,0,0,13,1,284,4294956446,0,0,0,0,0,0,9,0,0,0
2152,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937581,1747937581,0,1747937581,149,0,0,0,149,149,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
9008,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937581,1747937581,0,1747937581,372,0,0,0,372,372,0,0,145,0,0,0,34,0,9,0,0,0,0,0,0,0,0,0,8,0,0,0
9256,\Device\HarddiskVolume3\Windows\System32\RuntimeBroker.exe,6,320,0,1,1747937581,1747937588,6,1747937581,2963,0,0,0,2963,2963,0,0,1014,0,0,0,34,0,9,0,0,0,29000,0,0,0,0,0,12,0,0,0
9380,\Device\HarddiskVolume3\Windows\System32\bcdedit.exe,0,263,0,1,1747937581,1747937581,0,1747937581,266,8,14,1,243,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,140,0,0
5732,\Device\HarddiskVolume3\Windows\System32\svchost.exe,6,281,0,1,1747937581,1747937707,125,1747937581,11083,528,1,0,10554,11083,0,0,0,0,0,0,0,0,0,0,0,0,110000,0,0,0,0,4,11,691,0,0
9540,\Device\HarddiskVolume3\Windows\System32\bcdedit.exe,0,263,0,1,1747937582,1747937582,0,1747937582,266,8,14,1,243,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,134,0,0
9624,\Device\HarddiskVolume3\Windows\System32\wbadmin.exe,0,290,0,1,1747937582,1747937596,13,1747937582,245,0,0,0,245,245,0,0,117,0,0,0,0,0,6,1,3172,4294955514,0,0,0,0,0,0,9,0,0,0
9756,\Device\HarddiskVolume3\Windows\System32\wbengine.exe,11,258,0,1,1747937582,1747937596,13,1747937582,237,1,0,0,236,236,0,0,115,0,0,0,0,0,6,1,2354,4294956382,1090,0,0,0,0,0,8,0,0,0
2556,\Device\HarddiskVolume3\Windows\System32\svchost.exe,17,281,0,1,1747937582,1747937649,67,1747937582,328,6,1,0,321,328,0,0,54,0,0,0,0,0,0,2,391,1073722691,1058,0,0,0,0,2,11,0,0,0
3108,\Device\HarddiskVolume3\Windows\System32\audiodg.exe,10,281,0,1,1747937582,1747937650,67,1747937582,680,15,1,0,664,680,0,0,231,0,0,0,0,0,0,1,125,4294956583,3600,0,0,0,0,1,13,0,0,0
10048,\Device\HarddiskVolume3\Windows\System32\vdsldr.exe,0,280,0,1,1747937582,1747937602,19,1747937582,137,0,0,0,137,137,0,0,53,0,0,0,0,0,6,1,67,4294955603,0,0,0,0,0,0,9,0,0,0
10180,\Device\HarddiskVolume3\Windows\System32\cmd.exe,0,235,0,1,1747937582,1747937582,0,1747937582,59,0,1,0,58,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,241,0,0
10204,\Device\HarddiskVolume3\Windows\System32\conhost.exe,0,281,0,1,1747937582,1747937582,0,1747937582,114,0,1,0,113,114,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,250,0,0
10256,\Device\HarddiskVolume3\Windows\System32\vssadmin.exe,0,283,0,1,1747937582,1747937582,0,1747937582,218,0,0,0,218,218,0,0,123,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,9,0,0,0
10396,\Device\HarddiskVolume3\Windows\System32\cmd.exe,0,235,0,1,1747937582,1747937582,0,1747937582,59,0,1,0,58,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,250,0,0
