ProcessId,ProcessName,ProcessAgeSeconds,ProcessImageEntropy,SessionId,IsElevated,FirstSeenTime,LastSeenTime,OperationDurationSec,ProcessCreateTime,TotalOperationCount,CreateOperationCount,ModifyOperationCount,DeleteOperationCount,QueryOperationCount,UniqueKeysAccessed,AutorunKeysAccessed,SecurityKeysAccessed,FileAssocKeysAccessed,NetworkingKeysAccessed,ServicesKeysAccessed,SensitiveKeysAccessed,ProcessHijackKeysAccessed,DllHijackKeysAccessed,ComObjectKeysAccessed,OperationBurstCount,MaxOperationsPerBurst,BurstIntervalMs,OperationDensityPerMin,TimingVariance,RemoteOperationCount,FileExtensionModificationCount,SecuritySettingModificationCount,WritesToReadsRatio,RegistryKeyDepthMax,RegistryValueEntropyAvg,ComRegistryModifications,CriticalSystemKeyModifications
864,\Device\HarddiskVolume3\Windows\System32\services.exe,111,258,0,1,1747937577,1747937690,113,1747937577,553,0,3,0,550,553,0,0,0,0,0,0,24,0,0,3,445,805269485,270,0,0,0,0,0,9,0,0,0
4824,\Device\HarddiskVolume3\Windows\System32\taskhostw.exe,17,276,0,1,1747937577,1747937693,116,1747937577,196,0,0,0,196,196,0,0,0,0,0,0,0,0,0,3,458,805281771,352,0,0,0,0,0,12,0,0,0
4852,\Device\HarddiskVolume3\Windows\System32\Taskmgr.exe,116,290,0,1,1747937577,1747937693,116,1747937577,14049,2,0,0,14047,14048,0,0,514,0,0,0,0,0,0,0,0,0,7241,0,0,0,0,0,12,0,0,0
3316,\Device\HarddiskVolume3\Windows\System32\svchost.exe,113,281,0,1,1747937577,1747937690,113,1747937577,3293,184,17,0,3092,3293,0,0,0,0,0,433,0,0,0,3,3155,805270094,1699,0,0,0,0,6,10,183,0,0
3156,\Device\HarddiskVolume3\Windows\System32\spoolsv.exe,0,272,0,1,1747937578,1747937649,71,1747937578,11,0,3,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
884,\Device\HarddiskVolume3\Windows\System32\lsass.exe,113,255,0,1,1747937580,1747937693,113,1747937580,1183,29,10,0,1144,1163,0,0,0,0,0,702,0,0,0,0,0,0,584,0,0,0,0,3,10,401,0,0
3332,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937580,1747937650,69,1747937580,39,2,5,0,32,39,0,0,0,0,0,0,0,0,0,1,540,4294912251,0,0,0,0,0,0,8,300,0,0
4364,\Device\HarddiskVolume3\Windows\explorer.exe,111,250,0,1,1747937580,1747937692,111,1747937580,13746,269,7,0,13470,13570,0,0,5419,0,0,0,0,0,0,3,1433,805289041,7405,0,0,0,0,2,12,315,0,0
1520,\Device\HarddiskVolume3\Windows\System32\svchost.exe,113,281,0,1,1747937580,1747937693,113,1747937580,649,52,13,0,584,649,0,0,50,0,0,0,0,0,0,2,602,1073687197,318,0,0,0,0,11,9,125,0,0
1904,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,113,266,0,1,1747937580,1747937693,113,1747937580,330,0,0,0,330,330,0,0,0,0,0,0,0,0,0,1,440,4294957961,159,0,0,0,0,0,9,0,0,0
648,\Device\HarddiskVolume3\Windows\System32\csrss.exe,109,255,0,1,1747937581,1747937693,112,1747937581,219,0,0,0,219,219,0,0,0,0,0,0,0,0,0,2,664,1073701349,110,0,0,0,0,0,11,0,0,0
2820,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,0,266,0,1,1747937581,1747937690,108,1747937581,45,0,0,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
3484,\Device\HarddiskVolume3\Windows\System32\conhost.exe,0,281,0,1,1747937581,1747937690,108,1747937581,152,0,0,0,152,152,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0
