ProcessId,ProcessName,ProcessAgeSeconds,ProcessImageEntropy,SessionId,IsElevated,FirstSeenTime,LastSeenTime,OperationDurationSec,ProcessCreateTime,TotalOperationCount,CreateOperationCount,ModifyOperationCount,DeleteOperationCount,QueryOperationCount,UniqueKeysAccessed,AutorunKeysAccessed,SecurityKeysAccessed,FileAssocKeysAccessed,NetworkingKeysAccessed,ServicesKeysAccessed,SensitiveKeysAccessed,ProcessHijackKeysAccessed,DllHijackKeysAccessed,ComObjectKeysAccessed,OperationBurstCount,MaxOperationsPerBurst,BurstIntervalMs,OperationDensityPerMin,TimingVariance,RemoteOperationCount,FileExtensionModificationCount,SecuritySettingModificationCount,WritesToReadsRatio,RegistryKeyDepthMax,RegistryValueEntropyAvg,ComRegistryModifications,CriticalSystemKeyModifications
864,\Device\HarddiskVolume3\Windows\System32\services.exe,103,258,0,1,1747937577,1747937680,103,1747937577,550,0,2,0,548,550,0,0,0,0,0,0,24,0,0,3,1690,805283798,291,0,0,0,0,0,9,0,0,0
4824,\Device\HarddiskVolume3\Windows\System32\taskhostw.exe,37,276,0,1,1747937577,1747937688,110,1747937577,170,0,0,0,170,170,0,0,0,0,0,0,0,0,0,3,17408,805285295,162,0,0,0,0,0,12,0,0,0
4852,\Device\HarddiskVolume3\Windows\System32\Taskmgr.exe,111,290,0,1,1747937577,1747937688,111,1747937577,11123,0,0,0,11123,11123,0,0,729,0,0,0,0,0,0,1,717,4294962291,6000,0,0,0,0,0,12,0,0,0
3316,\Device\HarddiskVolume3\Windows\System32\svchost.exe,105,281,0,1,1747937577,1747937683,105,1747937577,3331,187,18,0,3126,3331,0,0,0,0,0,433,0,0,0,4,2261,603958825,1885,0,0,0,0,6,10,190,0,0
3156,\Device\HarddiskVolume3\Windows\System32\spoolsv.exe,0,272,0,1,1747937578,1747937649,71,1747937578,11,0,3,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
3332,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937580,1747937649,69,1747937580,37,2,5,0,30,37,0,0,0,0,0,0,0,0,0,1,113,4294908145,0,0,0,0,0,0,8,300,0,0
884,\Device\HarddiskVolume3\Windows\System32\lsass.exe,108,255,0,1,1747937580,1747937688,108,1747937580,1204,29,11,0,1164,1184,0,0,0,0,0,712,0,0,0,0,0,0,666,0,0,0,0,3,10,401,0,0
4364,\Device\HarddiskVolume3\Windows\explorer.exe,105,250,0,1,1747937580,1747937686,106,1747937580,11795,318,17,6,11454,11587,0,0,5359,0,0,0,0,0,0,3,6040,1073726209,6685,0,0,0,0,3,12,229,0,0
1520,\Device\HarddiskVolume3\Windows\System32\svchost.exe,107,281,0,1,1747937580,1747937688,107,1747937580,649,52,13,0,584,649,0,0,50,0,0,0,0,0,0,2,2642,1073687220,336,0,0,0,0,11,9,125,0,0
1904,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,107,266,0,1,1747937580,1747937688,107,1747937580,327,0,0,0,327,327,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,9,0,0,0
