ProcessId,ProcessName,ProcessAgeSeconds,ProcessImageEntropy,SessionId,IsElevated,FirstSeenTime,LastSeenTime,OperationDurationSec,ProcessCreateTime,TotalOperationCount,CreateOperationCount,ModifyOperationCount,DeleteOperationCount,QueryOperationCount,UniqueKeysAccessed,AutorunKeysAccessed,SecurityKeysAccessed,FileAssocKeysAccessed,NetworkingKeysAccessed,ServicesKeysAccessed,SensitiveKeysAccessed,ProcessHijackKeysAccessed,DllHijackKeysAccessed,ComObjectKeysAccessed,OperationBurstCount,MaxOperationsPerBurst,BurstIntervalMs,OperationDensityPerMin,TimingVariance,RemoteOperationCount,FileExtensionModificationCount,SecuritySettingModificationCount,WritesToReadsRatio,RegistryKeyDepthMax,RegistryValueEntropyAvg,ComRegistryModifications,CriticalSystemKeyModifications
864,\Device\HarddiskVolume3\Windows\System32\services.exe,82,258,0,1,1747937576,1747937658,82,1747937576,498,0,3,0,495,498,0,0,0,0,0,0,24,0,0,3,3921,805274318,292,0,0,0,0,0,9,0,0,0
4824,\Device\HarddiskVolume3\Windows\System32\taskhostw.exe,71,276,0,1,1747937576,1747937661,85,1747937576,170,0,0,0,170,170,0,0,0,0,0,0,0,0,0,2,14089,4294930198,84,0,0,0,0,0,12,0,0,0
4852,\Device\HarddiskVolume3\Windows\System32\Taskmgr.exe,85,290,0,1,1747937576,1747937662,85,1747937576,10413,0,0,0,10413,10413,0,0,607,0,0,0,0,0,0,0,0,0,7341,0,0,0,0,0,12,0,0,0
3316,\Device\HarddiskVolume3\Windows\System32\svchost.exe,82,281,0,1,1747937576,1747937661,85,1747937576,3831,209,18,0,3604,3831,0,0,0,0,0,546,0,0,0,1,336,4294910830,2780,0,0,0,0,6,10,234,0,0
3156,\Device\HarddiskVolume3\Windows\System32\spoolsv.exe,0,272,0,1,1747937578,1747937649,71,1747937578,11,0,3,0,8,11,0,0,0,0,0,0,0,0,0,1,23,4294896016,0,0,0,0,0,0,8,0,0,0
884,\Device\HarddiskVolume3\Windows\System32\lsass.exe,81,255,0,1,1747937579,1747937662,82,1747937579,1176,29,10,0,1137,1156,0,0,0,0,0,693,0,0,0,0,0,0,814,0,0,0,0,3,10,397,0,0
1520,\Device\HarddiskVolume3\Windows\System32\svchost.exe,81,281,0,1,1747937579,1747937661,81,1747937579,649,52,13,0,584,649,0,0,50,0,0,0,0,0,0,2,5642,1073694521,444,0,0,0,0,11,9,125,0,0
1904,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,81,266,0,1,1747937579,1747937662,82,1747937579,312,0,0,0,312,312,0,0,0,0,0,0,0,0,0,1,1078,4294963260,222,0,0,0,0,0,9,0,0,0
3332,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937580,1747937650,69,1747937580,37,2,5,0,30,37,0,0,0,0,0,0,0,0,0,1,843,4294911779,0,0,0,0,0,0,8,300,0,0
648,\Device\HarddiskVolume3\Windows\System32\csrss.exe,78,255,0,1,1747937580,1747937661,81,1747937580,144,0,0,0,144,144,0,0,0,0,0,0,0,0,0,2,198,1073712350,76,0,0,0,0,0,8,0,0,0
2620,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,0,266,0,1,1747937580,1747937647,67,1747937580,45,0,0,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
3424,\Device\HarddiskVolume3\Windows\System32\conhost.exe,0,281,0,1,1747937580,1747937647,67,1747937580,152,0,0,0,152,152,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0
728,\Device\HarddiskVolume3\Windows\System32\csrss.exe,82,255,0,1,1747937580,1747937662,82,1747937580,741,0,0,0,741,741,0,0,0,0,0,0,0,0,0,1,88,4294905163,512,0,0,0,0,0,11,0,0,0
6040,\Device\HarddiskVolume3\Windows\System32\cmd.exe,0,235,0,1,1747937580,1747937580,0,1747937580,77,0,0,0,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
5076,\Device\HarddiskVolume5\new\ransomware_high_confidence\nefilim\9c6b020769101b8274ec0814628a42efb45fce1798a3d5abf35a78021ec3eca4.exe,0,323,0,1,1747937580,1747937647,67,1747937580,4318,4,8,0,4306,4318,0,0,1757,0,0,16,5,0,8,1,953,4294899792,0,0,0,0,0,0,12,115,0,0
4364,\Device\HarddiskVolume3\Windows\explorer.exe,79,250,0,1,1747937580,1747937660,80,1747937580,2705,18,5,0,2682,2705,0,0,1329,0,0,0,0,0,0,2,4669,1073709838,2050,0,0,0,0,0,12,371,0,0
5476,\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe,0,235,0,1,1747937580,1747937580,0,1747937580,74,0,1,0,73,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
7848,\Device\HarddiskVolume3\Windows\System32\conhost.exe,0,281,0,1,1747937580,1747937580,0,1747937580,152,0,0,0,152,152,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0
5172,\Device\HarddiskVolume3\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe,0,311,0,1,1747937584,1747937592,8,1747937584,9,0,3,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
1696,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937586,1747937658,72,1747937586,33,0,1,0,32,33,0,0,0,0,0,0,0,0,0,1,546,4294905444,0,0,0,0,0,0,8,0,0,0
1740,\Device\HarddiskVolume3\Windows\System32\upfc.exe,69,237,0,1,1747937589,1747937658,69,1747937589,110,3,4,0,103,110,0,0,41,0,0,0,0,0,5,2,478,1073714735,86,0,0,0,0,6,9,235,0,0
3452,\Device\HarddiskVolume3\Windows\System32\svchost.exe,69,281,0,1,1747937589,1747937658,69,1747937589,17074,5462,0,0,11612,17039,0,0,373,0,0,0,0,0,0,2,304,1073719869,14782,0,0,0,0,47,9,0,0,0
2936,\Device\HarddiskVolume3\Windows\System32\svchost.exe,30,281,0,1,1747937590,1747937650,60,1747937590,171,12,0,0,159,159,0,0,0,0,0,0,0,0,0,2,700,1073713370,200,0,0,0,0,4,9,0,0,0
5024,\Device\HarddiskVolume3\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.22.11141.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe,30,323,0,1,1747937591,1747937621,30,1747937591,1120,0,0,0,1120,1120,0,0,700,0,0,0,0,0,0,1,56,4294937894,2200,0,0,0,0,0,9,0,0,0
3048,\Device\HarddiskVolume3\Users\wineleven\AppData\Local\Microsoft\OneDrive\OneDrive.exe,0,266,0,1,1747937605,1747937655,50,1747937605,78,0,0,2,76,78,0,0,0,0,0,0,0,0,0,5,16850,452978851,0,0,0,0,0,0,9,0,0,0
2128,\Device\HarddiskVolume3\Windows\System32\svchost.exe,55,281,0,1,1747937605,1747937660,55,1747937605,905,8,0,0,897,901,0,0,0,0,0,0,0,0,0,1,1871,4294954297,981,0,0,0,0,0,9,0,0,0
2808,\Device\HarddiskVolume3\Windows\System32\svchost.exe,40,281,0,1,1747937615,1747937660,45,1747937615,183,5,0,0,178,183,0,0,0,0,0,0,0,0,0,1,226,4294952275,150,0,0,0,0,2,9,0,0,0
4168,\Device\HarddiskVolume3\Windows\System32\wbem\WMIADAP.exe,45,281,0,1,1747937617,1747937662,45,1747937617,2305,2,0,0,2303,2305,0,0,210,0,0,0,0,0,6,0,0,0,3066,0,0,0,0,0,8,0,0,0
944,\Device\HarddiskVolume3\Windows\System32\svchost.exe,37,281,0,1,1747937621,1747937659,37,1747937621,946,6,1,0,939,946,0,0,718,0,0,0,0,0,36,1,684,4294943624,1459,0,0,0,0,0,12,0,0,0
1008,\Device\HarddiskVolume3\Windows\System32\svchost.exe,36,281,0,1,1747937621,1747937658,36,1747937621,883,26,13,1,843,879,0,0,123,0,0,0,0,0,8,1,639,4294941196,1333,0,0,0,0,2,16,251,0,0
7024,\Device\HarddiskVolume3\Windows\System32\wbem\WmiPrvSE.exe,0,291,0,1,1747937621,1747937622,0,1747937621,675,18,15,4,638,674,0,0,395,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8,347,0,0
1492,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937641,1747937658,16,1747937641,86,3,3,0,80,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,451,0,0
