ProcessId,ProcessName,ProcessAgeSeconds,ProcessImageEntropy,SessionId,IsElevated,FirstSeenTime,LastSeenTime,OperationDurationSec,ProcessCreateTime,TotalOperationCount,CreateOperationCount,ModifyOperationCount,DeleteOperationCount,QueryOperationCount,UniqueKeysAccessed,AutorunKeysAccessed,SecurityKeysAccessed,FileAssocKeysAccessed,NetworkingKeysAccessed,ServicesKeysAccessed,SensitiveKeysAccessed,ProcessHijackKeysAccessed,DllHijackKeysAccessed,ComObjectKeysAccessed,OperationBurstCount,MaxOperationsPerBurst,BurstIntervalMs,OperationDensityPerMin,TimingVariance,RemoteOperationCount,FileExtensionModificationCount,SecuritySettingModificationCount,WritesToReadsRatio,RegistryKeyDepthMax,RegistryValueEntropyAvg,ComRegistryModifications,CriticalSystemKeyModifications
864,\Device\HarddiskVolume3\Windows\System32\services.exe,135,258,0,1,1747937578,1747937713,135,1747937578,550,0,2,0,548,550,0,0,0,0,0,0,24,0,0,1,923,4294916756,222,0,0,0,0,0,9,0,0,0
4824,\Device\HarddiskVolume3\Windows\System32\taskhostw.exe,129,276,0,1,1747937578,1747937715,137,1747937578,224,0,0,0,224,224,0,0,0,0,0,0,0,0,0,5,459,452968144,93,0,0,0,0,0,12,0,0,0
3316,\Device\HarddiskVolume3\Windows\System32\svchost.exe,105,281,0,1,1747937578,1747937683,105,1747937578,4621,251,24,8,4338,4621,0,0,0,0,0,546,0,0,0,3,1371,805279761,2628,0,0,0,0,6,10,224,0,0
4852,\Device\HarddiskVolume3\Windows\System32\Taskmgr.exe,137,290,0,1,1747937578,1747937715,137,1747937578,16825,2,0,0,16823,16824,0,0,937,0,0,0,0,0,0,0,0,0,7357,0,0,0,0,0,13,0,0,0
884,\Device\HarddiskVolume3\Windows\System32\lsass.exe,135,255,0,1,1747937580,1747937716,136,1747937580,1307,29,11,0,1267,1287,0,0,0,0,0,822,0,0,0,0,0,0,577,0,0,0,0,3,10,451,0,0
3332,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937580,1747937700,120,1747937580,51,3,6,0,42,51,0,0,0,0,0,0,0,0,0,2,3373,1073698104,0,0,0,0,0,0,8,300,0,0
4364,\Device\HarddiskVolume3\Windows\explorer.exe,133,250,0,1,1747937580,1747937714,134,1747937580,26220,407,171,0,25642,26034,0,0,8527,0,0,0,0,0,0,2,132,1073721772,11819,0,0,0,0,2,13,385,0,0
1520,\Device\HarddiskVolume3\Windows\System32\svchost.exe,134,281,0,1,1747937581,1747937715,134,1747937581,652,52,14,0,586,652,0,0,50,0,0,0,0,0,0,3,1530,805262207,268,0,0,0,0,11,9,125,0,0
1904,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,134,266,0,1,1747937581,1747937716,134,1747937581,342,0,0,0,342,342,0,0,0,0,0,0,0,0,0,1,480,4294955015,134,0,0,0,0,0,9,0,0,0
648,\Device\HarddiskVolume3\Windows\System32\csrss.exe,70,255,0,1,1747937582,1747937715,133,1747937582,198,0,0,0,198,198,0,0,0,0,0,0,0,0,0,4,18020,805290251,85,0,0,0,0,0,8,0,0,0
2620,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,0,266,0,1,1747937582,1747937692,109,1747937582,45,0,0,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
5292,\Device\HarddiskVolume3\Windows\System32\conhost.exe,0,281,0,1,1747937582,1747937692,109,1747937582,152,0,0,0,152,152,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0
728,\Device\HarddiskVolume3\Windows\System32\csrss.exe,134,255,0,1,1747937582,1747937716,134,1747937582,291,0,0,0,291,291,0,0,0,0,0,0,0,0,0,5,2653,452963480,89,0,0,0,0,0,11,0,0,0
1092,\Device\HarddiskVolume3\Windows\System32\cmd.exe,0,235,0,1,1747937582,1747937582,0,1747937582,77,0,0,0,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
4844,\Device\HarddiskVolume5\new\ransomware_high_confidence\nefilim\c81c2c539ccba4c38add72e271fe63a2e389f2f645050289257fc6af4f47a82e.exe,0,331,0,1,1747937582,1747937692,109,1747937582,211,0,0,0,211,211,0,0,0,0,0,13,0,0,0,1,534,4294858825,0,0,0,0,0,0,10,0,0,0
8168,\Device\HarddiskVolume3\Windows\System32\conhost.exe,0,281,0,1,1747937582,1747937694,112,1747937582,578,0,0,0,578,578,0,0,102,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,13,0,0,0
944,\Device\HarddiskVolume3\Windows\System32\svchost.exe,131,281,0,1,1747937582,1747937713,131,1747937582,2149,6,1,0,2142,2149,0,0,1022,0,0,0,0,0,40,3,1346,805289769,961,0,0,0,0,0,13,0,0,0
1008,\Device\HarddiskVolume3\Windows\System32\svchost.exe,117,281,0,1,1747937582,1747937700,117,1747937582,1903,26,15,1,1861,1899,0,0,177,0,0,52,0,0,8,6,24648,339723749,974,0,0,0,0,2,16,254,0,0
6132,\Device\HarddiskVolume3\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.22.11141.0_x64__8wekyb3d8bbwe\OpenConsole.exe,0,259,0,1,1747937582,1747937694,112,1747937582,1335,0,1,0,1334,1335,0,0,294,0,0,0,0,0,8,1,607,4294857647,0,0,0,0,0,0,13,258,0,0
7844,\Device\HarddiskVolume3\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.22.11141.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe,0,323,0,1,1747937582,1747937582,0,1747937582,2810,6,1,0,2803,2807,0,0,754,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,13,258,0,0
4660,\Device\HarddiskVolume3\Windows\System32\sihost.exe,123,280,0,1,1747937582,1747937707,124,1747937582,1229,13,7,0,1209,1229,3,0,365,0,0,0,0,0,0,2,748,1073670213,585,0,0,0,0,1,13,448,0,0
5024,\Device\HarddiskVolume3\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.22.11141.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe,115,323,0,1,1747937582,1747937707,124,1747937582,1722,0,0,0,1722,1722,0,0,798,0,0,0,0,0,0,3,170,805273558,886,0,0,0,0,0,13,0,0,0
5964,\Device\HarddiskVolume3\Windows\System32\ctfmon.exe,126,290,0,1,1747937582,1747937709,126,1747937582,2262,17,6,0,2239,2262,0,0,450,0,0,0,0,0,0,1,176,4294849743,1047,0,0,0,0,0,13,573,0,0
5172,\Device\HarddiskVolume3\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe,0,311,0,1,1747937584,1747937707,122,1747937584,37,0,15,0,22,37,0,0,0,0,0,0,0,0,0,1,299,4294849517,0,0,0,0,0,0,8,553,0,0
1696,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937586,1747937709,123,1747937586,54,0,1,0,53,54,0,0,0,0,0,0,0,0,0,4,4747,603943125,0,0,0,0,0,0,8,0,0,0
5364,\Device\HarddiskVolume3\Windows\System32\RuntimeBroker.exe,0,320,0,1,1747937587,1747937707,120,1747937587,15,0,5,0,10,15,0,0,0,0,0,0,0,0,0,1,363,4294847132,0,0,0,0,0,0,8,648,0,0
