ProcessId,ProcessName,ProcessAgeSeconds,ProcessImageEntropy,SessionId,IsElevated,FirstSeenTime,LastSeenTime,OperationDurationSec,ProcessCreateTime,TotalOperationCount,CreateOperationCount,ModifyOperationCount,DeleteOperationCount,QueryOperationCount,UniqueKeysAccessed,AutorunKeysAccessed,SecurityKeysAccessed,FileAssocKeysAccessed,NetworkingKeysAccessed,ServicesKeysAccessed,SensitiveKeysAccessed,ProcessHijackKeysAccessed,DllHijackKeysAccessed,ComObjectKeysAccessed,OperationBurstCount,MaxOperationsPerBurst,BurstIntervalMs,OperationDensityPerMin,TimingVariance,RemoteOperationCount,FileExtensionModificationCount,SecuritySettingModificationCount,WritesToReadsRatio,RegistryKeyDepthMax,RegistryValueEntropyAvg,ComRegistryModifications,CriticalSystemKeyModifications
864,\Device\HarddiskVolume3\Windows\System32\services.exe,80,258,0,1,1747937576,1747937657,80,1747937576,495,0,2,0,493,495,0,0,0,0,0,0,24,0,0,2,11274,4294910226,300,0,0,0,0,0,9,0,0,0
4824,\Device\HarddiskVolume3\Windows\System32\taskhostw.exe,26,276,0,1,1747937576,1747937663,86,1747937576,188,0,0,0,188,188,0,0,0,0,0,0,0,0,0,2,18684,1073726436,230,0,0,0,0,0,12,0,0,0
3316,\Device\HarddiskVolume3\Windows\System32\svchost.exe,80,281,0,1,1747937577,1747937661,84,1747937577,3874,212,25,0,3637,3874,0,0,0,0,0,546,0,0,0,1,412,4294913103,2850,0,0,0,0,6,10,187,0,0
4852,\Device\HarddiskVolume3\Windows\System32\Taskmgr.exe,85,290,0,1,1747937577,1747937663,85,1747937577,9156,0,0,0,9156,9156,0,0,246,0,0,0,0,0,0,1,211,4294959425,6423,0,0,0,0,0,12,0,0,0
3156,\Device\HarddiskVolume3\Windows\System32\spoolsv.exe,0,272,0,1,1747937578,1747937649,71,1747937578,11,0,3,0,8,11,0,0,0,0,0,0,0,0,0,1,35,4294896203,0,0,0,0,0,0,8,0,0,0
884,\Device\HarddiskVolume3\Windows\System32\lsass.exe,83,255,0,1,1747937579,1747937663,83,1747937579,1194,29,10,0,1155,1174,0,0,0,0,0,707,0,0,0,0,0,0,795,0,0,0,0,3,10,400,0,0
1520,\Device\HarddiskVolume3\Windows\System32\svchost.exe,83,281,0,1,1747937579,1747937663,83,1747937579,649,52,13,0,584,649,0,0,50,0,0,0,0,0,0,2,7789,1073693307,433,0,0,0,0,11,9,125,0,0
1904,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,83,266,0,1,1747937579,1747937663,83,1747937579,315,0,0,0,315,315,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0,9,0,0,0
3332,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937580,1747937650,69,1747937580,37,2,5,0,30,37,0,0,0,0,0,0,0,0,0,1,592,4294910422,0,0,0,0,0,0,8,300,0,0
4364,\Device\HarddiskVolume3\Windows\explorer.exe,80,250,0,1,1747937580,1747937662,81,1747937580,11159,312,17,6,10824,10951,0,0,4998,0,0,0,0,0,0,1,226,4294957069,8325,0,0,0,0,3,12,229,0,0
648,\Device\HarddiskVolume3\Windows\System32\csrss.exe,76,255,0,1,1747937580,1747937663,82,1747937580,165,0,0,0,165,165,0,0,0,0,0,0,0,0,0,2,317,1073722389,78,0,0,0,0,0,8,0,0,0
2820,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,0,266,0,1,1747937580,1747937603,23,1747937580,45,0,0,0,45,45,0,0,0,0,0,0,0,0,0,1,293,4294944322,0,0,0,0,0,0,9,0,0,0
3484,\Device\HarddiskVolume3\Windows\System32\conhost.exe,0,281,0,1,1747937580,1747937603,23,1747937580,152,0,0,0,152,152,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0
728,\Device\HarddiskVolume3\Windows\System32\csrss.exe,83,255,0,1,1747937580,1747937663,83,1747937580,656,0,0,0,656,656,0,0,0,0,0,0,0,0,0,3,7696,805283577,433,0,0,0,0,0,11,0,0,0
2364,\Device\HarddiskVolume3\Windows\System32\cmd.exe,0,235,0,1,1747937580,1747937580,0,1747937580,77,0,0,0,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
3668,\Device\HarddiskVolume5\new\ransomware_high_confidence\nefilim\fcc2921020690a58c60eba35df885e575669e9803212f7791d7e1956f9bf8020.exe,0,324,0,1,1747937580,1747937603,22,1747937580,4377,4,12,0,4361,4377,0,0,1757,0,0,20,5,0,8,1,1372,4294951017,0,0,0,0,0,0,12,234,0,0
5420,\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe,0,235,0,1,1747937580,1747937580,0,1747937580,74,0,1,0,73,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
7848,\Device\HarddiskVolume3\Windows\System32\conhost.exe,0,281,0,1,1747937580,1747937580,0,1747937580,152,0,0,0,152,152,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0
