ProcessId,ProcessName,ProcessAgeSeconds,ProcessImageEntropy,SessionId,IsElevated,FirstSeenTime,LastSeenTime,OperationDurationSec,ProcessCreateTime,TotalOperationCount,CreateOperationCount,ModifyOperationCount,DeleteOperationCount,QueryOperationCount,UniqueKeysAccessed,AutorunKeysAccessed,SecurityKeysAccessed,FileAssocKeysAccessed,NetworkingKeysAccessed,ServicesKeysAccessed,SensitiveKeysAccessed,ProcessHijackKeysAccessed,DllHijackKeysAccessed,ComObjectKeysAccessed,OperationBurstCount,MaxOperationsPerBurst,BurstIntervalMs,OperationDensityPerMin,TimingVariance,RemoteOperationCount,FileExtensionModificationCount,SecuritySettingModificationCount,WritesToReadsRatio,RegistryKeyDepthMax,RegistryValueEntropyAvg,ComRegistryModifications,CriticalSystemKeyModifications
864,\Device\HarddiskVolume3\Windows\System32\services.exe,100,258,0,1,1747937577,1747937678,101,1747937577,757,0,2,0,755,757,0,0,0,0,0,0,36,0,0,2,1861,1073731361,420,0,0,0,0,0,9,0,0,0
4824,\Device\HarddiskVolume3\Windows\System32\taskhostw.exe,103,276,0,1,1747937577,1747937681,103,1747937577,206,0,0,0,206,206,0,0,0,0,0,0,0,0,0,2,1961,1073694701,116,0,0,0,0,0,12,0,0,0
4852,\Device\HarddiskVolume3\Windows\System32\Taskmgr.exe,106,290,0,1,1747937577,1747937684,106,1747937577,16609,43,0,0,16566,16591,8,0,953,0,0,0,0,0,0,0,0,0,9396,0,0,0,0,0,16,0,0,0
3316,\Device\HarddiskVolume3\Windows\System32\svchost.exe,94,281,0,1,1747937577,1747937680,102,1747937577,3975,247,55,0,3673,3975,0,0,0,0,0,636,0,0,0,2,175,1073701086,2489,0,0,0,0,8,10,219,0,0
3156,\Device\HarddiskVolume3\Windows\System32\spoolsv.exe,0,272,0,1,1747937578,1747937649,71,1747937578,11,0,3,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
884,\Device\HarddiskVolume3\Windows\System32\lsass.exe,104,255,0,1,1747937580,1747937684,104,1747937580,1228,29,11,0,1188,1208,0,0,0,0,0,746,0,0,0,0,0,0,692,0,0,0,0,3,10,401,0,0
3332,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937580,1747937649,69,1747937580,37,2,5,0,30,37,0,0,0,0,0,0,0,0,0,1,349,4294910372,0,0,0,0,0,0,8,300,0,0
4364,\Device\HarddiskVolume3\Windows\explorer.exe,102,250,0,1,1747937580,1747937683,103,1747937580,28392,415,10,0,27967,28135,0,0,8978,0,0,0,0,0,0,2,86,1073710872,16647,0,0,0,0,1,13,286,0,0
1520,\Device\HarddiskVolume3\Windows\System32\svchost.exe,99,281,0,1,1747937580,1747937681,100,1747937580,595,52,13,0,530,595,0,0,0,0,0,0,0,0,0,2,488,1073690443,303,0,0,0,0,13,9,125,0,0
1904,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,100,266,0,1,1747937580,1747937681,101,1747937580,327,0,0,0,327,327,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,9,0,0,0
648,\Device\HarddiskVolume3\Windows\System32\csrss.exe,100,255,0,1,1747937581,1747937683,102,1747937581,209,0,0,0,209,209,0,0,0,0,0,0,0,0,0,2,11282,4294931127,120,0,0,0,0,0,8,0,0,0
2620,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,0,266,0,1,1747937581,1747937581,0,1747937581,45,0,0,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
3424,\Device\HarddiskVolume3\Windows\System32\conhost.exe,0,281,0,1,1747937581,1747937581,0,1747937581,152,0,0,0,152,152,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0
728,\Device\HarddiskVolume3\Windows\System32\csrss.exe,102,255,0,1,1747937581,1747937683,102,1747937581,656,0,0,0,656,656,0,0,0,0,0,0,0,0,0,1,88,4294898589,352,0,0,0,0,0,11,0,0,0
