ProcessId,ProcessName,ProcessAgeSeconds,ProcessImageEntropy,SessionId,IsElevated,FirstSeenTime,LastSeenTime,OperationDurationSec,ProcessCreateTime,TotalOperationCount,CreateOperationCount,ModifyOperationCount,DeleteOperationCount,QueryOperationCount,UniqueKeysAccessed,AutorunKeysAccessed,SecurityKeysAccessed,FileAssocKeysAccessed,NetworkingKeysAccessed,ServicesKeysAccessed,SensitiveKeysAccessed,ProcessHijackKeysAccessed,DllHijackKeysAccessed,ComObjectKeysAccessed,OperationBurstCount,MaxOperationsPerBurst,BurstIntervalMs,OperationDensityPerMin,TimingVariance,RemoteOperationCount,FileExtensionModificationCount,SecuritySettingModificationCount,WritesToReadsRatio,RegistryKeyDepthMax,RegistryValueEntropyAvg,ComRegistryModifications,CriticalSystemKeyModifications
864,\Device\HarddiskVolume3\Windows\System32\services.exe,76,258,0,1,1747937576,1747937653,76,1747937576,1014,0,2,0,1012,1014,0,0,0,0,0,0,48,0,0,1,127,4294937823,789,0,0,0,0,0,9,0,0,0
4824,\Device\HarddiskVolume3\Windows\System32\taskhostw.exe,75,276,0,1,1747937576,1747937654,77,1747937576,215,0,0,0,215,215,0,0,0,0,0,0,0,0,0,1,48608,0,160,0,0,0,0,0,12,0,0,0
3316,\Device\HarddiskVolume3\Windows\System32\svchost.exe,70,281,0,1,1747937577,1747937653,76,1747937577,3892,241,45,0,3606,3892,0,0,0,0,0,600,0,0,0,2,728,1073719425,3257,0,0,0,0,7,10,238,0,0
4852,\Device\HarddiskVolume3\Windows\System32\Taskmgr.exe,76,290,0,1,1747937577,1747937653,76,1747937577,12425,45,0,0,12380,12406,8,0,579,0,0,0,0,0,0,0,0,0,9789,0,0,0,0,0,16,0,0,0
3156,\Device\HarddiskVolume3\Windows\System32\spoolsv.exe,0,272,0,1,1747937578,1747937649,71,1747937578,11,0,3,0,8,11,0,0,0,0,0,0,0,0,0,1,46,4294896263,0,0,0,0,0,0,8,0,0,0
884,\Device\HarddiskVolume3\Windows\System32\lsass.exe,74,255,0,1,1747937579,1747937654,74,1747937579,1441,29,11,0,1401,1421,0,0,0,0,0,954,0,0,0,0,0,0,1135,0,0,0,0,2,10,401,0,0
1520,\Device\HarddiskVolume3\Windows\System32\svchost.exe,74,281,0,1,1747937579,1747937654,74,1747937579,757,52,13,0,692,757,0,0,150,0,0,0,0,0,0,1,17961,4294905797,567,0,0,0,0,9,9,125,0,0
1904,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,74,266,0,1,1747937579,1747937654,74,1747937579,309,0,0,0,309,309,0,0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,9,0,0,0
3332,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937580,1747937650,70,1747937580,37,2,5,0,30,37,0,0,0,0,0,0,0,0,0,2,1782,1073696898,0,0,0,0,0,0,8,300,0,0
648,\Device\HarddiskVolume3\Windows\System32\csrss.exe,69,255,0,1,1747937580,1747937654,73,1747937580,367,0,0,0,367,367,0,0,0,0,0,0,0,0,0,2,90,1073715277,260,0,0,0,0,0,11,0,0,0
6828,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,0,266,0,1,1747937580,1747937580,0,1747937580,45,0,0,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
5292,\Device\HarddiskVolume3\Windows\System32\conhost.exe,0,281,0,1,1747937580,1747937580,0,1747937580,152,0,0,0,152,152,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0
728,\Device\HarddiskVolume3\Windows\System32\csrss.exe,74,255,0,1,1747937580,1747937654,74,1747937580,667,0,0,0,667,667,0,0,0,0,0,0,0,0,0,2,16442,1073698021,486,0,0,0,0,0,11,0,0,0
1092,\Device\HarddiskVolume3\Windows\System32\cmd.exe,0,235,0,1,1747937580,1747937580,0,1747937580,77,0,0,0,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
4844,\Device\HarddiskVolume5\new\ransomware_high_confidence\netwalker\de04d2402154f676f757cf1380671f396f3fc9f7dbb683d9461edd2718c4e09d.exe,0,325,0,1,1747937580,1747937580,0,1747937580,144,0,0,0,144,144,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0
4364,\Device\HarddiskVolume3\Windows\explorer.exe,73,250,0,1,1747937580,1747937653,73,1747937580,12054,258,7,0,11789,11878,0,0,4788,0,0,0,0,0,0,3,717,805294964,9863,0,0,0,0,2,12,315,0,0
4720,\Device\HarddiskVolume3\Windows\SysWOW64\explorer.exe,30,250,0,1,1747937580,1747937635,55,1747937580,313,1,2,0,310,313,3,0,0,0,0,0,8,0,3,2,282,1073715864,600,0,0,0,0,1,11,434,0,0
3164,\Device\HarddiskVolume3\Windows\SysWOW64\explorer.exe,61,250,0,1,1747937580,1747937641,61,1747937580,440,0,0,0,440,440,0,0,169,0,0,0,6,0,9,1,177,4294907800,393,0,0,0,0,0,11,0,0,0
4312,\Device\HarddiskVolume3\Windows\System32\vssadmin.exe,0,283,0,1,1747937580,1747937580,0,1747937580,219,0,0,0,219,219,0,0,123,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,9,0,0,0
3296,\Device\HarddiskVolume3\Windows\System32\conhost.exe,0,281,0,1,1747937580,1747937580,0,1747937580,151,0,0,0,151,151,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0
1492,\Device\HarddiskVolume3\Windows\System32\svchost.exe,62,281,0,1,1747937580,1747937650,70,1747937580,35183,10,47,37,35089,35183,0,0,0,0,0,0,0,0,0,0,0,0,33967,0,0,0,0,0,14,419,0,0
944,\Device\HarddiskVolume3\Windows\System32\svchost.exe,72,281,0,1,1747937580,1747937653,72,1747937580,1060,6,1,0,1053,1060,0,0,795,0,0,0,0,0,46,1,385,4294910018,833,0,0,0,0,0,12,0,0,0
1008,\Device\HarddiskVolume3\Windows\System32\svchost.exe,72,281,0,1,1747937580,1747937652,72,1747937580,1059,25,10,1,1023,1055,0,0,249,0,0,0,0,0,12,2,950,1073703997,833,0,0,0,0,3,16,252,0,0
4320,\Device\HarddiskVolume3\Windows\System32\VSSVC.exe,0,266,0,1,1747937580,1747937580,0,1747937580,516,10,0,0,506,511,0,0,269,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,9,0,0,0
2152,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937580,1747937580,0,1747937580,149,0,0,0,149,149,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
7420,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937580,1747937580,0,1747937580,372,0,0,0,372,372,0,0,145,0,0,0,34,0,9,0,0,0,0,0,0,0,0,0,8,0,0,0
5172,\Device\HarddiskVolume3\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe,0,311,0,1,1747937584,1747937585,1,1747937584,9,0,3,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
1696,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937586,1747937651,64,1747937586,30,0,1,0,29,30,0,0,0,0,0,0,0,0,0,1,1392,4294905930,0,0,0,0,0,0,8,0,0,0
1740,\Device\HarddiskVolume3\Windows\System32\upfc.exe,61,237,0,1,1747937589,1747937652,63,1747937589,142,3,4,0,135,142,0,0,70,0,0,0,0,0,5,1,689,4294941480,98,0,0,0,0,2,9,229,0,0
