ProcessId,ProcessName,ProcessAgeSeconds,ProcessImageEntropy,SessionId,IsElevated,FirstSeenTime,LastSeenTime,OperationDurationSec,ProcessCreateTime,TotalOperationCount,CreateOperationCount,ModifyOperationCount,DeleteOperationCount,QueryOperationCount,UniqueKeysAccessed,AutorunKeysAccessed,SecurityKeysAccessed,FileAssocKeysAccessed,NetworkingKeysAccessed,ServicesKeysAccessed,SensitiveKeysAccessed,ProcessHijackKeysAccessed,DllHijackKeysAccessed,ComObjectKeysAccessed,OperationBurstCount,MaxOperationsPerBurst,BurstIntervalMs,OperationDensityPerMin,TimingVariance,RemoteOperationCount,FileExtensionModificationCount,SecuritySettingModificationCount,WritesToReadsRatio,RegistryKeyDepthMax,RegistryValueEntropyAvg,ComRegistryModifications,CriticalSystemKeyModifications
864,\Device\HarddiskVolume3\Windows\System32\services.exe,78,258,0,1,1747937576,1747937655,78,1747937576,1564,0,4,0,1560,1564,0,0,0,0,0,0,72,0,0,1,29344,0,1153,0,0,0,0,0,9,125,0,0
4824,\Device\HarddiskVolume3\Windows\System32\taskhostw.exe,69,276,0,1,1747937576,1747937651,74,1747937576,242,0,0,0,242,242,0,0,0,0,0,0,0,0,0,1,270,4294934999,173,0,0,0,0,0,12,0,0,0
3316,\Device\HarddiskVolume3\Windows\System32\svchost.exe,72,281,0,1,1747937577,1747937655,78,1747937577,4309,286,76,0,3947,4309,0,0,0,0,0,639,0,0,0,1,155,4294925924,3583,0,0,0,0,9,10,239,0,0
4852,\Device\HarddiskVolume3\Windows\System32\Taskmgr.exe,78,290,0,1,1747937577,1747937656,78,1747937577,26620,258,0,0,26362,26512,59,0,740,0,0,0,0,0,0,0,0,0,20461,0,0,0,0,0,16,0,0,0
3156,\Device\HarddiskVolume3\Windows\System32\spoolsv.exe,0,272,0,1,1747937578,1747937649,71,1747937578,11,0,3,0,8,11,0,0,0,0,0,0,0,0,0,1,7890,4294896115,0,0,0,0,0,0,8,0,0,0
884,\Device\HarddiskVolume3\Windows\System32\lsass.exe,71,255,0,1,1747937580,1747937655,75,1747937580,1265,29,11,0,1225,1245,0,0,0,0,0,757,0,0,0,0,0,0,1014,0,0,0,0,3,10,399,0,0
3332,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937580,1747937649,69,1747937580,37,2,5,0,30,37,0,0,0,0,0,0,0,0,0,1,617,4294910702,0,0,0,0,0,0,8,300,0,0
1520,\Device\HarddiskVolume3\Windows\System32\svchost.exe,70,281,0,1,1747937580,1747937651,70,1747937580,595,52,13,0,530,595,0,0,0,0,0,0,0,0,0,1,560,4294905182,428,0,0,0,0,13,9,125,0,0
1904,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,70,266,0,1,1747937580,1747937651,71,1747937580,309,0,0,0,309,309,0,0,0,0,0,0,0,0,0,0,0,0,257,0,0,0,0,0,9,0,0,0
648,\Device\HarddiskVolume3\Windows\System32\csrss.exe,66,255,0,1,1747937580,1747937655,75,1747937580,287,0,0,0,287,287,0,0,0,0,0,0,0,0,0,2,376,1073723171,181,0,0,0,0,0,8,0,0,0
2620,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,0,266,0,1,1747937580,1747937644,64,1747937580,45,0,0,0,45,45,0,0,0,0,0,0,0,0,0,1,942,4294903271,0,0,0,0,0,0,9,0,0,0
4364,\Device\HarddiskVolume3\Windows\explorer.exe,75,250,0,1,1747937580,1747937656,75,1747937580,23358,542,9,0,22807,22974,0,0,7647,0,0,0,0,0,0,1,88,4294933202,18640,0,0,0,0,2,12,272,0,0
3424,\Device\HarddiskVolume3\Windows\System32\conhost.exe,0,281,0,1,1747937580,1747937644,64,1747937580,152,0,0,0,152,152,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0
728,\Device\HarddiskVolume3\Windows\System32\csrss.exe,75,255,0,1,1747937580,1747937655,75,1747937580,641,0,0,0,641,641,0,0,0,0,0,0,0,0,0,2,87,1073724544,480,0,0,0,0,0,11,0,0,0
6040,\Device\HarddiskVolume3\Windows\System32\cmd.exe,0,235,0,1,1747937580,1747937580,0,1747937580,77,0,0,0,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
5076,\Device\HarddiskVolume5\new\ransomware_high_confidence\phobos\4d9413a0fdefb9b2471a3209e2b7dbfa835e709ce7ed8b57f2366611f566ebec.exe,26,327,0,1,1747937580,1747937644,64,1747937580,396,0,2,0,394,396,3,0,0,0,0,0,6,0,3,4,1408,603973636,692,0,0,0,0,0,9,359,0,0
6132,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937580,1747937580,0,1747937580,220,0,0,0,220,220,0,0,0,0,0,0,34,0,4,0,0,0,0,0,0,0,0,0,9,0,0,0
4884,\Device\HarddiskVolume5\new\ransomware_high_confidence\phobos\4d9413a0fdefb9b2471a3209e2b7dbfa835e709ce7ed8b57f2366611f566ebec.exe,0,327,0,1,1747937580,1747937580,0,1747937580,64,0,0,0,64,64,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0
5172,\Device\HarddiskVolume3\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe,0,311,0,1,1747937584,1747937585,1,1747937584,9,0,3,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
5448,\Device\HarddiskVolume3\Windows\System32\cmd.exe,9,235,0,1,1747937585,1747937594,9,1747937585,102,4,0,0,98,98,0,0,0,0,0,0,0,0,3,0,0,0,666,0,0,0,0,4,9,0,0,0
1412,\Device\HarddiskVolume3\Windows\System32\conhost.exe,0,281,0,1,1747937585,1747937594,9,1747937585,152,0,0,0,152,152,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0
2052,\Device\HarddiskVolume3\Windows\System32\netsh.exe,0,266,0,1,1747937585,1747937594,9,1747937585,268,5,0,0,263,264,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0
1696,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937586,1747937649,63,1747937586,33,0,1,0,32,33,0,0,0,0,0,0,0,0,0,1,3379,4294908766,0,0,0,0,0,0,8,0,0,0
2036,\Device\HarddiskVolume3\Windows\System32\svchost.exe,63,281,0,1,1747937586,1747937649,63,1747937586,551,1,2,0,548,551,0,0,0,0,0,0,0,0,0,1,21,4294919044,476,0,0,0,0,0,11,125,0,0
2128,\Device\HarddiskVolume3\Windows\System32\svchost.exe,68,281,0,1,1747937586,1747937654,68,1747937586,1997,6,0,0,1991,1994,0,0,0,0,0,0,0,0,0,2,23,1073731783,1676,0,0,0,0,0,9,0,0,0
1740,\Device\HarddiskVolume3\Windows\System32\upfc.exe,60,237,0,1,1747937589,1747937649,60,1747937589,110,3,4,0,103,110,0,0,41,0,0,0,0,0,5,1,563,4294940074,100,0,0,0,0,6,9,232,0,0
3452,\Device\HarddiskVolume3\Windows\System32\svchost.exe,65,281,0,1,1747937589,1747937655,65,1747937589,17152,5484,0,0,11668,17117,0,0,373,0,0,0,0,0,0,1,346,4294922862,15784,0,0,0,0,47,9,0,0,0
4732,\Device\HarddiskVolume3\Windows\System32\cmd.exe,3,235,0,1,1747937590,1747937595,5,1747937590,135,4,1,0,130,131,0,0,0,0,0,0,0,0,3,0,0,0,2000,0,0,0,0,4,9,0,0,0
5860,\Device\HarddiskVolume3\Windows\System32\conhost.exe,0,281,0,1,1747937590,1747937595,5,1747937590,151,0,0,0,151,151,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0
2936,\Device\HarddiskVolume3\Windows\System32\svchost.exe,30,281,0,1,1747937590,1747937650,60,1747937590,194,12,0,0,182,182,0,0,21,0,0,0,0,0,0,2,7396,1073712426,200,0,0,0,0,4,9,0,0,0
5372,\Device\HarddiskVolume3\Windows\System32\SearchIndexer.exe,0,294,0,1,1747937591,1747937608,16,1747937591,48,0,1,0,47,48,0,0,0,0,0,0,0,0,0,1,435,4294959032,0,0,0,0,0,0,9,245,0,0
