ProcessId,ProcessName,ProcessAgeSeconds,ProcessImageEntropy,SessionId,IsElevated,FirstSeenTime,LastSeenTime,OperationDurationSec,ProcessCreateTime,TotalOperationCount,CreateOperationCount,ModifyOperationCount,DeleteOperationCount,QueryOperationCount,UniqueKeysAccessed,AutorunKeysAccessed,SecurityKeysAccessed,FileAssocKeysAccessed,NetworkingKeysAccessed,ServicesKeysAccessed,SensitiveKeysAccessed,ProcessHijackKeysAccessed,DllHijackKeysAccessed,ComObjectKeysAccessed,OperationBurstCount,MaxOperationsPerBurst,BurstIntervalMs,OperationDensityPerMin,TimingVariance,RemoteOperationCount,FileExtensionModificationCount,SecuritySettingModificationCount,WritesToReadsRatio,RegistryKeyDepthMax,RegistryValueEntropyAvg,ComRegistryModifications,CriticalSystemKeyModifications
864,\Device\HarddiskVolume3\Windows\System32\services.exe,105,258,0,1,1747937577,1747937682,105,1747937577,1605,0,3,0,1602,1605,0,0,0,0,0,0,72,0,0,1,105,4294949546,914,0,0,0,0,0,9,125,0,0
4824,\Device\HarddiskVolume3\Windows\System32\taskhostw.exe,85,276,0,1,1747937577,1747937685,108,1747937577,242,0,0,0,242,242,0,0,0,0,0,0,0,0,0,2,1983,1073714200,141,0,0,0,0,0,12,0,0,0
4852,\Device\HarddiskVolume3\Windows\System32\Taskmgr.exe,108,290,0,1,1747937577,1747937686,108,1747937577,29597,258,0,0,29339,29489,59,0,668,0,0,0,0,0,0,0,0,0,16388,0,0,0,0,0,16,0,0,0
3316,\Device\HarddiskVolume3\Windows\System32\svchost.exe,85,281,0,1,1747937577,1747937686,108,1747937577,4309,286,76,0,3947,4309,0,0,0,0,0,639,0,0,0,2,313,1073705619,3035,0,0,0,0,9,10,212,0,0
3156,\Device\HarddiskVolume3\Windows\System32\spoolsv.exe,0,272,0,1,1747937578,1747937649,71,1747937578,11,0,3,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
884,\Device\HarddiskVolume3\Windows\System32\lsass.exe,105,255,0,1,1747937580,1747937685,105,1747937580,1268,29,10,0,1229,1248,0,0,0,0,0,761,0,0,0,0,0,0,685,0,0,0,0,3,10,400,0,0
3332,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937580,1747937649,69,1747937580,37,2,5,0,30,37,0,0,0,0,0,0,0,0,0,1,627,4294910850,0,0,0,0,0,0,8,300,0,0
4364,\Device\HarddiskVolume3\Windows\explorer.exe,103,250,0,1,1747937580,1747937684,104,1747937580,21541,504,9,0,21028,21173,0,0,6742,0,0,0,0,0,0,2,966,1073713700,12524,0,0,0,0,2,12,272,0,0
1520,\Device\HarddiskVolume3\Windows\System32\svchost.exe,105,281,0,1,1747937580,1747937685,105,1747937580,649,52,13,0,584,649,0,0,50,0,0,0,0,0,0,3,3180,805264934,342,0,0,0,0,11,9,125,0,0
1904,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,105,266,0,1,1747937580,1747937685,105,1747937580,324,0,0,0,324,324,0,0,0,0,0,0,0,0,0,1,25,4294956325,171,0,0,0,0,0,9,0,0,0
648,\Device\HarddiskVolume3\Windows\System32\csrss.exe,72,255,0,1,1747937580,1747937685,105,1747937580,287,0,0,0,287,287,0,0,0,0,0,0,0,0,0,1,493,4294952008,166,0,0,0,0,0,8,0,0,0
2620,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,0,266,0,1,1747937580,1747937662,82,1747937580,45,0,0,0,45,45,0,0,0,0,0,0,0,0,0,1,22,4294885100,0,0,0,0,0,0,9,0,0,0
3424,\Device\HarddiskVolume3\Windows\System32\conhost.exe,0,281,0,1,1747937580,1747937662,82,1747937580,152,0,0,0,152,152,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0
728,\Device\HarddiskVolume3\Windows\System32\csrss.exe,105,255,0,1,1747937580,1747937686,105,1747937580,639,0,0,0,639,639,0,0,0,0,0,0,0,0,0,4,2057,603962981,342,0,0,0,0,0,11,0,0,0
6040,\Device\HarddiskVolume3\Windows\System32\cmd.exe,0,235,0,1,1747937580,1747937580,0,1747937580,77,0,0,0,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
5076,\Device\HarddiskVolume5\new\ransomware_high_confidence\phobos\f30035bd2f3bd2c03eb6f1c9bac2a4ce3a51da23e37e9faacabeb9dce0605429.exe,65,326,0,1,1747937580,1747937662,82,1747937580,444,0,2,0,442,444,3,0,0,0,0,0,6,0,3,6,643,339729660,369,0,0,0,0,0,9,352,0,0
8148,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937580,1747937580,0,1747937580,220,0,0,0,220,220,0,0,0,0,0,0,34,0,4,0,0,0,0,0,0,0,0,0,9,0,0,0
3172,\Device\HarddiskVolume5\new\ransomware_high_confidence\phobos\f30035bd2f3bd2c03eb6f1c9bac2a4ce3a51da23e37e9faacabeb9dce0605429.exe,0,326,0,1,1747937580,1747937580,0,1747937580,64,0,0,0,64,64,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0
