ProcessId,ProcessName,ProcessAgeSeconds,ProcessImageEntropy,SessionId,IsElevated,FirstSeenTime,LastSeenTime,OperationDurationSec,ProcessCreateTime,TotalOperationCount,CreateOperationCount,ModifyOperationCount,DeleteOperationCount,QueryOperationCount,UniqueKeysAccessed,AutorunKeysAccessed,SecurityKeysAccessed,FileAssocKeysAccessed,NetworkingKeysAccessed,ServicesKeysAccessed,SensitiveKeysAccessed,ProcessHijackKeysAccessed,DllHijackKeysAccessed,ComObjectKeysAccessed,OperationBurstCount,MaxOperationsPerBurst,BurstIntervalMs,OperationDensityPerMin,TimingVariance,RemoteOperationCount,FileExtensionModificationCount,SecuritySettingModificationCount,WritesToReadsRatio,RegistryKeyDepthMax,RegistryValueEntropyAvg,ComRegistryModifications,CriticalSystemKeyModifications
864,\Device\HarddiskVolume3\Windows\System32\services.exe,109,258,0,1,1747937577,1747937693,115,1747937577,594,0,2,0,592,594,0,0,0,0,0,0,24,0,0,3,351134,1073696103,275,0,0,0,0,0,9,0,0,0
4824,\Device\HarddiskVolume3\Windows\System32\taskhostw.exe,107,276,0,1,1747937577,1747937691,113,1747937577,170,0,0,0,170,170,0,0,0,0,0,0,0,0,0,4,2226855,603964531,56,0,0,0,0,0,12,0,0,0
4852,\Device\HarddiskVolume3\Windows\System32\Taskmgr.exe,115,290,0,1,1747937577,1747937692,115,1747937577,14672,0,0,0,14672,14672,0,0,876,0,0,0,0,0,0,0,0,0,7617,0,0,0,0,0,12,0,0,0
3316,\Device\HarddiskVolume3\Windows\System32\svchost.exe,108,281,0,1,1747937577,1747937691,114,1747937577,3294,184,17,0,3093,3294,0,0,0,0,0,433,0,0,0,3,70717,805268405,1777,0,0,0,0,6,10,169,0,0
3156,\Device\HarddiskVolume3\Windows\System32\spoolsv.exe,0,272,0,1,1747937578,1747937649,71,1747937578,11,0,3,0,8,11,0,0,0,0,0,0,0,0,0,1,9858,4294895824,0,0,0,0,0,0,8,0,0,0
884,\Device\HarddiskVolume3\Windows\System32\lsass.exe,111,255,0,1,1747937580,1747937693,113,1747937580,1181,29,11,0,1141,1161,0,0,0,0,0,697,0,0,0,1,126951,4294948782,594,0,0,0,0,3,10,398,0,0
3332,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937580,1747937649,69,1747937580,37,2,5,0,30,37,0,0,0,0,0,0,0,0,0,1,520551,4294912960,0,0,0,0,0,0,8,300,0,0
4364,\Device\HarddiskVolume3\Windows\explorer.exe,112,250,0,1,1747937580,1747937693,112,1747937580,14006,281,7,0,13718,13830,0,0,5173,0,0,0,0,0,0,2,113168,1073718806,7500,0,0,0,0,2,12,315,0,0
1520,\Device\HarddiskVolume3\Windows\System32\svchost.exe,110,281,0,1,1747937580,1747937691,110,1747937580,649,52,13,0,584,649,0,0,50,0,0,0,0,0,0,2,308242,1073688234,327,0,0,0,0,11,9,125,0,0
1904,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,110,266,0,1,1747937580,1747937691,110,1747937580,318,0,0,0,318,318,0,0,0,0,0,0,0,0,0,2,65,1073722701,163,0,0,0,0,0,9,0,0,0
648,\Device\HarddiskVolume3\Windows\System32\csrss.exe,104,255,0,1,1747937581,1747937693,111,1747937581,165,0,0,0,165,165,0,0,0,0,0,0,0,0,0,3,68211,805278918,57,0,0,0,0,0,8,0,0,0
