ProcessId,ProcessName,ProcessAgeSeconds,ProcessImageEntropy,SessionId,IsElevated,FirstSeenTime,LastSeenTime,OperationDurationSec,ProcessCreateTime,TotalOperationCount,CreateOperationCount,ModifyOperationCount,DeleteOperationCount,QueryOperationCount,UniqueKeysAccessed,AutorunKeysAccessed,SecurityKeysAccessed,FileAssocKeysAccessed,NetworkingKeysAccessed,ServicesKeysAccessed,SensitiveKeysAccessed,ProcessHijackKeysAccessed,DllHijackKeysAccessed,ComObjectKeysAccessed,OperationBurstCount,MaxOperationsPerBurst,BurstIntervalMs,OperationDensityPerMin,TimingVariance,RemoteOperationCount,FileExtensionModificationCount,SecuritySettingModificationCount,WritesToReadsRatio,RegistryKeyDepthMax,RegistryValueEntropyAvg,ComRegistryModifications,CriticalSystemKeyModifications
864,\Device\HarddiskVolume3\Windows\System32\services.exe,142,258,0,1,1747937577,1747937719,142,1747937577,703,0,2,0,701,703,0,0,0,0,0,0,36,0,0,2,1274,1073699130,295,0,0,0,0,0,9,0,0,0
4824,\Device\HarddiskVolume3\Windows\System32\taskhostw.exe,141,276,0,1,1747937577,1747937719,141,1747937577,206,0,0,0,206,206,0,0,0,0,0,0,0,0,0,3,1475,805275917,85,0,0,0,0,0,12,0,0,0
3316,\Device\HarddiskVolume3\Windows\System32\svchost.exe,139,281,0,1,1747937577,1747937719,141,1747937577,4571,187,17,0,4367,4571,0,0,0,0,0,433,0,0,0,2,500,1073686358,1942,0,0,0,0,4,10,214,0,0
4852,\Device\HarddiskVolume3\Windows\System32\Taskmgr.exe,142,290,0,1,1747937577,1747937719,142,1747937577,17788,3,0,0,17785,17788,0,0,939,0,0,0,0,0,0,0,0,0,7478,0,0,0,0,0,12,0,0,0
3156,\Device\HarddiskVolume3\Windows\System32\spoolsv.exe,0,272,0,1,1747937578,1747937649,71,1747937578,11,0,3,0,8,11,0,0,0,0,0,0,0,0,0,1,54,4294896021,0,0,0,0,0,0,8,0,0,0
884,\Device\HarddiskVolume3\Windows\System32\lsass.exe,139,255,0,1,1747937580,1747937719,139,1747937580,1293,29,11,0,1253,1273,0,0,0,0,0,810,0,0,0,1,722,4294958515,517,0,0,0,0,3,10,451,0,0
3332,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937580,1747937700,120,1747937580,55,3,6,0,46,55,0,0,0,0,0,0,0,0,0,3,2117,805273967,0,0,0,0,0,0,8,300,0,0
4364,\Device\HarddiskVolume3\Windows\explorer.exe,137,250,0,1,1747937580,1747937718,138,1747937580,15593,143,170,0,15280,15583,0,0,4454,0,0,0,0,0,0,2,706,1073711248,6788,0,0,0,0,2,13,486,0,0
1520,\Device\HarddiskVolume3\Windows\System32\svchost.exe,138,281,0,1,1747937580,1747937719,138,1747937580,652,52,14,0,586,652,0,0,50,0,0,0,0,0,0,2,795,1073694220,260,0,0,0,0,11,9,125,0,0
1904,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,138,266,0,1,1747937580,1747937719,138,1747937580,339,0,0,0,339,339,0,0,0,0,0,0,0,0,0,1,45,4294948573,130,0,0,0,0,0,9,0,0,0
648,\Device\HarddiskVolume3\Windows\System32\csrss.exe,111,255,0,1,1747937580,1747937719,138,1747937580,198,0,0,0,198,198,0,0,0,0,0,0,0,0,0,2,186,1073702110,54,0,0,0,0,0,8,0,0,0
6828,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,0,266,0,1,1747937580,1747937715,135,1747937580,45,0,0,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
5292,\Device\HarddiskVolume3\Windows\System32\conhost.exe,0,281,0,1,1747937580,1747937715,135,1747937580,152,0,0,0,152,152,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0
728,\Device\HarddiskVolume3\Windows\System32\csrss.exe,138,255,0,1,1747937580,1747937719,138,1747937580,549,0,0,0,549,549,0,0,0,0,0,0,0,0,0,4,2646,603941684,217,0,0,0,0,0,11,0,0,0
1092,\Device\HarddiskVolume3\Windows\System32\cmd.exe,0,235,0,1,1747937580,1747937580,0,1747937580,77,0,0,0,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
4844,\Device\HarddiskVolume5\new\ransomware_high_confidence\pysa\39ef1d9afd248791d765f0deaed6ebaac5416876a705e407cc97a35dad038fd8.exe,0,335,0,1,1747937580,1747937715,134,1747937580,149,0,0,0,149,149,0,0,0,0,0,8,3,0,3,1,118,4294832650,0,0,0,0,0,0,9,0,0,0
5604,\Device\HarddiskVolume3\Windows\System32\conhost.exe,0,281,0,1,1747937580,1747937581,0,1747937580,578,0,0,0,578,578,0,0,102,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,13,0,0,0
