ProcessId,ProcessName,ProcessAgeSeconds,ProcessImageEntropy,SessionId,IsElevated,FirstSeenTime,LastSeenTime,OperationDurationSec,ProcessCreateTime,TotalOperationCount,CreateOperationCount,ModifyOperationCount,DeleteOperationCount,QueryOperationCount,UniqueKeysAccessed,AutorunKeysAccessed,SecurityKeysAccessed,FileAssocKeysAccessed,NetworkingKeysAccessed,ServicesKeysAccessed,SensitiveKeysAccessed,ProcessHijackKeysAccessed,DllHijackKeysAccessed,ComObjectKeysAccessed,OperationBurstCount,MaxOperationsPerBurst,BurstIntervalMs,OperationDensityPerMin,TimingVariance,RemoteOperationCount,FileExtensionModificationCount,SecuritySettingModificationCount,WritesToReadsRatio,RegistryKeyDepthMax,RegistryValueEntropyAvg,ComRegistryModifications,CriticalSystemKeyModifications
864,\Device\HarddiskVolume3\Windows\System32\services.exe,126,258,0,1,1747937577,1747937704,126,1747937577,3301,0,2,0,3299,3301,0,0,0,0,0,0,36,0,0,3,23200,805285290,1571,0,0,0,0,0,9,0,0,0
4824,\Device\HarddiskVolume3\Windows\System32\taskhostw.exe,66,276,0,1,1747937577,1747937691,114,1747937577,260,0,0,0,260,260,0,0,0,0,0,0,0,0,0,3,919,805281898,181,0,0,0,0,0,12,0,0,0
4852,\Device\HarddiskVolume3\Windows\System32\Taskmgr.exe,126,290,0,1,1747937577,1747937703,126,1747937577,22436,92,1,0,22343,22397,12,0,1558,0,0,0,0,0,0,0,0,0,10666,0,0,0,0,0,16,293,0,0
3316,\Device\HarddiskVolume3\Windows\System32\svchost.exe,72,281,0,1,1747937577,1747937696,118,1747937577,3748,222,38,0,3488,3748,0,0,0,0,0,567,0,0,0,4,7922,603959412,3083,0,0,0,0,7,10,234,0,0
3156,\Device\HarddiskVolume3\Windows\System32\spoolsv.exe,0,272,0,1,1747937578,1747937649,71,1747937578,11,0,3,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
884,\Device\HarddiskVolume3\Windows\System32\lsass.exe,111,255,0,1,1747937580,1747937703,123,1747937580,1073,18,11,0,1044,1057,0,0,0,0,0,734,0,0,0,0,0,0,540,0,0,0,0,2,10,397,0,0
3332,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937580,1747937700,120,1747937580,51,3,6,0,42,51,0,0,0,0,0,0,0,0,0,2,344310,1073688511,0,0,0,0,0,0,8,279,0,0
4364,\Device\HarddiskVolume3\Windows\explorer.exe,115,250,0,1,1747937580,1747937702,122,1747937580,47885,498,32,4,47351,47619,0,0,14240,0,0,0,0,0,0,3,54427,805288145,24939,0,0,0,0,1,13,260,0,0
1520,\Device\HarddiskVolume3\Windows\System32\svchost.exe,111,281,0,1,1747937580,1747937691,111,1747937580,595,52,13,0,530,595,0,0,0,0,0,0,0,0,0,2,3040,1073684955,270,0,0,0,0,13,9,125,0,0
1904,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,111,266,0,1,1747937580,1747937701,121,1747937580,336,0,0,0,336,336,0,0,0,0,0,0,0,0,0,1,227,4294957958,162,0,0,0,0,0,9,0,0,0
648,\Device\HarddiskVolume3\Windows\System32\csrss.exe,100,255,0,1,1747937580,1747937704,123,1747937580,227,0,0,0,227,227,0,0,0,0,0,0,0,0,0,5,129211,452970308,120,0,0,0,0,0,8,0,0,0
2952,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,0,266,0,1,1747937580,1747937643,62,1747937580,45,0,0,0,45,45,0,0,0,0,0,0,0,0,0,1,2658,4294904864,0,0,0,0,0,0,9,0,0,0
5324,\Device\HarddiskVolume3\Windows\System32\conhost.exe,0,281,0,1,1747937580,1747937643,62,1747937580,152,0,0,0,152,152,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0
728,\Device\HarddiskVolume3\Windows\System32\csrss.exe,123,255,0,1,1747937580,1747937704,123,1747937580,688,0,0,0,688,688,0,0,0,0,0,0,0,0,0,2,3033,1073708168,292,0,0,0,0,0,11,0,0,0
1644,\Device\HarddiskVolume3\Windows\System32\cmd.exe,0,235,0,1,1747937580,1747937580,0,1747937580,77,0,0,0,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
3644,\Device\HarddiskVolume5\new\ransomware_high_confidence\ragnarok\3b43751ed88e4d1f82cf52ca2d4477e3e35c35f08c1b4e3ab21c80720601e804.exe,62,322,0,1,1747937580,1747937643,62,1747937580,1056961,11,17,0,1056933,1056959,0,0,2161,0,0,213196,9,0,12,1,24,4294937080,1022806,0,0,0,0,0,12,177,0,0
3012,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937580,1747937649,68,1747937580,222,24,1,0,197,198,0,0,72,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,10,0,0,0
5404,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937580,1747937581,0,1747937580,766,0,0,0,766,766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
3400,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937580,1747937581,0,1747937580,354,2,0,0,352,354,0,0,245,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0
944,\Device\HarddiskVolume3\Windows\System32\svchost.exe,106,281,0,1,1747937580,1747937703,123,1747937580,2248,42,1,0,2205,2248,0,0,1311,0,0,0,0,0,55,4,3330,603955963,1245,0,0,0,0,1,12,0,0,0
3452,\Device\HarddiskVolume3\Windows\System32\svchost.exe,116,281,0,1,1747937580,1747937703,122,1747937580,15824,5079,0,0,10745,15784,0,0,253,0,0,0,0,0,0,3,3025,805287591,8172,0,0,0,0,47,9,0,0,0
1008,\Device\HarddiskVolume3\Windows\System32\svchost.exe,112,281,0,1,1747937580,1747937703,123,1747937580,1651,64,22,1,1564,1641,0,0,222,0,0,52,12,0,12,5,1486,452970232,857,0,0,0,0,5,16,256,0,0
3700,\Device\HarddiskVolume3\Windows\System32\wbem\WmiPrvSE.exe,121,291,0,1,1747937581,1747937703,122,1747937581,831,27,7,5,792,818,0,0,447,0,0,0,0,0,6,3,1302,805266583,396,0,0,0,0,4,8,331,0,0
4756,\Device\HarddiskVolume3\Windows\System32\svchost.exe,14,281,0,1,1747937581,1747937595,14,1747937581,2383,8,5,0,2370,2383,0,0,1163,0,0,0,0,0,8,0,0,0,9857,0,0,0,0,0,13,215,0,0
1696,\Device\HarddiskVolume3\Windows\System32\svchost.exe,100,281,0,1,1747937581,1747937689,108,1747937581,216,0,1,0,215,216,0,0,0,0,0,0,0,0,0,2,226,1073694081,120,0,0,0,0,0,8,0,0,0
4660,\Device\HarddiskVolume3\Windows\System32\sihost.exe,100,280,0,1,1747937581,1747937693,112,1747937581,2265,10,0,0,2255,2265,0,0,929,0,0,0,0,0,0,1,57,4294891213,1320,0,0,0,0,0,14,0,0,0
4,,0,0,0,1,1747937581,1747937689,108,1747937581,12,1,2,6,3,12,0,0,0,0,0,0,0,0,0,2,2145,1073705934,0,0,0,0,0,0,9,224,0,0
5104,\Device\HarddiskVolume3\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe,7,302,0,1,1747937581,1747937605,24,1747937581,8682,12,1,0,8669,8680,0,0,1839,0,0,0,0,0,9,0,0,0,73714,0,0,0,0,0,14,0,0,0
7568,\Device\HarddiskVolume3\Windows\System32\dllhost.exe,0,281,0,1,1747937581,1747937586,5,1747937581,419,0,0,0,419,419,0,0,297,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,9,0,0,0
5400,\Device\HarddiskVolume3\Windows\System32\RuntimeBroker.exe,6,320,0,1,1747937581,1747937588,6,1747937581,2689,0,0,0,2689,2689,0,0,884,0,0,0,34,0,9,0,0,0,26000,0,0,0,0,0,12,0,0,0
5732,\Device\HarddiskVolume3\Windows\System32\svchost.exe,6,281,0,1,1747937581,1747937588,6,1747937581,11080,528,0,0,10552,11080,0,0,0,0,0,0,0,0,0,0,0,0,110000,0,0,0,0,4,11,0,0,0
