ProcessId,ProcessName,ProcessAgeSeconds,ProcessImageEntropy,SessionId,IsElevated,FirstSeenTime,LastSeenTime,OperationDurationSec,ProcessCreateTime,TotalOperationCount,CreateOperationCount,ModifyOperationCount,DeleteOperationCount,QueryOperationCount,UniqueKeysAccessed,AutorunKeysAccessed,SecurityKeysAccessed,FileAssocKeysAccessed,NetworkingKeysAccessed,ServicesKeysAccessed,SensitiveKeysAccessed,ProcessHijackKeysAccessed,DllHijackKeysAccessed,ComObjectKeysAccessed,OperationBurstCount,MaxOperationsPerBurst,BurstIntervalMs,OperationDensityPerMin,TimingVariance,RemoteOperationCount,FileExtensionModificationCount,SecuritySettingModificationCount,WritesToReadsRatio,RegistryKeyDepthMax,RegistryValueEntropyAvg,ComRegistryModifications,CriticalSystemKeyModifications
864,\Device\HarddiskVolume3\Windows\System32\services.exe,72,258,0,1,1747937577,1747937650,72,1747937577,2587,0,3,0,2584,2587,0,0,0,0,0,0,24,0,0,0,0,0,2083,0,0,0,0,0,9,0,0,0
4824,\Device\HarddiskVolume3\Windows\System32\taskhostw.exe,73,276,0,1,1747937577,1747937650,73,1747937577,206,0,0,0,206,206,0,0,0,0,0,0,0,0,0,3,17694,805292768,164,0,0,0,0,0,12,0,0,0
4852,\Device\HarddiskVolume3\Windows\System32\Taskmgr.exe,72,290,0,1,1747937577,1747937650,72,1747937577,10381,4,1,0,10376,10379,0,0,1082,0,0,0,0,0,0,0,0,0,8583,0,0,0,0,0,12,293,0,0
3316,\Device\HarddiskVolume3\Windows\System32\svchost.exe,66,281,0,1,1747937577,1747937650,72,1747937577,3672,216,36,0,3420,3672,0,0,0,0,0,567,0,0,0,2,1846,1073716397,3272,0,0,0,0,7,10,243,0,0
3156,\Device\HarddiskVolume3\Windows\System32\spoolsv.exe,0,272,0,1,1747937578,1747937649,71,1747937578,11,0,3,0,8,11,0,0,0,0,0,0,0,0,0,1,710,4294896259,0,0,0,0,0,0,8,0,0,0
884,\Device\HarddiskVolume3\Windows\System32\lsass.exe,70,255,0,1,1747937580,1747937650,70,1747937580,1048,18,10,0,1020,1032,0,0,0,0,0,717,0,0,0,0,0,0,857,0,0,0,0,2,10,397,0,0
3332,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937580,1747937649,69,1747937580,37,2,5,0,30,37,0,0,0,0,0,0,0,0,0,1,779,4294909995,0,0,0,0,0,0,8,300,0,0
4364,\Device\HarddiskVolume3\Windows\explorer.exe,70,250,0,1,1747937580,1747937650,70,1747937580,18738,416,32,4,18286,18526,0,0,7603,0,0,0,0,0,0,1,244,4294945853,16028,0,0,0,0,2,13,260,0,0
1520,\Device\HarddiskVolume3\Windows\System32\svchost.exe,69,281,0,1,1747937580,1747937649,69,1747937580,595,52,13,0,530,595,0,0,0,0,0,0,0,0,0,1,728,4294906242,434,0,0,0,0,13,9,125,0,0
1904,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,69,266,0,1,1747937580,1747937649,69,1747937580,306,0,0,0,306,306,0,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,9,0,0,0
648,\Device\HarddiskVolume3\Windows\System32\csrss.exe,69,255,0,1,1747937580,1747937650,70,1747937580,214,0,0,0,214,214,0,0,0,0,0,0,0,0,0,3,53410,1073721411,173,0,0,0,0,0,8,0,0,0
2620,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,0,266,0,1,1747937580,1747937643,63,1747937580,45,0,0,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
3424,\Device\HarddiskVolume3\Windows\System32\conhost.exe,0,281,0,1,1747937580,1747937643,63,1747937580,152,0,0,0,152,152,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0
728,\Device\HarddiskVolume3\Windows\System32\csrss.exe,69,255,0,1,1747937580,1747937650,69,1747937580,728,0,0,0,728,728,0,0,0,0,0,0,0,0,0,1,89,4294935941,608,0,0,0,0,0,11,0,0,0
6040,\Device\HarddiskVolume3\Windows\System32\cmd.exe,0,235,0,1,1747937580,1747937580,0,1747937580,77,0,0,0,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
5076,\Device\HarddiskVolume5\new\ransomware_high_confidence\ragnarok\68eb2d2d7866775d6bf106a914281491d23769a9eda88fc078328150b8432bb3.exe,31,327,0,1,1747937580,1747937643,63,1747937580,354,4,4,0,346,352,0,0,0,0,0,14,6,0,3,2,236,1073711300,580,0,0,0,0,2,10,382,0,0
5404,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937580,1747937580,0,1747937580,766,0,0,0,766,766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
3012,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937580,1747937649,68,1747937580,222,24,1,0,197,198,0,0,72,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,10,0,0,0
3400,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937580,1747937581,0,1747937580,354,2,0,0,352,354,0,0,245,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0
944,\Device\HarddiskVolume3\Windows\System32\svchost.exe,69,281,0,1,1747937580,1747937650,69,1747937580,1861,42,1,0,1818,1861,0,0,980,0,0,0,0,0,44,2,395,1073718878,1565,0,0,0,0,2,12,0,0,0
3452,\Device\HarddiskVolume3\Windows\System32\svchost.exe,69,281,0,1,1747937580,1747937650,69,1747937580,15769,5068,0,0,10701,15734,0,0,247,0,0,0,0,0,0,1,346,4294945937,13652,0,0,0,0,47,9,0,0,0
1008,\Device\HarddiskVolume3\Windows\System32\svchost.exe,69,281,0,1,1747937580,1747937650,69,1747937580,1612,64,21,1,1526,1602,0,0,195,0,0,52,12,0,10,2,1680,1073731587,1391,0,0,0,0,5,16,251,0,0
3700,\Device\HarddiskVolume3\Windows\System32\wbem\WmiPrvSE.exe,69,291,0,1,1747937580,1747937650,69,1747937580,828,26,7,5,790,815,0,0,447,0,0,0,0,0,6,2,593,1073706107,695,0,0,0,0,4,8,332,0,0
4756,\Device\HarddiskVolume3\Windows\System32\svchost.exe,14,281,0,1,1747937580,1747937595,14,1747937580,2433,8,5,0,2420,2433,0,0,1207,0,0,0,0,0,8,0,0,0,10285,0,0,0,0,0,13,215,0,0
1696,\Device\HarddiskVolume3\Windows\System32\svchost.exe,69,281,0,1,1747937580,1747937650,69,1747937580,216,0,1,0,215,216,0,0,0,0,0,0,0,0,0,1,197,4294914349,173,0,0,0,0,0,8,0,0,0
4660,\Device\HarddiskVolume3\Windows\System32\sihost.exe,69,280,0,1,1747937581,1747937650,69,1747937581,2265,10,0,0,2255,2265,0,0,929,0,0,0,0,0,0,1,8651,4294922701,1913,0,0,0,0,0,14,0,0,0
4,,0,0,0,1,1747937581,1747937650,69,1747937581,12,1,2,6,3,12,0,0,0,0,0,0,0,0,0,2,3864,1073714218,0,0,0,0,0,0,9,224,0,0
5108,\Device\HarddiskVolume3\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe,7,302,0,1,1747937581,1747937605,24,1747937581,8765,12,1,0,8752,8763,0,0,1885,0,0,0,0,0,9,0,0,0,74571,0,0,0,0,0,14,0,0,0
7488,\Device\HarddiskVolume3\Windows\System32\dllhost.exe,0,281,0,1,1747937581,1747937586,5,1747937581,419,0,0,0,419,419,0,0,297,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,9,0,0,0
5788,\Device\HarddiskVolume3\Windows\System32\RuntimeBroker.exe,6,320,0,1,1747937581,1747937588,6,1747937581,3169,0,0,0,3169,3169,0,0,1149,0,0,0,34,0,9,0,0,0,31000,0,0,0,0,0,12,0,0,0
5732,\Device\HarddiskVolume3\Windows\System32\svchost.exe,6,281,0,1,1747937581,1747937588,6,1747937581,11079,528,0,0,10551,11079,0,0,0,0,0,0,0,0,0,0,0,0,110000,0,0,0,0,4,11,0,0,0
2556,\Device\HarddiskVolume3\Windows\System32\svchost.exe,13,281,0,1,1747937581,1747937649,67,1747937581,328,6,1,0,321,328,0,0,54,0,0,0,0,0,0,0,0,0,1384,0,0,0,0,2,11,0,0,0
3108,\Device\HarddiskVolume3\Windows\System32\audiodg.exe,7,281,0,1,1747937581,1747937650,68,1747937581,680,15,1,0,664,680,0,0,231,0,0,0,0,0,0,1,1320,4294906523,5142,0,0,0,0,1,13,0,0,0
