ProcessId,ProcessName,ProcessAgeSeconds,ProcessImageEntropy,SessionId,IsElevated,FirstSeenTime,LastSeenTime,OperationDurationSec,ProcessCreateTime,TotalOperationCount,CreateOperationCount,ModifyOperationCount,DeleteOperationCount,QueryOperationCount,UniqueKeysAccessed,AutorunKeysAccessed,SecurityKeysAccessed,FileAssocKeysAccessed,NetworkingKeysAccessed,ServicesKeysAccessed,SensitiveKeysAccessed,ProcessHijackKeysAccessed,DllHijackKeysAccessed,ComObjectKeysAccessed,OperationBurstCount,MaxOperationsPerBurst,BurstIntervalMs,OperationDensityPerMin,TimingVariance,RemoteOperationCount,FileExtensionModificationCount,SecuritySettingModificationCount,WritesToReadsRatio,RegistryKeyDepthMax,RegistryValueEntropyAvg,ComRegistryModifications,CriticalSystemKeyModifications
864,\Device\HarddiskVolume3\Windows\System32\services.exe,72,258,0,1,1747937576,1747937649,72,1747937576,523,0,2,0,521,523,0,0,0,0,0,0,36,0,0,0,0,0,416,0,0,0,0,0,9,0,0,0
4824,\Device\HarddiskVolume3\Windows\System32\taskhostw.exe,10,276,0,1,1747937576,1747937648,72,1747937576,188,0,0,0,188,188,0,0,0,0,0,0,0,0,0,1,267,4294919903,600,0,0,0,0,0,12,0,0,0
3316,\Device\HarddiskVolume3\Windows\System32\svchost.exe,66,281,0,1,1747937576,1747937649,72,1747937576,4715,212,22,0,4481,4715,0,0,0,0,0,414,0,0,0,2,1064,1073716763,4272,0,0,0,0,5,10,163,0,0
4852,\Device\HarddiskVolume3\Windows\System32\Taskmgr.exe,71,290,0,1,1747937577,1747937649,71,1747937577,9117,3,0,0,9114,9117,0,0,389,0,0,0,0,0,0,0,0,0,7690,0,0,0,0,0,13,0,0,0
884,\Device\HarddiskVolume3\Windows\System32\lsass.exe,69,255,0,1,1747937579,1747937649,69,1747937579,918,16,10,0,892,902,0,0,0,0,0,643,0,0,0,0,0,0,782,0,0,0,0,2,9,400,0,0
1520,\Device\HarddiskVolume3\Windows\System32\svchost.exe,69,281,0,1,1747937579,1747937648,69,1747937579,595,52,13,0,530,595,0,0,0,0,0,0,0,0,0,1,524,4294905835,434,0,0,0,0,13,9,125,0,0
1904,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,69,266,0,1,1747937579,1747937648,69,1747937579,306,0,0,0,306,306,0,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,9,0,0,0
3332,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937580,1747937640,60,1747937580,28,2,2,0,24,28,0,0,0,0,0,0,0,0,0,1,577,4294911995,0,0,0,0,0,0,7,300,0,0
648,\Device\HarddiskVolume3\Windows\System32\csrss.exe,62,255,0,1,1747937580,1747937649,69,1747937580,362,0,0,0,362,362,0,0,0,0,0,0,0,0,0,1,65,4294915686,290,0,0,0,0,0,11,0,0,0
2664,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,0,266,0,1,1747937580,1747937584,4,1747937580,45,0,0,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
2904,\Device\HarddiskVolume3\Windows\System32\conhost.exe,0,281,0,1,1747937580,1747937584,4,1747937580,152,0,0,0,152,152,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0
728,\Device\HarddiskVolume3\Windows\System32\csrss.exe,69,255,0,1,1747937580,1747937649,69,1747937580,628,0,0,0,628,628,0,0,0,0,0,0,0,0,0,1,88,4294905274,521,0,0,0,0,0,11,0,0,0
5560,\Device\HarddiskVolume3\Windows\System32\cmd.exe,0,235,0,1,1747937580,1747937580,0,1747937580,77,0,0,0,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
2336,\Device\HarddiskVolume5\new\ransomware_high_confidence\ransomexx\09bb81e5a6c716f14c625ff36beb3b184d0089ed29252af10635b604b69f22ef.exe,0,327,0,1,1747937580,1747937584,4,1747937580,112,0,0,0,112,112,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0
5628,\Device\HarddiskVolume3\Windows\System32\conhost.exe,0,281,0,1,1747937580,1747937587,6,1747937580,578,0,0,0,578,578,0,0,102,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,13,0,0,0
4364,\Device\HarddiskVolume3\Windows\explorer.exe,66,250,0,1,1747937580,1747937647,67,1747937580,2466,15,12,0,2439,2466,0,0,769,0,0,0,0,0,0,1,44,4294927900,2181,0,0,0,0,1,13,252,0,0
944,\Device\HarddiskVolume3\Windows\System32\svchost.exe,62,281,0,1,1747937580,1747937648,68,1747937580,1668,0,1,0,1667,1668,0,0,694,0,0,0,0,0,24,1,385,4294915210,1548,0,0,0,0,0,13,0,0,0
1008,\Device\HarddiskVolume3\Windows\System32\svchost.exe,62,281,0,1,1747937580,1747937649,69,1747937580,1163,0,7,0,1156,1163,0,0,148,0,0,52,0,0,6,1,639,4294914422,1064,0,0,0,0,0,13,258,0,0
6016,\Device\HarddiskVolume3\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.22.11141.0_x64__8wekyb3d8bbwe\OpenConsole.exe,0,259,0,1,1747937580,1747937587,6,1747937580,1335,0,1,0,1334,1335,0,0,294,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,13,258,0,0
