ProcessId,ProcessName,ProcessAgeSeconds,ProcessImageEntropy,SessionId,IsElevated,FirstSeenTime,LastSeenTime,OperationDurationSec,ProcessCreateTime,TotalOperationCount,CreateOperationCount,ModifyOperationCount,DeleteOperationCount,QueryOperationCount,UniqueKeysAccessed,AutorunKeysAccessed,SecurityKeysAccessed,FileAssocKeysAccessed,NetworkingKeysAccessed,ServicesKeysAccessed,SensitiveKeysAccessed,ProcessHijackKeysAccessed,DllHijackKeysAccessed,ComObjectKeysAccessed,OperationBurstCount,MaxOperationsPerBurst,BurstIntervalMs,OperationDensityPerMin,TimingVariance,RemoteOperationCount,FileExtensionModificationCount,SecuritySettingModificationCount,WritesToReadsRatio,RegistryKeyDepthMax,RegistryValueEntropyAvg,ComRegistryModifications,CriticalSystemKeyModifications
864,\Device\HarddiskVolume3\Windows\System32\services.exe,78,258,0,1,1747937577,1747937656,78,1747937577,847,0,2,0,845,847,0,0,0,0,0,0,48,0,0,0,0,0,615,0,0,0,0,0,9,0,0,0
4824,\Device\HarddiskVolume3\Windows\System32\taskhostw.exe,18,276,0,1,1747937577,1747937655,78,1747937577,170,0,0,0,170,170,0,0,0,0,0,0,0,0,0,2,81075,4294913121,333,0,0,0,0,0,12,0,0,0
3316,\Device\HarddiskVolume3\Windows\System32\svchost.exe,72,281,0,1,1747937577,1747937653,75,1747937577,3491,212,26,0,3253,3491,0,0,0,0,0,414,0,0,0,2,734,1073719242,2833,0,0,0,0,7,10,210,0,0
4852,\Device\HarddiskVolume3\Windows\System32\Taskmgr.exe,77,290,0,1,1747937577,1747937655,77,1747937577,9629,3,0,0,9626,9629,0,0,451,0,0,0,0,0,0,0,0,0,7480,0,0,0,0,0,12,0,0,0
3156,\Device\HarddiskVolume3\Windows\System32\spoolsv.exe,0,272,0,1,1747937578,1747937649,71,1747937578,11,0,3,0,8,11,0,0,0,0,0,0,0,0,0,1,123,4294895834,0,0,0,0,0,0,8,0,0,0
884,\Device\HarddiskVolume3\Windows\System32\lsass.exe,75,255,0,1,1747937580,1747937655,75,1747937580,1172,29,11,0,1132,1152,0,0,0,0,0,686,0,0,0,0,0,0,880,0,0,0,0,3,10,400,0,0
3332,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937580,1747937650,69,1747937580,37,2,5,0,30,37,0,0,0,0,0,0,0,0,0,1,577,4294911940,0,0,0,0,0,0,8,300,0,0
4364,\Device\HarddiskVolume3\Windows\explorer.exe,73,250,0,1,1747937580,1747937654,74,1747937580,2214,18,5,0,2191,2214,0,0,1207,0,0,0,0,0,0,2,709,1073724471,1808,0,0,0,0,1,12,371,0,0
1520,\Device\HarddiskVolume3\Windows\System32\svchost.exe,75,281,0,1,1747937580,1747937655,75,1747937580,649,52,13,0,584,649,0,0,50,0,0,0,0,0,0,1,632,4294906468,480,0,0,0,0,11,9,125,0,0
1904,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,75,266,0,1,1747937580,1747937655,75,1747937580,309,0,0,0,309,309,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,9,0,0,0
