ProcessId,ProcessName,ProcessAgeSeconds,ProcessImageEntropy,SessionId,IsElevated,FirstSeenTime,LastSeenTime,OperationDurationSec,ProcessCreateTime,TotalOperationCount,CreateOperationCount,ModifyOperationCount,DeleteOperationCount,QueryOperationCount,UniqueKeysAccessed,AutorunKeysAccessed,SecurityKeysAccessed,FileAssocKeysAccessed,NetworkingKeysAccessed,ServicesKeysAccessed,SensitiveKeysAccessed,ProcessHijackKeysAccessed,DllHijackKeysAccessed,ComObjectKeysAccessed,OperationBurstCount,MaxOperationsPerBurst,BurstIntervalMs,OperationDensityPerMin,TimingVariance,RemoteOperationCount,FileExtensionModificationCount,SecuritySettingModificationCount,WritesToReadsRatio,RegistryKeyDepthMax,RegistryValueEntropyAvg,ComRegistryModifications,CriticalSystemKeyModifications
864,\Device\HarddiskVolume3\Windows\System32\services.exe,106,258,0,1,1747937576,1747937686,109,1747937576,431860,0,242,0,431618,431860,0,0,0,0,0,0,36,0,0,0,0,0,244415,0,0,0,0,0,9,320,0,0
4824,\Device\HarddiskVolume3\Windows\System32\taskhostw.exe,102,276,0,1,1747937576,1747937685,108,1747937576,161,0,0,0,161,161,0,0,0,0,0,0,0,0,0,2,116196,4294904760,58,0,0,0,0,0,12,0,0,0
3316,\Device\HarddiskVolume3\Windows\System32\svchost.exe,104,281,0,1,1747937577,1747937685,108,1747937577,3332,187,18,0,3127,3332,0,0,0,0,0,433,0,0,0,2,11226,1073695015,1903,0,0,0,0,6,10,167,0,0
4852,\Device\HarddiskVolume3\Windows\System32\Taskmgr.exe,107,290,0,1,1747937577,1747937685,107,1747937577,16224,43,0,0,16181,16206,9,0,859,0,0,0,0,0,0,0,0,0,9084,0,0,0,0,0,16,0,0,0
3156,\Device\HarddiskVolume3\Windows\System32\spoolsv.exe,0,272,0,1,1747937578,1747937649,71,1747937578,11,0,3,0,8,11,0,0,0,0,0,0,0,0,0,1,31,4294896143,0,0,0,0,0,0,8,0,0,0
884,\Device\HarddiskVolume3\Windows\System32\lsass.exe,105,255,0,1,1747937579,1747937685,105,1747937579,1220,29,11,0,1180,1200,0,0,0,0,0,730,0,0,0,0,0,0,685,0,0,0,0,3,10,398,0,0
1520,\Device\HarddiskVolume3\Windows\System32\svchost.exe,105,281,0,1,1747937579,1747937685,105,1747937579,649,52,13,0,584,649,0,0,50,0,0,0,0,0,0,2,22811,1073691143,342,0,0,0,0,11,9,125,0,0
1904,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,105,266,0,1,1747937579,1747937685,105,1747937579,327,0,0,0,327,327,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,0,9,0,0,0
3332,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937580,1747937649,69,1747937580,37,2,5,0,30,37,0,0,0,0,0,0,0,0,0,1,53004,4294912207,0,0,0,0,0,0,8,300,0,0
4364,\Device\HarddiskVolume3\Windows\explorer.exe,105,250,0,1,1747937580,1747937686,105,1747937580,11099,22,5,0,11072,11099,0,0,2096,0,0,0,0,0,0,3,82100,805285466,6285,0,0,0,0,0,12,371,0,0
648,\Device\HarddiskVolume3\Windows\System32\csrss.exe,77,255,0,1,1747937580,1747937685,104,1747937580,178,0,0,0,178,178,0,0,0,0,0,0,0,0,0,1,765,4294903870,77,0,0,0,0,0,8,0,0,0
2952,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,0,266,0,1,1747937580,1747937679,99,1747937580,45,0,0,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
5324,\Device\HarddiskVolume3\Windows\System32\conhost.exe,0,281,0,1,1747937580,1747937679,99,1747937580,152,0,0,0,152,152,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0
728,\Device\HarddiskVolume3\Windows\System32\csrss.exe,105,255,0,1,1747937580,1747937686,105,1747937580,542,0,0,0,542,542,0,0,0,0,0,0,0,0,0,2,2582,1073682007,285,0,0,0,0,0,11,0,0,0
1644,\Device\HarddiskVolume3\Windows\System32\cmd.exe,0,235,0,1,1747937580,1747937580,0,1747937580,77,0,0,0,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
3644,\Device\HarddiskVolume5\new\ransomware_high_confidence\revil\5467fe3f38ccf0c56c1aba7cbbc56109b747f7a53c333a3f5a1cfe6094e1fa2b.exe,11,322,0,1,1747937580,1747937679,98,1747937580,1904,9,7,0,1888,1895,3,0,1312,0,0,0,5,0,6,1,174,4294879577,10363,0,0,0,0,0,9,455,0,0
4080,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937582,1747937582,0,1747937582,10,0,2,0,8,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,125,0,0
944,\Device\HarddiskVolume3\Windows\System32\svchost.exe,103,281,0,1,1747937582,1747937686,103,1747937582,1618,6,1,0,1611,1618,0,0,1255,0,0,0,0,0,58,2,9870,1073691995,932,0,0,0,0,0,12,0,0,0
