ProcessId,ProcessName,ProcessAgeSeconds,ProcessImageEntropy,SessionId,IsElevated,FirstSeenTime,LastSeenTime,OperationDurationSec,ProcessCreateTime,TotalOperationCount,CreateOperationCount,ModifyOperationCount,DeleteOperationCount,QueryOperationCount,UniqueKeysAccessed,AutorunKeysAccessed,SecurityKeysAccessed,FileAssocKeysAccessed,NetworkingKeysAccessed,ServicesKeysAccessed,SensitiveKeysAccessed,ProcessHijackKeysAccessed,DllHijackKeysAccessed,ComObjectKeysAccessed,OperationBurstCount,MaxOperationsPerBurst,BurstIntervalMs,OperationDensityPerMin,TimingVariance,RemoteOperationCount,FileExtensionModificationCount,SecuritySettingModificationCount,WritesToReadsRatio,RegistryKeyDepthMax,RegistryValueEntropyAvg,ComRegistryModifications,CriticalSystemKeyModifications
864,\Device\HarddiskVolume3\Windows\System32\services.exe,116,258,0,1,1747937577,1747937696,119,1747937577,303592,0,242,0,303350,303592,0,0,0,0,0,0,48,0,0,1,391,4294949267,156982,0,0,0,0,0,9,320,0,0
4824,\Device\HarddiskVolume3\Windows\System32\taskhostw.exe,107,276,0,1,1747937577,1747937696,119,1747937577,224,0,0,0,224,224,0,0,0,0,0,0,0,0,0,4,29705,603964623,112,0,0,0,0,0,12,0,0,0
4852,\Device\HarddiskVolume3\Windows\System32\Taskmgr.exe,118,290,0,1,1747937577,1747937696,118,1747937577,17478,45,0,0,17433,17459,9,0,796,0,0,0,0,0,0,0,0,0,8847,0,0,0,0,0,16,0,0,0
3316,\Device\HarddiskVolume3\Windows\System32\svchost.exe,94,281,0,1,1747937577,1747937694,116,1747937577,3678,216,36,0,3426,3678,0,0,0,0,0,567,0,0,0,2,1996,1073695448,2297,0,0,0,0,7,10,218,0,0
3156,\Device\HarddiskVolume3\Windows\System32\spoolsv.exe,0,272,0,1,1747937578,1747937649,71,1747937578,11,0,3,0,8,11,0,0,0,0,0,0,0,0,0,1,1250,4294896255,0,0,0,0,0,0,8,0,0,0
884,\Device\HarddiskVolume3\Windows\System32\lsass.exe,116,255,0,1,1747937580,1747937696,116,1747937580,1396,29,10,0,1357,1376,0,0,0,0,0,886,0,0,0,0,0,0,672,0,0,0,0,3,10,398,0,0
3332,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937580,1747937650,69,1747937580,37,2,5,0,30,37,0,0,0,0,0,0,0,0,0,1,22907,4294909976,0,0,0,0,0,0,8,300,0,0
4364,\Device\HarddiskVolume3\Windows\explorer.exe,114,250,0,1,1747937580,1747937694,114,1747937580,72853,1154,17,0,71682,71997,0,0,21783,0,0,0,0,0,0,2,124,1073715011,38315,0,0,0,0,1,13,209,0,0
1520,\Device\HarddiskVolume3\Windows\System32\svchost.exe,115,281,0,1,1747937580,1747937696,115,1747937580,757,52,13,0,692,757,0,0,150,0,0,0,0,0,0,3,14915,805263160,365,0,0,0,0,9,9,125,0,0
1904,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,115,266,0,1,1747937580,1747937696,115,1747937580,330,0,0,0,330,330,0,0,0,0,0,0,0,0,0,1,614,4294955128,156,0,0,0,0,0,9,0,0,0
