ProcessId,ProcessName,ProcessAgeSeconds,ProcessImageEntropy,SessionId,IsElevated,FirstSeenTime,LastSeenTime,OperationDurationSec,ProcessCreateTime,TotalOperationCount,CreateOperationCount,ModifyOperationCount,DeleteOperationCount,QueryOperationCount,UniqueKeysAccessed,AutorunKeysAccessed,SecurityKeysAccessed,FileAssocKeysAccessed,NetworkingKeysAccessed,ServicesKeysAccessed,SensitiveKeysAccessed,ProcessHijackKeysAccessed,DllHijackKeysAccessed,ComObjectKeysAccessed,OperationBurstCount,MaxOperationsPerBurst,BurstIntervalMs,OperationDensityPerMin,TimingVariance,RemoteOperationCount,FileExtensionModificationCount,SecuritySettingModificationCount,WritesToReadsRatio,RegistryKeyDepthMax,RegistryValueEntropyAvg,ComRegistryModifications,CriticalSystemKeyModifications
864,\Device\HarddiskVolume3\Windows\System32\services.exe,76,258,0,1,1747937577,1747937653,76,1747937577,630,0,3,0,627,630,0,0,0,0,0,0,24,0,0,2,4283,4294921052,473,0,0,0,0,0,9,0,0,0
4824,\Device\HarddiskVolume3\Windows\System32\taskhostw.exe,70,276,0,1,1747937577,1747937653,76,1747937577,251,0,0,0,251,251,0,0,0,0,0,0,0,0,0,2,1022,1073730746,171,0,0,0,0,0,12,0,0,0
4852,\Device\HarddiskVolume3\Windows\System32\Taskmgr.exe,78,290,0,1,1747937577,1747937656,78,1747937577,10277,0,0,0,10277,10277,0,0,641,0,0,0,0,0,0,0,0,0,7846,0,0,0,0,0,12,0,0,0
3316,\Device\HarddiskVolume3\Windows\System32\svchost.exe,72,281,0,1,1747937577,1747937654,76,1747937577,3725,216,36,0,3473,3725,0,0,0,0,0,595,0,0,0,1,58,4294921514,3083,0,0,0,0,7,10,240,0,0
3156,\Device\HarddiskVolume3\Windows\System32\spoolsv.exe,0,272,0,1,1747937578,1747937649,71,1747937578,11,0,3,0,8,11,0,0,0,0,0,0,0,0,0,1,7190,4294896044,0,0,0,0,0,0,8,0,0,0
884,\Device\HarddiskVolume3\Windows\System32\lsass.exe,73,255,0,1,1747937580,1747937655,75,1747937580,1174,29,10,0,1135,1154,0,0,0,0,0,695,0,0,0,0,0,0,904,0,0,0,0,3,10,398,0,0
3332,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937580,1747937650,70,1747937580,37,2,5,0,30,37,0,0,0,0,0,0,0,0,0,1,1309,4294907740,0,0,0,0,0,0,8,300,0,0
4364,\Device\HarddiskVolume3\Windows\explorer.exe,75,250,0,1,1747937580,1747937655,75,1747937580,15307,303,7,0,14997,15131,0,0,6108,0,0,0,0,0,0,2,24663,1073729749,12240,0,0,0,0,2,12,309,0,0
1520,\Device\HarddiskVolume3\Windows\System32\svchost.exe,73,281,0,1,1747937580,1747937653,73,1747937580,649,52,13,0,584,649,0,0,50,0,0,0,0,0,0,1,1660,4294908201,493,0,0,0,0,11,9,125,0,0
1904,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,73,266,0,1,1747937580,1747937653,73,1747937580,309,0,0,0,309,309,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0,0,9,0,0,0
648,\Device\HarddiskVolume3\Windows\System32\csrss.exe,68,255,0,1,1747937580,1747937653,72,1747937580,231,0,0,0,231,231,0,0,0,0,0,0,0,0,0,2,203,1073721719,176,0,0,0,0,0,11,0,0,0
2820,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,0,266,0,1,1747937580,1747937648,67,1747937580,45,0,0,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
3484,\Device\HarddiskVolume3\Windows\System32\conhost.exe,0,281,0,1,1747937580,1747937648,67,1747937580,152,0,0,0,152,152,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0
728,\Device\HarddiskVolume3\Windows\System32\csrss.exe,74,255,0,1,1747937580,1747937655,74,1747937580,640,0,0,0,640,640,0,0,0,0,0,0,0,0,0,3,1775,805291277,486,0,0,0,0,0,11,0,0,0
2364,\Device\HarddiskVolume3\Windows\System32\cmd.exe,0,235,0,1,1747937580,1747937580,0,1747937580,77,0,0,0,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
3668,\Device\HarddiskVolume5\new\ransomware_high_confidence\ryuk\9eb7abf2228ad28d8b7f571e0495d4a35da40607f04355307077975e271553b8.exe,55,324,0,1,1747937580,1747937648,67,1747937580,6916,1,8,0,6907,6916,0,0,3888,0,0,4,11,0,13,4,1660,603970013,7527,0,0,0,0,0,12,115,0,0
5172,\Device\HarddiskVolume3\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe,0,311,0,1,1747937584,1747937585,1,1747937584,9,0,3,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
1696,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937586,1747937649,63,1747937586,33,0,1,0,32,33,0,0,0,0,0,0,0,0,0,1,309,4294905262,0,0,0,0,0,0,8,0,0,0
1740,\Device\HarddiskVolume3\Windows\System32\upfc.exe,60,237,0,1,1747937589,1747937649,60,1747937589,110,3,4,0,103,110,0,0,41,0,0,0,0,0,5,2,913,1073714615,100,0,0,0,0,6,9,232,0,0
3452,\Device\HarddiskVolume3\Windows\System32\svchost.exe,60,281,0,1,1747937589,1747937654,64,1747937589,17149,5487,0,0,11662,17114,0,0,373,0,0,0,0,0,0,1,345,4294909803,17100,0,0,0,0,47,9,0,0,0
3028,\Device\HarddiskVolume3\Windows\System32\wbem\WMIADAP.exe,65,281,0,1,1747937589,1747937656,66,1747937589,4432,2,0,0,4430,4432,0,0,210,0,0,0,0,0,6,0,0,0,4061,0,0,0,0,0,8,0,0,0
944,\Device\HarddiskVolume3\Windows\System32\svchost.exe,63,281,0,1,1747937589,1747937653,63,1747937589,1115,6,1,0,1108,1115,0,0,828,0,0,0,0,0,44,1,1213,4294911502,1047,0,0,0,0,0,12,0,0,0
1008,\Device\HarddiskVolume3\Windows\System32\svchost.exe,59,281,0,1,1747937589,1747937649,59,1747937589,898,26,13,1,858,894,0,0,123,0,0,0,0,0,8,1,9553,4294918952,813,0,0,0,0,3,16,251,0,0
5524,\Device\HarddiskVolume3\Windows\System32\wbem\WmiPrvSE.exe,0,291,0,1,1747937589,1747937590,0,1747937589,675,18,15,4,638,674,0,0,395,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8,346,0,0
1448,\Device\HarddiskVolume5\new\ransomware_high_confidence\ryuk\TEexuyYxlrep.exe,9,265,0,1,1747937590,1747937611,21,1747937590,181,0,0,0,181,181,0,0,0,0,0,4,4,0,3,0,0,0,666,0,0,0,0,0,9,0,0,0
2936,\Device\HarddiskVolume3\Windows\System32\svchost.exe,60,281,0,1,1747937590,1747937650,60,1747937590,207,12,0,0,195,195,0,0,21,0,0,0,0,0,0,2,8179,1073712560,200,0,0,0,0,6,9,0,0,0
5024,\Device\HarddiskVolume3\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.22.11141.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe,30,323,0,1,1747937591,1747937621,30,1747937591,1120,0,0,0,1120,1120,0,0,700,0,0,0,0,0,0,1,96,4294937884,2200,0,0,0,0,0,9,0,0,0
3048,\Device\HarddiskVolume3\Users\wineleven\AppData\Local\Microsoft\OneDrive\OneDrive.exe,0,266,0,1,1747937595,1747937645,50,1747937595,79,0,0,2,77,79,0,0,0,0,0,0,0,0,0,5,1018,452975691,0,0,0,0,0,0,9,0,0,0
2128,\Device\HarddiskVolume3\Windows\System32\svchost.exe,54,281,0,1,1747937595,1747937650,54,1747937595,1185,8,0,0,1177,1181,0,0,0,0,0,0,0,0,0,2,3171,1073730179,1222,0,0,0,0,0,9,0,0,0
2764,\Device\HarddiskVolume5\new\ransomware_high_confidence\ryuk\yeMAiejHWlan.exe,15,275,0,1,1747937605,1747937620,15,1747937605,304,0,0,0,304,304,0,0,0,0,0,4,4,0,3,0,0,0,1200,0,0,0,0,0,10,0,0,0
2808,\Device\HarddiskVolume3\Windows\System32\svchost.exe,44,281,0,1,1747937605,1747937650,45,1747937605,183,5,0,0,178,183,0,0,0,0,0,0,0,0,0,2,436,1073728648,136,0,0,0,0,2,9,0,0,0
5372,\Device\HarddiskVolume3\Windows\System32\SearchIndexer.exe,47,294,0,1,1747937606,1747937656,49,1747937606,1149,1,1,0,1147,1148,0,0,132,0,0,0,0,0,0,1,2878,4294924237,1404,0,0,0,0,0,12,218,0,0
5348,\Device\HarddiskVolume3\Windows\System32\SearchProtocolHost.exe,49,304,0,1,1747937606,1747937656,49,1747937606,7192,12,0,0,7180,7187,0,0,944,0,0,0,0,0,7,1,130,4294920770,8693,0,0,0,0,0,12,0,0,0
4700,\Device\HarddiskVolume3\Windows\System32\SearchFilterHost.exe,0,319,0,1,1747937606,1747937606,0,1747937606,721,1,0,0,720,720,0,0,436,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,9,0,0,0
1300,\Device\HarddiskVolume5\new\ransomware_high_confidence\ryuk\qIZeKXUxnlan.exe,15,278,0,1,1747937620,1747937635,15,1747937620,304,0,0,0,304,304,0,0,0,0,0,4,4,0,3,0,0,0,1200,0,0,0,0,0,10,0,0,0
8080,\Device\HarddiskVolume3\Windows\SysWOW64\icacls.exe,0,280,0,1,1747937636,1747937653,16,1747937636,64,0,0,0,64,64,0,0,0,0,0,0,1,0,0,1,1452,4294950496,0,0,0,0,0,0,9,0,0,0
2256,\Device\HarddiskVolume3\Windows\SysWOW64\icacls.exe,0,280,0,1,1747937636,1747937636,0,1747937636,63,0,0,0,63,63,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
7028,\Device\HarddiskVolume3\Windows\SysWOW64\icacls.exe,0,280,0,1,1747937636,1747937636,0,1747937636,64,0,0,0,64,64,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
