ProcessId,ProcessName,ProcessAgeSeconds,ProcessImageEntropy,SessionId,IsElevated,FirstSeenTime,LastSeenTime,OperationDurationSec,ProcessCreateTime,TotalOperationCount,CreateOperationCount,ModifyOperationCount,DeleteOperationCount,QueryOperationCount,UniqueKeysAccessed,AutorunKeysAccessed,SecurityKeysAccessed,FileAssocKeysAccessed,NetworkingKeysAccessed,ServicesKeysAccessed,SensitiveKeysAccessed,ProcessHijackKeysAccessed,DllHijackKeysAccessed,ComObjectKeysAccessed,OperationBurstCount,MaxOperationsPerBurst,BurstIntervalMs,OperationDensityPerMin,TimingVariance,RemoteOperationCount,FileExtensionModificationCount,SecuritySettingModificationCount,WritesToReadsRatio,RegistryKeyDepthMax,RegistryValueEntropyAvg,ComRegistryModifications,CriticalSystemKeyModifications
864,\Device\HarddiskVolume3\Windows\System32\services.exe,126,258,0,1,1747937576,1747937707,130,1747937576,561,0,2,0,559,561,0,0,0,0,0,0,24,0,0,3,300,805274992,238,0,0,0,0,0,9,0,0,0
4824,\Device\HarddiskVolume3\Windows\System32\taskhostw.exe,130,276,0,1,1747937576,1747937706,130,1747937576,209,0,0,0,209,209,0,0,0,0,0,0,0,0,0,3,21809,805282028,92,0,0,0,0,0,12,0,0,0
3316,\Device\HarddiskVolume3\Windows\System32\svchost.exe,111,281,0,1,1747937577,1747937707,130,1747937577,5531,229,24,4,5274,5531,0,0,0,0,0,433,0,0,0,5,1393,452963548,2972,0,0,0,0,4,10,178,0,0
4852,\Device\HarddiskVolume3\Windows\System32\Taskmgr.exe,129,290,0,1,1747937577,1747937706,129,1747937577,21168,89,0,0,21079,21132,12,0,692,0,0,0,0,0,0,0,0,0,9813,0,0,0,0,0,16,0,0,0
3156,\Device\HarddiskVolume3\Windows\System32\spoolsv.exe,0,272,0,1,1747937578,1747937649,71,1747937578,11,0,3,0,8,11,0,0,0,0,0,0,0,0,0,1,29,4294896048,0,0,0,0,0,0,8,0,0,0
884,\Device\HarddiskVolume3\Windows\System32\lsass.exe,126,255,0,1,1747937579,1747937706,126,1747937579,1248,29,10,0,1209,1228,0,0,0,0,0,755,0,0,0,1,4094,4294957136,571,0,0,0,0,3,10,398,0,0
1520,\Device\HarddiskVolume3\Windows\System32\svchost.exe,126,281,0,1,1747937579,1747937706,126,1747937579,652,52,14,0,586,652,0,0,50,0,0,0,0,0,0,2,3375,1073687234,285,0,0,0,0,11,9,125,0,0
1904,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,126,266,0,1,1747937579,1747937706,126,1747937579,330,0,0,0,330,330,0,0,0,0,0,0,0,0,0,1,164,4294950799,142,0,0,0,0,0,9,0,0,0
3332,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937580,1747937700,120,1747937580,51,3,6,0,42,51,0,0,0,0,0,0,0,0,0,2,2234,1073687538,0,0,0,0,0,0,8,300,0,0
4364,\Device\HarddiskVolume3\Windows\explorer.exe,126,250,0,1,1747937580,1747937706,126,1747937580,47109,1062,87,0,45960,46356,0,0,16058,0,0,0,0,0,0,2,7373,4294928933,22428,0,0,0,0,2,13,436,0,0
648,\Device\HarddiskVolume3\Windows\System32\csrss.exe,126,255,0,1,1747937580,1747937706,126,1747937580,208,0,0,0,208,208,0,0,0,0,0,0,0,0,0,4,749,603959164,95,0,0,0,0,0,8,0,0,0
2664,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,0,266,0,1,1747937580,1747937687,107,1747937580,45,0,0,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
2904,\Device\HarddiskVolume3\Windows\System32\conhost.exe,0,281,0,1,1747937580,1747937687,107,1747937580,152,0,0,0,152,152,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0
728,\Device\HarddiskVolume3\Windows\System32\csrss.exe,126,255,0,1,1747937580,1747937707,126,1747937580,287,0,0,0,287,287,0,0,0,0,0,0,0,0,0,4,7769,603956096,95,0,0,0,0,0,11,0,0,0
5560,\Device\HarddiskVolume3\Windows\System32\cmd.exe,0,235,0,1,1747937580,1747937580,0,1747937580,77,0,0,0,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
2336,\Device\HarddiskVolume5\new\ransomware_high_confidence\ryuk\9fe66773c84d371ef1b424005996ade4d5e16fb00306a1d54b107b2b2d03fe17.exe,31,324,0,1,1747937580,1747937687,107,1747937580,131,0,0,0,131,131,0,0,0,0,0,26,0,0,3,2,1311,1073700241,193,0,0,0,0,0,9,0,0,0
4636,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937581,1747937706,124,1747937581,9,0,2,0,7,9,0,0,0,0,0,0,0,0,0,1,27,4294842760,0,0,0,0,0,0,8,0,0,0
4756,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937581,1747937706,124,1747937581,38,0,4,0,34,38,0,0,0,0,0,0,0,0,0,1,34879,4294934483,0,0,0,0,0,0,8,425,0,0
4988,\Device\HarddiskVolume3\Windows\System32\ShellHost.exe,0,280,0,1,1747937582,1747937706,123,1747937582,9,0,2,0,7,9,0,0,0,0,0,0,0,0,0,1,127,4294843866,0,0,0,0,0,0,8,0,0,0
1308,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937583,1747937706,122,1747937583,5,0,1,0,4,5,0,0,0,0,0,0,0,0,0,1,293,4294844753,0,0,0,0,0,0,8,0,0,0
