ProcessId,ProcessName,ProcessAgeSeconds,ProcessImageEntropy,SessionId,IsElevated,FirstSeenTime,LastSeenTime,OperationDurationSec,ProcessCreateTime,TotalOperationCount,CreateOperationCount,ModifyOperationCount,DeleteOperationCount,QueryOperationCount,UniqueKeysAccessed,AutorunKeysAccessed,SecurityKeysAccessed,FileAssocKeysAccessed,NetworkingKeysAccessed,ServicesKeysAccessed,SensitiveKeysAccessed,ProcessHijackKeysAccessed,DllHijackKeysAccessed,ComObjectKeysAccessed,OperationBurstCount,MaxOperationsPerBurst,BurstIntervalMs,OperationDensityPerMin,TimingVariance,RemoteOperationCount,FileExtensionModificationCount,SecuritySettingModificationCount,WritesToReadsRatio,RegistryKeyDepthMax,RegistryValueEntropyAvg,ComRegistryModifications,CriticalSystemKeyModifications
864,\Device\HarddiskVolume3\Windows\System32\services.exe,106,258,0,1,1747937575,1747937687,111,1747937575,1144,1,9,0,1134,1144,0,0,0,0,0,0,36,0,0,1,105,4294956687,622,0,0,0,0,0,9,210,0,0
4824,\Device\HarddiskVolume3\Windows\System32\taskhostw.exe,93,276,0,1,1747937575,1747937681,105,1747937575,233,0,0,0,233,233,0,0,0,0,0,0,0,0,0,2,1874,1073699893,129,0,0,0,0,0,12,0,0,0
3316,\Device\HarddiskVolume3\Windows\System32\svchost.exe,93,281,0,1,1747937576,1747937682,105,1747937576,4233,280,74,0,3879,4233,0,0,0,0,0,639,0,0,0,2,183,1073697407,2709,0,0,0,0,9,10,215,0,0
884,\Device\HarddiskVolume3\Windows\System32\lsass.exe,105,255,0,1,1747937576,1747937688,112,1747937576,1226,29,11,0,1186,1206,0,0,0,0,0,736,0,0,0,0,0,0,685,0,0,0,0,3,10,400,0,0
1904,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,105,266,0,1,1747937576,1747937686,110,1747937576,339,0,0,0,339,339,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,0,9,0,0,0
4852,\Device\HarddiskVolume3\Windows\System32\Taskmgr.exe,112,290,0,1,1747937576,1747937689,112,1747937576,14996,6,0,0,14990,14996,0,0,997,0,0,0,0,0,0,0,0,0,7982,0,0,0,0,0,12,0,0,0
3156,\Device\HarddiskVolume3\Windows\System32\spoolsv.exe,0,272,0,1,1747937578,1747937649,71,1747937578,11,0,3,0,8,11,0,0,0,0,0,0,0,0,0,1,32,4294896016,0,0,0,0,0,0,8,0,0,0
1520,\Device\HarddiskVolume3\Windows\System32\svchost.exe,102,281,0,1,1747937579,1747937681,102,1747937579,649,52,13,0,584,649,0,0,50,0,0,0,0,0,0,2,9722,1073689712,352,0,0,0,0,11,9,125,0,0
648,\Device\HarddiskVolume3\Windows\System32\csrss.exe,108,255,0,1,1747937579,1747937687,108,1747937579,209,0,0,0,209,209,0,0,0,0,0,0,0,0,0,2,1903,1073703993,111,0,0,0,0,0,8,0,0,0
2620,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,0,266,0,1,1747937579,1747937669,90,1747937579,45,0,0,0,45,45,0,0,0,0,0,0,0,0,0,1,24,4294877046,0,0,0,0,0,0,9,0,0,0
3424,\Device\HarddiskVolume3\Windows\System32\conhost.exe,0,281,0,1,1747937579,1747937669,90,1747937579,152,0,0,0,152,152,0,0,0,0,0,0,0,0,3,1,94,4294877035,0,0,0,0,0,0,9,0,0,0
728,\Device\HarddiskVolume3\Windows\System32\csrss.exe,110,255,0,1,1747937579,1747937689,110,1747937579,607,0,0,0,607,607,0,0,0,0,0,0,0,0,0,3,583,805269561,327,0,0,0,0,0,11,0,0,0
6040,\Device\HarddiskVolume3\Windows\System32\cmd.exe,0,235,0,1,1747937579,1747937579,0,1747937579,77,0,0,0,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
5076,\Device\HarddiskVolume5\new\ransomware_high_confidence\wastedlocker\0ee5e68383fe3d0c049da3083384af79b65fd25f1b9a2857bc94d41e4dd53525.exe,0,331,0,1,1747937579,1747937669,90,1747937579,174,0,0,0,174,174,0,0,6,0,0,0,5,0,3,1,1629,4294878008,0,0,0,0,0,0,9,0,0,0
4364,\Device\HarddiskVolume3\Windows\explorer.exe,103,250,0,1,1747937579,1747937683,104,1747937579,13175,390,7,0,12778,12887,0,0,4525,0,0,0,0,0,0,3,46075,805296087,7631,0,0,0,0,3,12,315,0,0
3332,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937580,1747937650,69,1747937580,37,2,5,0,30,37,0,0,0,0,0,0,0,0,0,1,1092,4294912459,0,0,0,0,0,0,8,300,0,0
8148,\Device\HarddiskVolume3\Users\wineleven\AppData\Roaming\Extension:bin,0,200,0,1,1747937580,1747937580,0,1747937580,205,0,0,0,205,205,0,0,6,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0
5476,\Device\HarddiskVolume3\Windows\System32\vssadmin.exe,0,283,0,1,1747937580,1747937580,0,1747937580,219,0,0,0,219,219,0,0,123,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,9,0,0,0
5452,\Device\HarddiskVolume3\Windows\System32\conhost.exe,0,281,0,1,1747937580,1747937580,0,1747937580,113,0,0,0,113,113,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0
944,\Device\HarddiskVolume3\Windows\System32\svchost.exe,107,281,0,1,1747937580,1747937687,107,1747937580,1435,6,1,0,1428,1435,0,0,1061,0,0,0,0,0,58,3,77314,1073697731,785,0,0,0,0,0,12,0,0,0
1008,\Device\HarddiskVolume3\Windows\System32\svchost.exe,89,281,0,1,1747937580,1747937670,89,1747937580,1023,26,14,1,982,1019,0,0,222,0,0,0,0,0,12,2,802,1073698418,674,0,0,0,0,4,16,251,0,0
1796,\Device\HarddiskVolume3\Windows\System32\VSSVC.exe,0,266,0,1,1747937580,1747937580,0,1747937580,516,10,0,0,506,511,0,0,269,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,9,0,0,0
2152,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937580,1747937580,0,1747937580,149,0,0,0,149,149,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
2516,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937580,1747937580,0,1747937580,372,0,0,0,372,372,0,0,145,0,0,0,34,0,9,0,0,0,0,0,0,0,0,0,8,0,0,0
7292,\Device\HarddiskVolume3\Windows\SysWOW64\takeown.exe,0,272,0,1,1747937580,1747937580,0,1747937580,72,0,0,0,72,72,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
6020,\Device\HarddiskVolume3\Windows\System32\conhost.exe,0,281,0,1,1747937580,1747937580,0,1747937580,113,0,0,0,113,113,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0
4576,\Device\HarddiskVolume3\Windows\SysWOW64\icacls.exe,0,280,0,1,1747937580,1747937580,0,1747937580,52,0,0,0,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
5208,\Device\HarddiskVolume3\Windows\System32\conhost.exe,0,281,0,1,1747937580,1747937580,0,1747937580,113,0,0,0,113,113,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0
5312,\Device\HarddiskVolume3\Windows\SysWOW64\Extension.exe,109,273,0,1,1747937580,1747937689,109,1747937580,151613,1,0,0,151612,151612,0,0,2,0,0,30284,5,0,3,0,0,0,83449,0,0,0,0,0,9,0,0,0
2036,\Device\HarddiskVolume3\Windows\System32\svchost.exe,88,281,0,1,1747937581,1747937670,88,1747937581,347,1,2,0,344,347,0,0,0,0,0,0,0,0,0,2,2489,1073684309,204,0,0,0,0,1,11,125,0,0
5172,\Device\HarddiskVolume3\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe,0,311,0,1,1747937584,1747937585,1,1747937584,9,0,3,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
8240,\Device\HarddiskVolume3\Windows\System32\dllhost.exe,0,281,0,1,1747937585,1747937591,5,1747937585,419,0,0,0,419,419,0,0,297,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,9,0,0,0
1696,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937586,1747937669,83,1747937586,33,0,1,0,32,33,0,0,0,0,0,0,0,0,0,2,4218,1073690251,0,0,0,0,0,0,8,0,0,0
1740,\Device\HarddiskVolume3\Windows\System32\upfc.exe,79,237,0,1,1747937589,1747937669,79,1747937589,110,3,4,0,103,110,0,0,41,0,0,0,0,0,5,2,13812,1073715234,75,0,0,0,0,6,9,235,0,0
3452,\Device\HarddiskVolume3\Windows\System32\svchost.exe,80,281,0,1,1747937589,1747937683,94,1747937589,17105,5472,0,0,11633,17070,0,0,373,0,0,0,0,0,0,2,2744,1073687429,12825,0,0,0,0,47,9,0,0,0
8408,\Device\HarddiskVolume3\Windows\System32\wbem\WMIADAP.exe,97,281,0,1,1747937590,1747937689,98,1747937590,6375,2,0,0,6373,6375,0,0,210,0,0,0,0,0,6,0,0,0,3896,0,0,0,0,0,8,0,0,0
2936,\Device\HarddiskVolume3\Windows\System32\svchost.exe,90,281,0,1,1747937590,1747937680,90,1747937590,264,16,0,0,248,248,0,0,21,0,0,0,0,0,0,3,4839,805279812,133,0,0,0,0,6,9,0,0,0
8600,\Device\HarddiskVolume3\Windows\System32\wbem\WmiPrvSE.exe,0,291,0,1,1747937590,1747937591,0,1747937590,675,18,15,4,638,674,0,0,395,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8,346,0,0
5024,\Device\HarddiskVolume3\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.22.11141.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe,29,323,0,1,1747937591,1747937621,29,1747937591,1120,0,0,0,1120,1120,0,0,700,0,0,0,0,0,0,1,96,4294937897,2275,0,0,0,0,0,9,0,0,0
3048,\Device\HarddiskVolume3\Users\wineleven\AppData\Local\Microsoft\OneDrive\OneDrive.exe,0,266,0,1,1747937594,1747937644,50,1747937594,78,0,0,2,76,78,0,0,0,0,0,0,0,0,0,5,11435,452979341,0,0,0,0,0,0,9,0,0,0
2128,\Device\HarddiskVolume3\Windows\System32\svchost.exe,74,281,0,1,1747937594,1747937670,75,1747937594,1131,10,0,0,1121,1126,0,0,0,0,0,0,0,0,0,2,210,1073725788,891,0,0,0,0,0,9,0,0,0
2808,\Device\HarddiskVolume3\Windows\System32\svchost.exe,45,281,0,1,1747937604,1747937670,65,1747937604,183,5,0,0,178,183,0,0,0,0,0,0,0,0,0,4,22713,603972253,133,0,0,0,0,2,9,0,0,0
1492,\Device\HarddiskVolume3\Windows\System32\svchost.exe,8,281,0,1,1747937641,1747937669,27,1747937641,156,4,4,0,148,156,0,0,0,0,0,0,0,0,0,1,667,4294948782,750,0,0,0,0,4,10,447,0,0
9064,\Device\HarddiskVolume3\Windows\System32\taskhostw.exe,0,276,0,1,1747937641,1747937642,1,1747937641,179,7,15,0,157,179,0,0,29,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,9,385,0,0
9188,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,0,266,0,1,1747937642,1747937669,27,1747937642,45,0,0,0,45,45,0,0,0,0,0,0,0,0,0,1,146,4294939851,0,0,0,0,0,0,9,0,0,0
2084,\Device\HarddiskVolume3\Windows\System32\conhost.exe,0,281,0,1,1747937642,1747937669,27,1747937642,152,0,0,0,152,152,0,0,0,0,0,0,0,0,3,1,66,4294939843,0,0,0,0,0,0,9,0,0,0
6600,\Device\HarddiskVolume3\Windows\System32\cmd.exe,0,235,0,1,1747937642,1747937669,27,1747937642,57,0,0,0,57,57,0,0,0,0,0,0,0,0,0,1,65,4294950326,0,0,0,0,0,0,9,0,0,0
792,\Device\HarddiskVolume3\Windows\System32\winlogon.exe,0,275,0,1,1747937648,1747937648,0,1747937648,12,0,4,0,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
1200,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937648,1747937669,20,1747937648,88,4,4,0,80,88,0,0,0,0,0,0,0,0,0,1,42,4294947048,0,0,0,0,0,0,10,357,0,0
1096,\Device\HarddiskVolume3\Windows\System32\dwm.exe,0,235,0,1,1747937648,1747937648,0,1747937648,33,0,11,0,22,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
1688,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937649,1747937670,21,1747937649,12,0,1,0,11,12,0,0,8,0,0,0,0,0,0,1,7639,4294946207,0,0,0,0,0,0,8,0,0,0
2408,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937649,1747937649,0,1747937649,6,0,2,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
2160,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937649,1747937649,0,1747937649,7,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
2788,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937649,1747937682,33,1747937649,95,0,1,0,94,95,0,0,36,0,0,0,0,0,0,2,2268,1073724573,0,0,0,0,0,0,8,0,0,0
5484,\Device\HarddiskVolume3\Windows\System32\taskhostw.exe,18,276,0,1,1747937649,1747937669,19,1747937649,3627,270,5,0,3352,3624,0,0,31,0,0,0,0,0,6,1,1492,4294955567,12000,0,0,0,0,7,11,111,0,0
3548,\Device\HarddiskVolume3\ProgramData\Microsoft\Windows Defender\Platform\4.18.25030.2-0\MsMpEng.exe,0,281,0,1,1747937649,1747937659,9,1747937649,9,0,2,0,7,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,225,0,0
3344,\Device\HarddiskVolume3\ProgramData\Microsoft\Windows Defender\Platform\4.18.25030.2-0\MpDefenderCoreService.exe,3,296,0,1,1747937650,1747937653,3,1747937650,2049,0,1,0,2048,2049,0,98,0,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,10,0,0,0
7628,\Device\HarddiskVolume3\Windows\System32\svchost.exe,12,281,0,1,1747937656,1747937669,12,1747937656,4669,315,10,3,4341,4665,0,0,231,0,0,9,34,0,12,0,0,0,23000,0,0,0,0,7,11,202,0,0
7336,\Device\HarddiskVolume3\Windows\System32\taskkill.exe,8,275,0,1,1747937659,1747937669,9,1747937659,926,2,0,0,924,926,0,0,674,0,0,0,0,0,6,0,0,0,6750,0,0,0,0,0,9,0,0,0
4772,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937668,1747937669,1,1747937668,49,0,0,0,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
4660,\Device\HarddiskVolume3\Windows\System32\sihost.exe,0,280,0,1,1747937668,1747937669,1,1747937668,1093,2,0,0,1091,1093,0,0,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
9468,\Device\HarddiskVolume3\Windows\System32\backgroundTaskHost.exe,1,327,0,1,1747937668,1747937669,1,1747937668,1411,17,0,0,1394,1409,0,0,427,0,0,0,0,0,9,0,0,0,84000,0,0,0,0,1,12,0,0,0
7792,\Device\HarddiskVolume3\Windows\System32\SIHClient.exe,2,288,0,1,1747937668,1747937670,2,1747937668,1196,37,13,0,1146,1181,0,0,288,0,0,0,0,0,8,0,0,0,33000,0,0,0,0,3,10,278,0,0
9760,\Device\HarddiskVolume3\Windows\System32\wbem\WmiPrvSE.exe,2,291,0,1,1747937668,1747937670,2,1747937668,1079,40,12,10,1017,1053,0,0,486,0,0,0,0,0,6,0,0,0,30000,0,0,0,0,6,9,336,0,0
4892,\Device\HarddiskVolume3\Windows\System32\RuntimeBroker.exe,0,320,0,1,1747937669,1747937669,0,1747937669,94,0,0,0,94,94,0,0,3,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
7904,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937670,1747937670,0,1747937670,1428,55,7,1,1365,1392,0,0,398,0,0,9,34,0,8,0,0,0,0,0,0,2,0,4,10,201,0,0
10800,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,0,266,0,1,1747937671,1747937678,6,1747937671,45,0,0,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
10828,\Device\HarddiskVolume3\Windows\System32\conhost.exe,0,281,0,1,1747937671,1747937678,6,1747937671,152,0,0,0,152,152,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0
11024,\Device\HarddiskVolume3\Windows\System32\cmd.exe,0,235,0,1,1747937671,1747937678,6,1747937671,71,0,0,0,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
11060,\Device\HarddiskVolume3\Users\wineleven\Documents\Hafidz\IOCTL.exe,0,288,0,1,1747937671,1747937678,6,1747937671,43,0,0,0,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
5372,\Device\HarddiskVolume3\Windows\System32\SearchIndexer.exe,0,294,0,1,1747937679,1747937689,9,1747937679,41,0,0,0,41,41,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
11168,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,0,266,0,1,1747937681,1747937681,0,1747937681,44,0,0,0,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
11196,\Device\HarddiskVolume3\Windows\System32\conhost.exe,0,281,0,1,1747937681,1747937681,0,1747937681,150,0,0,0,150,150,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0
5444,\Device\HarddiskVolume3\Windows\System32\cmd.exe,0,235,0,1,1747937681,1747937682,1,1747937681,78,0,0,0,78,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
10984,\Device\HarddiskVolume3\Users\wineleven\AppData\Local\Programs\Python\Python313\python.exe,0,290,0,1,1747937682,1747937689,6,1747937682,53,0,0,0,53,53,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0
