ProcessId,ProcessName,ProcessAgeSeconds,ProcessImageEntropy,SessionId,IsElevated,FirstSeenTime,LastSeenTime,OperationDurationSec,ProcessCreateTime,TotalOperationCount,CreateOperationCount,ModifyOperationCount,DeleteOperationCount,QueryOperationCount,UniqueKeysAccessed,AutorunKeysAccessed,SecurityKeysAccessed,FileAssocKeysAccessed,NetworkingKeysAccessed,ServicesKeysAccessed,SensitiveKeysAccessed,ProcessHijackKeysAccessed,DllHijackKeysAccessed,ComObjectKeysAccessed,OperationBurstCount,MaxOperationsPerBurst,BurstIntervalMs,OperationDensityPerMin,TimingVariance,RemoteOperationCount,FileExtensionModificationCount,SecuritySettingModificationCount,WritesToReadsRatio,RegistryKeyDepthMax,RegistryValueEntropyAvg,ComRegistryModifications,CriticalSystemKeyModifications
864,\Device\HarddiskVolume3\Windows\System32\services.exe,72,258,0,1,1747937576,1747937649,72,1747937576,248,0,2,0,246,248,0,0,0,0,0,0,12,0,0,1,40,4294913844,166,0,0,0,0,1,9,0,0,0
4824,\Device\HarddiskVolume3\Windows\System32\taskhostw.exe,66,276,0,1,1747937576,1747937649,72,1747937576,134,0,0,0,134,134,0,0,0,0,0,0,0,0,0,2,24151,4294919227,90,0,0,0,0,0,12,0,0,0
4852,\Device\HarddiskVolume3\Windows\System32\Taskmgr.exe,71,290,0,1,1747937577,1747937649,71,1747937577,8182,0,0,0,8182,8182,0,0,141,0,0,0,0,0,0,0,0,0,6845,0,0,0,0,0,12,0,0,0
3316,\Device\HarddiskVolume3\Windows\System32\svchost.exe,28,281,0,1,1747937577,1747937645,68,1747937577,3274,184,13,0,3077,3274,0,0,0,0,0,433,0,0,0,2,404,1073718539,6857,0,0,0,0,6,10,151,0,0
884,\Device\HarddiskVolume3\Windows\System32\lsass.exe,69,255,0,1,1747937580,1747937649,69,1747937580,899,16,10,0,873,883,0,0,0,0,0,632,0,0,0,0,0,0,695,0,0,0,0,3,9,401,0,0
3332,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937580,1747937640,60,1747937580,28,2,2,0,24,28,0,0,0,0,0,0,0,0,0,1,465,4294912261,0,0,0,0,0,0,7,300,0,0
4364,\Device\HarddiskVolume3\Windows\explorer.exe,66,250,0,1,1747937580,1747937647,67,1747937580,1577,18,5,0,1554,1577,0,0,654,0,0,0,0,0,0,2,721,1073723990,1363,0,0,0,0,1,12,371,0,0
1520,\Device\HarddiskVolume3\Windows\System32\svchost.exe,68,281,0,1,1747937580,1747937649,68,1747937580,595,52,13,0,530,595,0,0,0,0,0,0,0,0,0,1,506,4294905984,441,0,0,0,0,13,9,125,0,0
1904,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,68,266,0,1,1747937580,1747937649,68,1747937580,306,0,0,0,306,306,0,0,0,0,0,0,0,0,0,0,0,0,264,0,0,0,0,0,9,0,0,0
648,\Device\HarddiskVolume3\Windows\System32\csrss.exe,69,255,0,1,1747937580,1747937649,69,1747937580,113,0,0,0,113,113,0,0,0,0,0,0,0,0,0,1,184,4294916927,86,0,0,0,0,0,8,0,0,0
2620,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,0,266,0,1,1747937580,1747937580,0,1747937580,45,0,0,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
3424,\Device\HarddiskVolume3\Windows\System32\conhost.exe,0,281,0,1,1747937580,1747937580,0,1747937580,152,0,0,0,152,152,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0
