ProcessId,ProcessName,ProcessAgeSeconds,ProcessImageEntropy,SessionId,IsElevated,FirstSeenTime,LastSeenTime,OperationDurationSec,ProcessCreateTime,TotalOperationCount,CreateOperationCount,ModifyOperationCount,DeleteOperationCount,QueryOperationCount,UniqueKeysAccessed,AutorunKeysAccessed,SecurityKeysAccessed,FileAssocKeysAccessed,NetworkingKeysAccessed,ServicesKeysAccessed,SensitiveKeysAccessed,ProcessHijackKeysAccessed,DllHijackKeysAccessed,ComObjectKeysAccessed,OperationBurstCount,MaxOperationsPerBurst,BurstIntervalMs,OperationDensityPerMin,TimingVariance,RemoteOperationCount,FileExtensionModificationCount,SecuritySettingModificationCount,WritesToReadsRatio,RegistryKeyDepthMax,RegistryValueEntropyAvg,ComRegistryModifications,CriticalSystemKeyModifications
864,\Device\HarddiskVolume3\Windows\System32\services.exe,105,258,0,1,1747937577,1747937682,105,1747937577,859,1,11,0,847,859,0,0,0,0,0,0,36,0,0,0,0,0,457,0,0,0,0,1,9,171,0,0
4824,\Device\HarddiskVolume3\Windows\System32\taskhostw.exe,94,276,0,1,1747937577,1747937680,103,1747937577,233,0,0,0,233,233,0,0,0,0,0,0,0,0,0,3,1919,805284298,127,0,0,0,0,0,12,0,0,0
4852,\Device\HarddiskVolume3\Windows\System32\Taskmgr.exe,104,290,0,1,1747937577,1747937681,104,1747937577,13320,3,0,0,13317,13320,0,0,852,0,0,0,0,0,0,0,0,0,7673,0,0,0,0,0,12,0,0,0
3316,\Device\HarddiskVolume3\Windows\System32\svchost.exe,94,281,0,1,1747937577,1747937681,103,1747937577,4449,279,81,0,4089,4449,0,0,0,0,0,702,0,0,0,2,93,1073695439,2808,0,0,0,0,8,10,215,0,0
3156,\Device\HarddiskVolume3\Windows\System32\spoolsv.exe,0,272,0,1,1747937578,1747937649,71,1747937578,11,0,3,0,8,11,0,0,0,0,0,0,0,0,0,1,32,4294896045,0,0,0,0,0,0,8,0,0,0
884,\Device\HarddiskVolume3\Windows\System32\lsass.exe,100,255,0,1,1747937580,1747937682,102,1747937580,1046,18,10,0,1018,1030,0,0,0,0,0,718,0,0,0,0,0,0,600,0,0,0,0,2,10,400,0,0
3332,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937580,1747937650,69,1747937580,37,2,5,0,30,37,0,0,0,0,0,0,0,0,0,1,929,4294913951,0,0,0,0,0,0,8,300,0,0
4364,\Device\HarddiskVolume3\Windows\explorer.exe,99,250,0,1,1747937580,1747937679,99,1747937580,10353,254,7,0,10092,10177,0,0,3667,0,0,0,0,0,0,2,1651,1073718684,6242,0,0,0,0,2,12,315,0,0
1520,\Device\HarddiskVolume3\Windows\System32\svchost.exe,100,281,0,1,1747937580,1747937680,100,1747937580,595,52,13,0,530,595,0,0,0,0,0,0,0,0,0,2,1778,1073689533,300,0,0,0,0,13,9,125,0,0
1904,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,100,266,0,1,1747937580,1747937681,101,1747937580,327,0,0,0,327,327,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,9,0,0,0
648,\Device\HarddiskVolume3\Windows\System32\csrss.exe,68,255,0,1,1747937580,1747937682,101,1747937580,186,0,0,0,186,186,0,0,0,0,0,0,0,0,0,2,16901,4294923196,88,0,0,0,0,0,8,0,0,0
2952,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,0,266,0,1,1747937580,1747937671,90,1747937580,45,0,0,0,45,45,0,0,0,0,0,0,0,0,0,1,41,4294876527,0,0,0,0,0,0,9,0,0,0
