ProcessId,ProcessName,ProcessAgeSeconds,ProcessImageEntropy,SessionId,IsElevated,FirstSeenTime,LastSeenTime,OperationDurationSec,ProcessCreateTime,TotalOperationCount,CreateOperationCount,ModifyOperationCount,DeleteOperationCount,QueryOperationCount,UniqueKeysAccessed,AutorunKeysAccessed,SecurityKeysAccessed,FileAssocKeysAccessed,NetworkingKeysAccessed,ServicesKeysAccessed,SensitiveKeysAccessed,ProcessHijackKeysAccessed,DllHijackKeysAccessed,ComObjectKeysAccessed,OperationBurstCount,MaxOperationsPerBurst,BurstIntervalMs,OperationDensityPerMin,TimingVariance,RemoteOperationCount,FileExtensionModificationCount,SecuritySettingModificationCount,WritesToReadsRatio,RegistryKeyDepthMax,RegistryValueEntropyAvg,ComRegistryModifications,CriticalSystemKeyModifications
864,\Device\HarddiskVolume3\Windows\System32\services.exe,114,258,0,1,1747937577,1747937696,119,1747937577,885,1,9,0,875,885,0,0,0,0,0,0,36,0,0,0,0,0,421,0,0,0,0,1,9,210,0,0
4824,\Device\HarddiskVolume3\Windows\System32\taskhostw.exe,101,276,0,1,1747937577,1747937683,106,1747937577,233,0,0,0,233,233,0,0,0,0,0,0,0,0,0,3,499,805287233,118,0,0,0,0,0,12,0,0,0
3316,\Device\HarddiskVolume3\Windows\System32\svchost.exe,106,281,0,1,1747937577,1747937689,111,1747937577,4227,280,74,0,3873,4227,0,0,0,0,0,639,0,0,0,3,1112,805268257,2377,0,0,0,0,9,10,240,0,0
4852,\Device\HarddiskVolume3\Windows\System32\Taskmgr.exe,118,290,0,1,1747937577,1747937695,118,1747937577,15252,8,0,0,15244,15251,0,0,896,0,0,0,0,0,0,0,0,0,7728,0,0,0,0,0,12,0,0,0
3156,\Device\HarddiskVolume3\Windows\System32\spoolsv.exe,0,272,0,1,1747937578,1747937649,71,1747937578,11,0,3,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
884,\Device\HarddiskVolume3\Windows\System32\lsass.exe,103,255,0,1,1747937580,1747937693,113,1747937580,1048,18,10,0,1020,1032,0,0,0,0,0,720,0,0,0,0,0,0,582,0,0,0,0,2,10,400,0,0
3332,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937580,1747937650,70,1747937580,37,2,5,0,30,37,0,0,0,0,0,0,0,0,0,2,13653,1073700904,0,0,0,0,0,0,8,300,0,0
4364,\Device\HarddiskVolume3\Windows\explorer.exe,107,250,0,1,1747937580,1747937687,107,1747937580,12512,276,7,0,12229,12336,0,0,4422,0,0,0,0,0,0,3,28446,1073727884,7009,0,0,0,0,2,12,315,0,0
1520,\Device\HarddiskVolume3\Windows\System32\svchost.exe,101,281,0,1,1747937580,1747937681,101,1747937580,595,52,13,0,530,595,0,0,0,0,0,0,0,0,0,2,607,1073688340,297,0,0,0,0,13,9,125,0,0
1904,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,101,266,0,1,1747937580,1747937693,113,1747937580,330,0,0,0,330,330,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,9,0,0,0
648,\Device\HarddiskVolume3\Windows\System32\csrss.exe,65,255,0,1,1747937580,1747937696,115,1747937580,195,0,0,0,195,195,0,0,0,0,0,0,0,0,0,4,798,603961005,92,0,0,0,0,0,8,0,0,0
