ProcessId,ProcessName,ProcessAgeSeconds,ProcessImageEntropy,SessionId,IsElevated,FirstSeenTime,LastSeenTime,OperationDurationSec,ProcessCreateTime,TotalOperationCount,CreateOperationCount,ModifyOperationCount,DeleteOperationCount,QueryOperationCount,UniqueKeysAccessed,AutorunKeysAccessed,SecurityKeysAccessed,FileAssocKeysAccessed,NetworkingKeysAccessed,ServicesKeysAccessed,SensitiveKeysAccessed,ProcessHijackKeysAccessed,DllHijackKeysAccessed,ComObjectKeysAccessed,OperationBurstCount,MaxOperationsPerBurst,BurstIntervalMs,OperationDensityPerMin,TimingVariance,RemoteOperationCount,FileExtensionModificationCount,SecuritySettingModificationCount,WritesToReadsRatio,RegistryKeyDepthMax,RegistryValueEntropyAvg,ComRegistryModifications,CriticalSystemKeyModifications
864,\Device\HarddiskVolume3\Windows\System32\services.exe,116,258,0,1,1747937576,1747937692,116,1747937576,506,0,2,0,504,506,0,0,0,0,0,0,24,0,0,1,887,4294917315,258,0,0,0,0,0,9,0,0,0
4824,\Device\HarddiskVolume3\Windows\System32\taskhostw.exe,115,276,0,1,1747937576,1747937697,120,1747937576,342,0,0,0,342,342,0,0,0,0,0,0,0,0,0,2,2044,1073683722,156,0,0,0,0,0,12,0,0,0
3316,\Device\HarddiskVolume3\Windows\System32\svchost.exe,115,281,0,1,1747937576,1747937694,117,1747937576,3331,187,18,0,3126,3331,0,0,0,0,0,433,0,0,0,2,1516,1073691107,1721,0,0,0,0,6,10,209,0,0
4852,\Device\HarddiskVolume3\Windows\System32\Taskmgr.exe,120,290,0,1,1747937577,1747937697,120,1747937577,14666,3,0,0,14663,14666,0,0,634,0,0,0,0,0,0,0,0,0,7300,0,0,0,0,0,12,0,0,0
3156,\Device\HarddiskVolume3\Windows\System32\spoolsv.exe,0,272,0,1,1747937578,1747937649,71,1747937578,11,0,3,0,8,11,0,0,0,0,0,0,0,0,0,1,69,4294896035,0,0,0,0,0,0,8,0,0,0
884,\Device\HarddiskVolume3\Windows\System32\lsass.exe,117,255,0,1,1747937579,1747937697,117,1747937579,1168,29,11,0,1128,1148,0,0,0,0,0,688,0,0,0,0,0,0,564,0,0,0,0,3,10,401,0,0
1520,\Device\HarddiskVolume3\Windows\System32\svchost.exe,117,281,0,1,1747937579,1747937697,117,1747937579,649,52,13,0,584,649,0,0,50,0,0,0,0,0,0,3,4917,805265780,307,0,0,0,0,11,9,125,0,0
1904,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,117,266,0,1,1747937579,1747937697,117,1747937579,330,0,0,0,330,330,0,0,0,0,0,0,0,0,0,1,452,4294956030,153,0,0,0,0,0,9,0,0,0
3332,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937580,1747937650,69,1747937580,37,2,5,0,30,37,0,0,0,0,0,0,0,0,0,1,1375,4294910896,0,0,0,0,0,0,8,300,0,0
648,\Device\HarddiskVolume3\Windows\System32\csrss.exe,104,255,0,1,1747937580,1747937697,117,1747937580,155,0,0,0,155,155,0,0,0,0,0,0,0,0,0,2,15399,4294895944,57,0,0,0,0,0,8,0,0,0
6828,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,0,266,0,1,1747937580,1747937691,111,1747937580,45,0,0,0,45,45,0,0,0,0,0,0,0,0,0,1,1378,4294855979,0,0,0,0,0,0,9,0,0,0
