ProcessId,ProcessName,ProcessAgeSeconds,ProcessImageEntropy,SessionId,IsElevated,FirstSeenTime,LastSeenTime,OperationDurationSec,ProcessCreateTime,TotalOperationCount,CreateOperationCount,ModifyOperationCount,DeleteOperationCount,QueryOperationCount,UniqueKeysAccessed,AutorunKeysAccessed,SecurityKeysAccessed,FileAssocKeysAccessed,NetworkingKeysAccessed,ServicesKeysAccessed,SensitiveKeysAccessed,ProcessHijackKeysAccessed,DllHijackKeysAccessed,ComObjectKeysAccessed,OperationBurstCount,MaxOperationsPerBurst,BurstIntervalMs,OperationDensityPerMin,TimingVariance,RemoteOperationCount,FileExtensionModificationCount,SecuritySettingModificationCount,WritesToReadsRatio,RegistryKeyDepthMax,RegistryValueEntropyAvg,ComRegistryModifications,CriticalSystemKeyModifications
864,\Device\HarddiskVolume3\Windows\System32\services.exe,136,258,0,1,1747937577,1747937713,136,1747937577,715,0,2,0,713,715,0,0,0,0,0,0,24,0,0,1,40,4294913167,308,0,0,0,0,0,9,0,0,0
4824,\Device\HarddiskVolume3\Windows\System32\taskhostw.exe,131,276,0,1,1747937577,1747937708,131,1747937577,404,0,0,0,404,404,0,0,0,0,0,0,0,0,0,2,153,1073703150,183,0,0,0,0,0,12,0,0,0
3316,\Device\HarddiskVolume3\Windows\System32\svchost.exe,70,281,0,1,1747937577,1747937706,128,1747937577,3371,190,19,0,3162,3371,0,0,0,0,0,433,0,0,0,2,199,1073687953,2828,0,0,0,0,6,10,230,0,0
4852,\Device\HarddiskVolume3\Windows\System32\Taskmgr.exe,5,290,0,1,1747937577,1747937583,5,1747937577,4564,43,1,0,4520,4546,5,0,615,0,0,0,0,0,0,0,0,0,54000,0,0,0,0,0,16,250,0,0
3156,\Device\HarddiskVolume3\Windows\System32\spoolsv.exe,0,272,0,1,1747937578,1747937649,71,1747937578,11,0,3,0,8,11,0,0,0,0,0,0,0,0,0,1,292,4294896039,0,0,0,0,0,0,8,0,0,0
884,\Device\HarddiskVolume3\Windows\System32\lsass.exe,128,255,0,1,1747937580,1747937713,133,1747937580,1333,29,12,0,1292,1313,0,0,0,0,0,838,0,0,0,1,278,4294933061,609,0,0,0,0,3,10,473,0,0
3332,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937580,1747937708,128,1747937580,51,3,6,0,42,51,0,0,0,0,0,0,0,0,0,2,1272,1073688813,0,0,0,0,0,0,8,300,0,0
4364,\Device\HarddiskVolume3\Windows\explorer.exe,132,250,0,1,1747937580,1747937714,133,1747937580,41094,906,170,0,40018,40524,0,0,14136,0,0,0,0,0,0,2,75,1073712930,18636,0,0,0,0,2,13,448,0,0
1520,\Device\HarddiskVolume3\Windows\System32\svchost.exe,79,281,0,1,1747937580,1747937705,125,1747937580,598,52,14,0,532,598,0,0,0,0,0,0,0,0,0,3,6105,805260221,379,0,0,0,0,13,9,125,0,0
1904,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,81,266,0,1,1747937580,1747937713,132,1747937580,327,0,0,0,327,327,0,0,0,0,0,0,0,0,0,1,142,4294930702,222,0,0,0,0,0,9,0,0,0
648,\Device\HarddiskVolume3\Windows\System32\csrss.exe,69,255,0,1,1747937580,1747937708,127,1747937580,185,0,0,0,185,185,0,0,0,0,0,0,0,0,0,3,30724,1073700717,86,0,0,0,0,0,8,0,0,0
6828,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,0,266,0,1,1747937580,1747937584,3,1747937580,45,0,0,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
5292,\Device\HarddiskVolume3\Windows\System32\conhost.exe,0,281,0,1,1747937580,1747937584,3,1747937580,152,0,0,0,152,152,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0
728,\Device\HarddiskVolume3\Windows\System32\csrss.exe,126,255,0,1,1747937580,1747937706,126,1747937580,770,0,0,0,770,770,0,0,0,0,0,0,0,0,0,1,88,4294926129,333,0,0,0,0,0,11,0,0,0
1092,\Device\HarddiskVolume3\Windows\System32\cmd.exe,0,235,0,1,1747937580,1747937580,0,1747937580,77,0,0,0,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
4844,\Device\HarddiskVolume5\new\ransomware_high_confidence\zeppelin\b0c1e89ebf16baa03b431b797aece48eeb3da6bb6eabf12fa6a3aefd93f5890e.exe,2,319,0,1,1747937580,1747937584,3,1747937580,7091,14,17,0,7060,7085,0,0,1157,0,0,0,38,0,8,0,0,0,210000,0,0,0,0,0,12,233,0,0
4884,\Device\HarddiskVolume3\Users\wineleven\AppData\Roaming\Microsoft\Windows\services.exe,132,258,0,1,1747937581,1747937714,132,1747937581,24708,5,5,0,24698,24708,0,0,0,0,0,0,15,0,3,0,0,0,11227,0,0,0,0,0,9,294,0,0
1696,\Device\HarddiskVolume3\Windows\System32\svchost.exe,131,281,0,1,1747937581,1747937712,131,1747937581,126,0,1,0,125,126,0,0,12,0,0,0,0,0,0,2,1615,1073684288,45,0,0,0,0,1,8,0,0,0
5356,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937581,1747937582,0,1747937581,638,30,0,0,608,626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0
1008,\Device\HarddiskVolume3\Windows\System32\svchost.exe,74,281,0,1,1747937582,1747937656,74,1747937582,965,38,14,1,912,959,0,0,123,0,0,0,0,0,8,1,643,4294923137,729,0,0,0,0,5,16,251,0,0
4660,\Device\HarddiskVolume3\Windows\System32\sihost.exe,123,280,0,1,1747937582,1747937706,124,1747937582,1267,13,8,0,1246,1267,3,0,395,0,0,0,0,0,0,2,11138,1073677998,585,0,0,0,0,1,13,448,0,0
5332,\Device\HarddiskVolume3\Users\wineleven\AppData\Roaming\Microsoft\Windows\services.exe,0,258,0,1,1747937584,1747937584,0,1747937584,99,0,0,0,99,99,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0
6704,\Device\HarddiskVolume3\Users\wineleven\AppData\Roaming\Microsoft\Windows\services.exe,0,258,0,1,1747937584,1747937584,0,1747937584,97,0,0,0,97,97,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0
6024,\Device\HarddiskVolume3\Users\wineleven\AppData\Roaming\Microsoft\Windows\services.exe,0,258,0,1,1747937584,1747937584,0,1747937584,97,0,0,0,97,97,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0
4020,\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe,0,235,0,1,1747937584,1747937584,0,1747937584,74,0,1,0,73,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
5428,\Device\HarddiskVolume3\Windows\System32\conhost.exe,0,281,0,1,1747937584,1747937584,0,1747937584,151,0,0,0,151,151,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0
7572,\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe,0,235,0,1,1747937584,1747937584,0,1747937584,71,0,0,0,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
3388,\Device\HarddiskVolume3\Windows\System32\conhost.exe,0,281,0,1,1747937584,1747937584,0,1747937584,152,0,0,0,152,152,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0
3524,\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe,0,235,0,1,1747937584,1747937584,0,1747937584,71,0,0,0,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
2088,\Device\HarddiskVolume3\Windows\System32\conhost.exe,0,281,0,1,1747937584,1747937584,0,1747937584,152,0,0,0,152,152,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0
1336,\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe,0,235,0,1,1747937584,1747937584,0,1747937584,71,0,0,0,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
1528,\Device\HarddiskVolume3\Windows\System32\conhost.exe,0,281,0,1,1747937584,1747937584,0,1747937584,152,0,0,0,152,152,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0
8304,\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe,0,235,0,1,1747937584,1747937584,0,1747937584,71,0,0,0,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
8352,\Device\HarddiskVolume3\Windows\System32\conhost.exe,0,281,0,1,1747937584,1747937584,0,1747937584,152,0,0,0,152,152,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0
8488,\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe,0,235,0,1,1747937584,1747937584,0,1747937584,71,0,0,0,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
8536,\Device\HarddiskVolume3\Windows\System32\conhost.exe,0,281,0,1,1747937584,1747937584,0,1747937584,152,0,0,0,152,152,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0
8672,\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe,0,235,0,1,1747937584,1747937584,0,1747937584,71,0,0,0,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
8720,\Device\HarddiskVolume3\Windows\System32\conhost.exe,0,281,0,1,1747937584,1747937584,0,1747937584,152,0,0,0,152,152,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0
8856,\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe,0,235,0,1,1747937584,1747937584,0,1747937584,71,0,0,0,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
8904,\Device\HarddiskVolume3\Windows\System32\conhost.exe,0,281,0,1,1747937584,1747937584,0,1747937584,152,0,0,0,152,152,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0
5172,\Device\HarddiskVolume3\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe,0,311,0,1,1747937584,1747937706,122,1747937584,46,0,16,0,30,46,0,0,0,0,0,0,0,0,0,1,639,4294851600,0,0,0,0,0,0,8,445,0,0
5372,\Device\HarddiskVolume3\Windows\System32\SearchIndexer.exe,0,294,0,1,1747937585,1747937707,122,1747937585,51,1,7,0,43,50,0,0,0,0,0,0,0,0,0,5,27047,452963434,0,0,0,0,0,0,9,508,0,0
5364,\Device\HarddiskVolume3\Windows\System32\RuntimeBroker.exe,0,320,0,1,1747937587,1747937707,120,1747937587,12,0,5,0,7,12,0,0,0,0,0,0,0,0,0,1,80,4294847301,0,0,0,0,0,0,8,633,0,0
1740,\Device\HarddiskVolume3\Windows\System32\upfc.exe,67,237,0,1,1747937589,1747937656,67,1747937589,110,3,4,0,103,110,0,0,41,0,0,0,0,0,5,2,2162,1073718480,89,0,0,0,0,6,9,232,0,0
3452,\Device\HarddiskVolume3\Windows\System32\svchost.exe,118,281,0,1,1747937589,1747937713,124,1747937589,17255,5494,0,0,11761,17210,0,0,425,0,0,0,0,0,0,2,599,1073697237,8745,0,0,0,0,46,9,0,0,0
2936,\Device\HarddiskVolume3\Windows\System32\svchost.exe,120,281,0,1,1747937590,1747937711,120,1747937590,321,20,0,0,301,301,0,0,21,0,0,0,0,0,0,4,1531,603951933,150,0,0,0,0,5,9,0,0,0
9128,\Device\HarddiskVolume3\Windows\System32\dllhost.exe,0,281,0,1,1747937591,1747937598,7,1747937591,419,0,0,0,419,419,0,0,297,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,9,0,0,0
5024,\Device\HarddiskVolume3\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.22.11141.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe,30,323,0,1,1747937591,1747937621,30,1747937591,1120,0,0,0,1120,1120,0,0,700,0,0,0,0,0,0,1,204,4294937882,2200,0,0,0,0,0,9,0,0,0
8844,\Device\HarddiskVolume3\Windows\System32\wbem\WMIADAP.exe,121,281,0,1,1747937592,1747937714,122,1747937592,6934,2,11,19,6902,6934,0,0,210,0,0,0,0,0,6,1,2274,4294955544,3421,0,0,0,0,0,10,175,0,0
