AlertID,AlertType,SourceProcessID,Timestamp,ViolatingAddress,TargetProcessID,SourcePath,TargetPath
1,"Stack Violation",1136,"2025-05-22 18:14:49",0xc203da,0,"\Device\HarddiskVolume5\new\ransomware_high_confidence\conti\e16fea1b8874cc6b26e7e2df9697f03f86efa82247bb3b2922f1d05052dbcbb4.exe","\??\C:\Windows\SysWOW64\cmd.exe"
2,"Remote Thread Creation",8152,"2025-05-22 18:14:49",0x0,1136,"\Device\HarddiskVolume5\new\ransomware_high_confidence\conti\e16fea1b8874cc6b26e7e2df9697f03f86efa82247bb3b2922f1d05052dbcbb4.exe","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
3,"Stack Violation",7576,"2025-05-22 18:14:49",0xc203da,0,"\Device\HarddiskVolume5\new\ransomware_high_confidence\conti\e16fea1b8874cc6b26e7e2df9697f03f86efa82247bb3b2922f1d05052dbcbb4.exe","\??\C:\Windows\SysWOW64\cmd.exe"
4,"Remote Thread Creation",8152,"2025-05-22 18:14:49",0x0,7576,"\Device\HarddiskVolume5\new\ransomware_high_confidence\conti\e16fea1b8874cc6b26e7e2df9697f03f86efa82247bb3b2922f1d05052dbcbb4.exe","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
5,"Stack Violation",3860,"2025-05-22 18:14:49",0xc203da,0,"\Device\HarddiskVolume5\new\ransomware_high_confidence\conti\e16fea1b8874cc6b26e7e2df9697f03f86efa82247bb3b2922f1d05052dbcbb4.exe","\??\C:\Windows\SysWOW64\cmd.exe"
6,"Remote Thread Creation",8152,"2025-05-22 18:14:49",0x0,3860,"\Device\HarddiskVolume5\new\ransomware_high_confidence\conti\e16fea1b8874cc6b26e7e2df9697f03f86efa82247bb3b2922f1d05052dbcbb4.exe","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
7,"Stack Violation",3100,"2025-05-22 18:14:49",0xc203da,0,"\Device\HarddiskVolume5\new\ransomware_high_confidence\conti\e16fea1b8874cc6b26e7e2df9697f03f86efa82247bb3b2922f1d05052dbcbb4.exe","\??\C:\Windows\SysWOW64\cmd.exe"
8,"Remote Thread Creation",8152,"2025-05-22 18:14:49",0x0,3100,"\Device\HarddiskVolume5\new\ransomware_high_confidence\conti\e16fea1b8874cc6b26e7e2df9697f03f86efa82247bb3b2922f1d05052dbcbb4.exe","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
9,"Stack Violation",2084,"2025-05-22 18:14:49",0xc203da,0,"\Device\HarddiskVolume5\new\ransomware_high_confidence\conti\e16fea1b8874cc6b26e7e2df9697f03f86efa82247bb3b2922f1d05052dbcbb4.exe","\??\C:\Windows\SysWOW64\cmd.exe"
10,"Remote Thread Creation",8152,"2025-05-22 18:14:49",0x0,2084,"\Device\HarddiskVolume5\new\ransomware_high_confidence\conti\e16fea1b8874cc6b26e7e2df9697f03f86efa82247bb3b2922f1d05052dbcbb4.exe","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
11,"Stack Violation",3764,"2025-05-22 18:14:49",0xc203da,0,"\Device\HarddiskVolume5\new\ransomware_high_confidence\conti\e16fea1b8874cc6b26e7e2df9697f03f86efa82247bb3b2922f1d05052dbcbb4.exe","\??\C:\Windows\SysWOW64\cmd.exe"
12,"Remote Thread Creation",8152,"2025-05-22 18:14:49",0x0,3764,"\Device\HarddiskVolume5\new\ransomware_high_confidence\conti\e16fea1b8874cc6b26e7e2df9697f03f86efa82247bb3b2922f1d05052dbcbb4.exe","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
13,"Stack Violation",8268,"2025-05-22 18:14:49",0xc203da,0,"\Device\HarddiskVolume5\new\ransomware_high_confidence\conti\e16fea1b8874cc6b26e7e2df9697f03f86efa82247bb3b2922f1d05052dbcbb4.exe","\??\C:\Windows\SysWOW64\cmd.exe"
14,"Remote Thread Creation",8152,"2025-05-22 18:14:49",0x0,8268,"\Device\HarddiskVolume5\new\ransomware_high_confidence\conti\e16fea1b8874cc6b26e7e2df9697f03f86efa82247bb3b2922f1d05052dbcbb4.exe","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
15,"Stack Violation",8428,"2025-05-22 18:14:49",0xc203da,0,"\Device\HarddiskVolume5\new\ransomware_high_confidence\conti\e16fea1b8874cc6b26e7e2df9697f03f86efa82247bb3b2922f1d05052dbcbb4.exe","\??\C:\Windows\SysWOW64\cmd.exe"
16,"Remote Thread Creation",8152,"2025-05-22 18:14:49",0x0,8428,"\Device\HarddiskVolume5\new\ransomware_high_confidence\conti\e16fea1b8874cc6b26e7e2df9697f03f86efa82247bb3b2922f1d05052dbcbb4.exe","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
17,"Stack Violation",8588,"2025-05-22 18:14:49",0xc203da,0,"\Device\HarddiskVolume5\new\ransomware_high_confidence\conti\e16fea1b8874cc6b26e7e2df9697f03f86efa82247bb3b2922f1d05052dbcbb4.exe","\??\C:\Windows\SysWOW64\cmd.exe"
18,"Remote Thread Creation",8152,"2025-05-22 18:14:49",0x0,8588,"\Device\HarddiskVolume5\new\ransomware_high_confidence\conti\e16fea1b8874cc6b26e7e2df9697f03f86efa82247bb3b2922f1d05052dbcbb4.exe","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
19,"Stack Violation",8748,"2025-05-22 18:14:49",0xc203da,0,"\Device\HarddiskVolume5\new\ransomware_high_confidence\conti\e16fea1b8874cc6b26e7e2df9697f03f86efa82247bb3b2922f1d05052dbcbb4.exe","\??\C:\Windows\SysWOW64\cmd.exe"
20,"Remote Thread Creation",8152,"2025-05-22 18:14:49",0x0,8748,"\Device\HarddiskVolume5\new\ransomware_high_confidence\conti\e16fea1b8874cc6b26e7e2df9697f03f86efa82247bb3b2922f1d05052dbcbb4.exe","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
21,"Stack Violation",8908,"2025-05-22 18:14:49",0xc203da,0,"\Device\HarddiskVolume5\new\ransomware_high_confidence\conti\e16fea1b8874cc6b26e7e2df9697f03f86efa82247bb3b2922f1d05052dbcbb4.exe","\??\C:\Windows\SysWOW64\cmd.exe"
22,"Remote Thread Creation",8152,"2025-05-22 18:14:49",0x0,8908,"\Device\HarddiskVolume5\new\ransomware_high_confidence\conti\e16fea1b8874cc6b26e7e2df9697f03f86efa82247bb3b2922f1d05052dbcbb4.exe","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
23,"Stack Violation",9068,"2025-05-22 18:14:49",0xc203da,0,"\Device\HarddiskVolume5\new\ransomware_high_confidence\conti\e16fea1b8874cc6b26e7e2df9697f03f86efa82247bb3b2922f1d05052dbcbb4.exe","\??\C:\Windows\SysWOW64\cmd.exe"
24,"Remote Thread Creation",8152,"2025-05-22 18:14:49",0x0,9068,"\Device\HarddiskVolume5\new\ransomware_high_confidence\conti\e16fea1b8874cc6b26e7e2df9697f03f86efa82247bb3b2922f1d05052dbcbb4.exe","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
25,"Stack Violation",8248,"2025-05-22 18:14:49",0xc203da,0,"\Device\HarddiskVolume5\new\ransomware_high_confidence\conti\e16fea1b8874cc6b26e7e2df9697f03f86efa82247bb3b2922f1d05052dbcbb4.exe","\??\C:\Windows\SysWOW64\cmd.exe"
26,"Remote Thread Creation",8152,"2025-05-22 18:14:49",0x0,8248,"\Device\HarddiskVolume5\new\ransomware_high_confidence\conti\e16fea1b8874cc6b26e7e2df9697f03f86efa82247bb3b2922f1d05052dbcbb4.exe","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
