ProcessId,ProcessName,ProcessAgeSeconds,ProcessImageEntropy,SessionId,IsElevated,FirstSeenTime,LastSeenTime,OperationDurationSec,ProcessCreateTime,TotalOperationCount,CreateOperationCount,ModifyOperationCount,DeleteOperationCount,QueryOperationCount,UniqueKeysAccessed,AutorunKeysAccessed,SecurityKeysAccessed,FileAssocKeysAccessed,NetworkingKeysAccessed,ServicesKeysAccessed,SensitiveKeysAccessed,ProcessHijackKeysAccessed,DllHijackKeysAccessed,ComObjectKeysAccessed,OperationBurstCount,MaxOperationsPerBurst,BurstIntervalMs,OperationDensityPerMin,TimingVariance,RemoteOperationCount,FileExtensionModificationCount,SecuritySettingModificationCount,WritesToReadsRatio,RegistryKeyDepthMax,RegistryValueEntropyAvg,ComRegistryModifications,CriticalSystemKeyModifications
864,\Device\HarddiskVolume3\Windows\System32\services.exe,106,258,0,1,1747937584,1747937700,115,1747937584,696,0,3,0,693,696,0,0,0,0,0,0,24,0,0,1,474,4294912819,339,0,0,0,0,0,9,0,0,0
4824,\Device\HarddiskVolume3\Windows\System32\taskhostw.exe,102,276,0,1,1747937584,1747937701,117,1747937584,440,0,0,0,440,440,0,0,0,0,0,0,0,0,0,3,2484,805274548,235,0,0,0,0,0,12,0,0,0
4364,\Device\HarddiskVolume3\Windows\explorer.exe,107,250,0,1,1747937584,1747937700,115,1747937584,13376,267,7,0,13102,13200,0,0,4901,0,0,0,0,0,0,3,1422,805285257,7457,0,0,0,0,2,12,315,0,0
4852,\Device\HarddiskVolume3\Windows\System32\Taskmgr.exe,118,290,0,1,1747937584,1747937702,118,1747937584,13973,0,0,0,13973,13973,0,0,411,0,0,0,0,0,0,0,0,0,7067,0,0,0,0,0,12,0,0,0
5172,\Device\HarddiskVolume3\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe,0,311,0,1,1747937584,1747937585,1,1747937584,9,0,3,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
3316,\Device\HarddiskVolume3\Windows\System32\svchost.exe,112,281,0,1,1747937584,1747937702,117,1747937584,2103,187,26,0,1890,2103,0,0,0,0,0,433,0,0,0,2,136,1073697759,1125,0,0,0,0,11,10,187,0,0
1696,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937586,1747937676,89,1747937586,33,0,1,0,32,33,0,0,0,0,0,0,0,0,0,2,4946,1073687998,0,0,0,0,0,0,8,0,0,0
884,\Device\HarddiskVolume3\Windows\System32\lsass.exe,115,255,0,1,1747937586,1747937701,115,1747937586,1827,41,14,0,1772,1795,0,0,0,0,0,1163,0,0,0,0,0,0,939,0,0,0,0,3,10,399,0,0
1904,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,115,266,0,1,1747937586,1747937701,115,1747937586,534,0,0,0,534,534,0,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,9,0,0,0
1520,\Device\HarddiskVolume3\Windows\System32\svchost.exe,114,281,0,1,1747937587,1747937701,114,1747937587,1093,91,22,0,980,1093,0,0,50,0,0,0,0,0,0,3,681,805266510,526,0,0,0,0,12,9,125,0,0
